Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gérard Asselin,Pierre Breton,Michaël Chicoine,Jacques Gélineau,Randy Jones,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24039,"Manicouagan/Manicouagan"," 1","Schefferville",17,8,7,5,21,0,58,323
24039,"Manicouagan/Manicouagan"," 1-1","Kawawachikamach",7,2,14,1,91,0,115,311
24039,"Manicouagan/Manicouagan"," 2","Lac-John",2,1,1,0,17,1,22,210
24039,"Manicouagan/Manicouagan"," 3","Kawawachikamach",Void/Supprimé,,,,,,,
24039,"Manicouagan/Manicouagan"," 4","Fermont",85,22,11,2,21,3,144,434
24039,"Manicouagan/Manicouagan"," 5","Fermont",93,17,7,4,12,0,133,346
24039,"Manicouagan/Manicouagan"," 6A","Fermont",96,23,17,3,19,1,159,423
24039,"Manicouagan/Manicouagan"," 6B","Fermont",82,15,15,5,16,1,134,420
24039,"Manicouagan/Manicouagan"," 7","Fermont",91,34,16,7,19,1,168,374
24039,"Manicouagan/Manicouagan"," 8","Franquelin",97,50,9,4,16,0,176,281
24039,"Manicouagan/Manicouagan"," 9","Rivière-Pentecôte",97,17,0,2,10,2,128,322
24039,"Manicouagan/Manicouagan"," 10","Pointe-aux-Anglais",19,11,2,1,7,0,40,124
24039,"Manicouagan/Manicouagan"," 11","Baie-Trinité",65,23,2,0,9,1,100,236
24039,"Manicouagan/Manicouagan"," 12","Baie-Trinité",40,25,6,1,10,1,83,191
24039,"Manicouagan/Manicouagan"," 13","Godbout",69,44,4,3,6,0,126,251
24039,"Manicouagan/Manicouagan"," 14","Baie-Comeau",81,110,6,3,8,0,208,434
24039,"Manicouagan/Manicouagan"," 15","Baie-Comeau",73,46,5,4,12,4,144,258
24039,"Manicouagan/Manicouagan"," 16","Baie-Comeau",66,63,7,2,14,2,154,266
24039,"Manicouagan/Manicouagan"," 17","Baie-Comeau",50,62,6,7,17,3,145,247
24039,"Manicouagan/Manicouagan"," 18","Baie-Comeau",112,116,12,5,24,3,272,536
24039,"Manicouagan/Manicouagan"," 19","Baie-Comeau",59,88,11,9,10,5,182,297
24039,"Manicouagan/Manicouagan"," 20","Baie-Comeau",38,79,7,13,9,0,146,277
24039,"Manicouagan/Manicouagan"," 21","Baie-Comeau",34,67,1,12,19,3,136,254
24039,"Manicouagan/Manicouagan"," 22","Baie-Comeau",60,58,4,8,21,1,152,247
24039,"Manicouagan/Manicouagan"," 23","Baie-Comeau",60,52,12,9,13,3,149,297
24039,"Manicouagan/Manicouagan"," 24","Baie-Comeau",60,62,12,4,19,1,158,327
24039,"Manicouagan/Manicouagan"," 25","Baie-Comeau",61,47,6,4,18,3,139,347
24039,"Manicouagan/Manicouagan"," 26","Baie-Comeau",45,46,6,11,14,0,122,250
24039,"Manicouagan/Manicouagan"," 27","Baie-Comeau",92,143,7,9,11,5,267,521
24039,"Manicouagan/Manicouagan"," 28","Baie-Comeau",54,42,7,6,12,0,121,262
24039,"Manicouagan/Manicouagan"," 29","Baie-Comeau",56,56,5,5,16,2,140,311
24039,"Manicouagan/Manicouagan"," 30","Baie-Comeau",41,47,4,7,12,1,112,267
24039,"Manicouagan/Manicouagan"," 31","Baie-Comeau",73,66,8,3,17,3,170,317
24039,"Manicouagan/Manicouagan"," 32","Baie-Comeau",63,96,2,6,19,2,188,348
24039,"Manicouagan/Manicouagan"," 33","Baie-Comeau",80,72,6,7,17,3,185,346
24039,"Manicouagan/Manicouagan"," 34","Baie-Comeau",73,87,5,3,12,3,183,308
24039,"Manicouagan/Manicouagan"," 35","Baie-Comeau",60,61,8,5,5,2,141,287
24039,"Manicouagan/Manicouagan"," 36","Baie-Comeau",80,115,14,6,8,2,225,357
24039,"Manicouagan/Manicouagan"," 37","Baie-Comeau",81,68,3,2,6,1,161,318
24039,"Manicouagan/Manicouagan"," 38","Baie-Comeau",87,127,12,6,19,5,256,408
24039,"Manicouagan/Manicouagan"," 39","Baie-Comeau",81,30,9,6,8,0,134,323
24039,"Manicouagan/Manicouagan"," 40","Baie-Comeau",92,35,4,5,8,1,145,405
24039,"Manicouagan/Manicouagan"," 41","Baie-Comeau",120,64,5,8,14,1,212,457
24039,"Manicouagan/Manicouagan"," 42","Baie-Comeau",95,56,7,2,16,2,178,339
24039,"Manicouagan/Manicouagan"," 43","Baie-Comeau",105,95,11,6,9,2,228,429
24039,"Manicouagan/Manicouagan"," 44","Baie-Comeau",97,82,6,3,18,1,207,453
24039,"Manicouagan/Manicouagan"," 45","Baie-Comeau",105,62,9,4,15,1,196,470
24039,"Manicouagan/Manicouagan"," 46","Baie-Comeau",75,76,4,8,11,0,174,403
24039,"Manicouagan/Manicouagan"," 47","Baie-Comeau",73,54,1,4,3,1,136,309
24039,"Manicouagan/Manicouagan"," 48","Baie-Comeau",94,48,6,4,10,3,165,335
24039,"Manicouagan/Manicouagan"," 49","Baie-Comeau",84,25,9,7,14,1,140,375
24039,"Manicouagan/Manicouagan"," 50","Baie-Comeau",69,27,6,2,10,1,115,277
24039,"Manicouagan/Manicouagan"," 51","Baie-Comeau",87,67,2,4,16,0,176,331
24039,"Manicouagan/Manicouagan"," 52","Baie-Comeau",82,47,5,5,3,1,143,309
24039,"Manicouagan/Manicouagan"," 53","Baie-Comeau",88,49,6,5,4,1,153,322
