Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norbert Kratchmer,Gregory Nyholt,Gerry Ritz,Harold Stephan,Bob Woloshyn,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1A","Onion Lake",4,9,12,0,39,0,64,742
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 1B","Onion Lake",1,11,15,2,57,1,87,971
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 2","Fort Pitt",1,0,116,0,12,0,129,239
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 3","Bolney",13,5,157,1,17,0,193,346
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 4","Paradise Hill",12,9,140,1,28,2,192,295
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 5","St. Walburg",6,15,184,2,37,1,245,513
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 6","St. Walburg",3,8,124,3,30,0,168,290
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 7","Spruce Lake",1,1,38,0,6,0,46,106
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 8","Elmhurst",3,10,77,1,32,0,123,188
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 9","Spruce Lake",4,3,63,0,7,0,77,136
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 10","Thunderchild First Nation 115B",3,13,7,0,56,0,79,156
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 11","Turtleford",5,9,74,0,25,0,113,170
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 12","Turtleford",9,9,119,1,65,1,204,650
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 13","Livelong",19,20,174,1,52,1,267,402
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 14","Mervin",2,8,87,1,51,0,149,244
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 15","Glaslyn",3,19,104,1,24,0,151,268
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 16","Glaslyn",6,28,103,4,39,1,181,363
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 17","Medstead",17,18,220,3,45,0,303,432
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 18","Edam",3,10,73,2,15,0,103,167
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 19","Edam",5,19,134,1,40,1,200,331
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 20","Vawn",6,7,70,0,23,0,106,194
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 21","Meota",9,30,177,2,85,2,305,487
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 22","Cochin",12,25,142,5,54,0,238,622
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 23","Prince",1,4,51,0,17,0,73,170
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 24","Saulteaux 159",3,18,13,3,26,0,63,159
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 25","Moosomin 112B",0,27,1,0,29,0,57,197
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 26","Rabbit Lake",4,10,99,4,21,0,138,273
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 27","Whitkow",1,9,28,0,16,1,55,96
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 28","Hamlin",7,11,144,3,47,3,215,332
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 29","Denholm",7,13,87,1,30,1,139,218
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 30","North Battleford",5,27,164,3,68,1,268,476
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 31","North Battleford",14,21,134,1,93,2,265,556
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 32","North Battleford",13,19,112,4,71,1,220,334
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 33","North Battleford",8,18,79,1,58,0,164,301
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 34","North Battleford",11,22,94,1,70,0,198,347
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 35","North Battleford",12,18,119,2,95,0,246,502
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 36","North Battleford",4,20,69,2,60,0,155,278
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 37","North Battleford",6,5,56,2,44,0,113,238
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 38","North Battleford",3,14,53,2,51,0,123,316
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 39","North Battleford",4,17,48,3,41,0,113,234
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 40","North Battleford",4,15,87,0,51,0,157,295
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 41","North Battleford",4,27,82,1,69,0,183,340
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 42","North Battleford",12,13,87,1,52,0,165,380
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 43","North Battleford",4,9,29,1,28,0,71,230
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 44","North Battleford",8,23,78,0,63,0,172,360
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 45","North Battleford",10,14,87,0,59,0,170,391
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 46","North Battleford",14,23,63,5,56,0,161,274
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 47","North Battleford",4,16,47,1,55,2,125,273
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 48","North Battleford",7,11,57,1,55,1,132,316
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 49","North Battleford",7,25,72,2,73,1,180,391
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 50","North Battleford",5,16,34,2,52,0,109,289
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 51","North Battleford",4,13,58,0,71,0,146,381
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 52","North Battleford",8,7,41,2,47,0,105,287
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 53","North Battleford",4,13,61,3,47,1,129,384
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 54","North Battleford",7,15,62,3,72,0,159,392
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 55","North Battleford",0,11,34,0,32,0,77,154
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 56","North Battleford",5,21,93,3,59,0,181,365
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 57","Northminster",10,5,121,6,18,1,161,329
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 58","Hillmond",7,4,130,1,22,0,164,340
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 59","Lloydminster",9,4,121,1,21,0,156,323
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 60","Maidstone",8,9,187,3,39,0,246,431
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61A","Maidstone",12,4,79,1,27,0,123,244
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 61B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,2
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 62","Maidstone",3,3,85,1,31,0,123,225
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 63","Maidstone",12,8,82,1,17,0,120,312
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 64","Lloydminster",9,4,74,6,50,1,144,602
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 65","Lloydminster",13,14,103,5,49,1,185,469
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 66","Lloydminster",12,11,70,3,33,3,132,440
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 67","Lloydminster",11,9,101,5,39,1,166,426
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 68","Lloydminster",8,18,118,7,39,0,190,536
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 69","Lloydminster",5,3,38,1,22,1,70,332
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 70","Lloydminster",6,7,71,7,42,2,135,383
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 71","Lloydminster",8,6,105,1,38,0,158,526
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 72","Lloydminster",5,3,105,0,37,1,151,440
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 73","Lloydminster",13,7,92,6,35,0,153,449
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 74","Lloydminster",12,10,136,10,30,1,199,610
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75A","Lloydminster",10,10,104,8,38,0,170,553
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 75B","Lloydminster",7,7,102,5,27,2,150,505
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 76","Lloydminster",7,6,108,5,34,0,160,275
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 77","Marshall",3,3,87,3,22,0,118,176
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 78","Marshall",15,6,124,4,38,0,187,442
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 79","Lashburn",4,6,68,1,23,0,102,176
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 80","Lone Rock",6,10,104,0,27,0,147,254
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 81","Lashburn",14,14,196,7,61,0,292,655
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 82","Paynton",13,14,91,2,34,1,155,425
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 83","Little Pine 116",8,29,6,1,72,1,117,380
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 84","Poundmaker 114",0,9,3,1,22,1,36,290
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 85","Cut Knife",3,3,63,0,9,1,79,118
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 86","Gallivan",3,4,59,3,15,0,84,154
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 87","Cut Knife",5,14,152,0,54,1,226,458
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 88","Sweetgrass",1,27,5,2,86,1,122,233
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 89","Delmas",9,14,96,3,20,0,142,268
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 90","Prongua",5,10,76,0,37,0,128,225
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 91","Porter",7,10,77,1,21,0,116,229
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 92","Battleford",11,7,93,5,51,3,170,433
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 93","Battleford",7,21,122,1,54,0,205,318
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94A","Battleford",3,16,107,1,68,0,195,420
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 94B","Battleford",9,14,83,0,61,0,167,381
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 95","Battleford",6,6,38,0,47,1,98,205
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 96","Battleford",5,24,65,0,53,1,148,260
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 97","Battleford",10,14,90,1,73,0,188,345
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 98","Battleford",8,13,86,1,54,0,162,286
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 99","Battleford",5,9,72,2,60,0,148,274
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 100","Marsden",11,9,147,2,31,0,200,323
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 101","Marsden",3,2,71,3,19,0,98,159
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 102","Neilburg",3,6,112,4,48,0,173,283
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 103","Freemont",7,4,137,3,24,0,175,448
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 104","Senlac",5,3,98,3,16,0,125,190
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 105","Unity",3,11,93,1,14,1,123,231
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 106","Unity",8,11,85,1,29,0,134,245
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 107","Unity",13,29,238,1,64,1,346,682
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 108","Unity",5,10,72,1,24,0,112,201
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 109","Unity",6,11,90,1,43,0,151,260
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 110","Unity",9,9,45,0,18,1,82,174
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 111","Unity",8,6,51,1,30,2,98,208
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 112","Macklin",12,12,64,5,14,0,107,164
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 113","Macklin",12,13,214,8,37,0,284,590
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 114","Macklin",14,13,176,5,22,0,230,401
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 115","Reward",3,12,72,1,13,0,101,225
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 116","Swarthmore",6,16,87,2,17,0,128,262
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 117","Cando",1,15,48,0,42,0,106,451
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 118","Mosquito 109",2,11,2,0,26,0,41,221
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 119","Red Pheasant",2,1,3,0,8,0,14,35
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 120","Wilkie",7,11,94,1,30,0,143,253
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 121","Wilkie",6,20,103,1,54,0,184,414
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 122","Wilkie",11,24,60,0,31,2,128,284
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 123","Scott",13,16,109,3,23,1,165,367
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 124","Landis",5,12,72,2,70,0,161,242
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 125","Cactus Lake",9,20,99,3,11,0,142,242
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 126","Denzil",10,15,121,2,14,0,162,274
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 127","Luseland",6,5,35,4,8,0,58,89
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 128","Luseland",5,10,64,2,30,0,111,194
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 129","Luseland",14,18,123,6,33,0,194,281
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 130","Tramping Lake",8,14,60,3,25,0,110,178
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 131","Kelfield",11,9,82,1,25,0,128,269
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 132","Major",8,11,108,2,21,0,150,210
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 133","Kerrobert",10,10,92,2,20,0,134,280
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 134","Kerrobert",18,15,107,4,50,0,194,381
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 135","Kerrobert",12,7,60,0,39,0,118,213
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 136","Plenty",12,24,143,4,19,0,202,359
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 137","Dodsland",4,8,58,1,10,0,81,163
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 138","Coleville",9,10,120,1,25,0,165,334
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 139","Smiley",8,4,61,2,8,0,83,213
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 140","Marengo",10,5,76,1,17,0,109,199
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 141","Alsask",5,6,42,4,18,1,76,112
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster"," 142","Flaxcombe",1,3,70,3,14,3,94,186
