Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Christopherson,Anthony Giles,John Livingstone,Lisa Nussey,Leon O'Connor,Ryan Sparrow,Helen M. Wilson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Hamilton Centre/Hamilton-Centre"," 1","Hamilton ",55,1,3,0,13,0,9,0,81,331
35031,"Hamilton Centre/Hamilton-Centre"," 2","Hamilton ",70,2,4,0,26,0,13,0,115,325
35031,"Hamilton Centre/Hamilton-Centre"," 3","Hamilton ",92,5,11,1,38,0,14,0,161,430
35031,"Hamilton Centre/Hamilton-Centre"," 4","Hamilton ",62,4,19,0,23,2,8,0,118,321
35031,"Hamilton Centre/Hamilton-Centre"," 5","Hamilton ",88,1,12,0,22,2,18,0,143,394
35031,"Hamilton Centre/Hamilton-Centre"," 6","Hamilton ",107,1,21,1,42,0,28,2,202,450
35031,"Hamilton Centre/Hamilton-Centre"," 7","Hamilton ",87,5,8,0,36,0,22,0,158,357
35031,"Hamilton Centre/Hamilton-Centre"," 8","Hamilton ",113,1,26,3,21,2,19,3,188,450
35031,"Hamilton Centre/Hamilton-Centre"," 9","Hamilton ",76,2,13,0,38,0,18,0,147,333
35031,"Hamilton Centre/Hamilton-Centre"," 10","Hamilton ",91,1,15,1,49,0,30,0,187,377
35031,"Hamilton Centre/Hamilton-Centre"," 11","Hamilton ",79,3,19,1,52,1,40,1,196,374
35031,"Hamilton Centre/Hamilton-Centre"," 12","Hamilton ",98,2,22,0,33,1,37,2,195,394
35031,"Hamilton Centre/Hamilton-Centre"," 13","Hamilton ",70,3,13,0,26,0,22,1,135,340
35031,"Hamilton Centre/Hamilton-Centre"," 14","Hamilton ",111,1,10,1,23,0,21,0,167,443
35031,"Hamilton Centre/Hamilton-Centre"," 15","Hamilton ",71,1,10,1,14,2,13,0,112,313
35031,"Hamilton Centre/Hamilton-Centre"," 16","Hamilton ",75,0,5,0,30,0,18,1,129,288
35031,"Hamilton Centre/Hamilton-Centre"," 17","Hamilton ",86,5,7,0,30,0,13,0,141,400
35031,"Hamilton Centre/Hamilton-Centre"," 18","Hamilton ",72,0,11,0,23,1,17,4,128,366
35031,"Hamilton Centre/Hamilton-Centre"," 19","Hamilton ",59,1,4,1,15,0,22,0,102,196
35031,"Hamilton Centre/Hamilton-Centre"," 20","Hamilton ",100,4,17,0,38,2,32,1,194,423
35031,"Hamilton Centre/Hamilton-Centre"," 21","Hamilton ",66,1,16,0,16,0,29,0,128,369
35031,"Hamilton Centre/Hamilton-Centre"," 22","Hamilton ",91,0,12,0,47,0,19,0,169,396
35031,"Hamilton Centre/Hamilton-Centre"," 23","Hamilton ",126,5,6,0,42,3,32,5,219,383
35031,"Hamilton Centre/Hamilton-Centre"," 24","Hamilton ",78,0,6,1,25,1,12,0,123,338
35031,"Hamilton Centre/Hamilton-Centre"," 25","Hamilton ",112,1,12,0,44,0,14,1,184,412
35031,"Hamilton Centre/Hamilton-Centre"," 26","Hamilton ",94,1,17,1,26,0,21,3,163,335
35031,"Hamilton Centre/Hamilton-Centre"," 27","Hamilton ",111,2,10,1,36,2,21,1,184,411
35031,"Hamilton Centre/Hamilton-Centre"," 28","Hamilton ",94,2,15,0,30,0,30,0,171,398
35031,"Hamilton Centre/Hamilton-Centre"," 29","Hamilton ",93,0,10,0,34,0,19,0,156,406
35031,"Hamilton Centre/Hamilton-Centre"," 30","Hamilton ",80,2,15,1,13,1,23,0,135,407
35031,"Hamilton Centre/Hamilton-Centre"," 31","Hamilton ",48,1,3,0,32,0,26,0,110,343
35031,"Hamilton Centre/Hamilton-Centre"," 32","Hamilton ",72,1,12,0,32,1,27,1,146,383
35031,"Hamilton Centre/Hamilton-Centre"," 33","Hamilton ",67,3,12,0,53,0,35,1,171,342
35031,"Hamilton Centre/Hamilton-Centre"," 34","Hamilton ",85,7,15,1,31,1,18,1,159,395
35031,"Hamilton Centre/Hamilton-Centre"," 35","Hamilton ",67,1,3,0,24,0,7,0,102,297
35031,"Hamilton Centre/Hamilton-Centre"," 36","Hamilton ",71,4,8,0,24,4,37,2,150,435
35031,"Hamilton Centre/Hamilton-Centre"," 37","Hamilton ",85,5,11,1,24,0,12,1,139,341
35031,"Hamilton Centre/Hamilton-Centre"," 38","Hamilton ",69,3,8,1,34,0,23,0,138,395
35031,"Hamilton Centre/Hamilton-Centre"," 39","Hamilton ",65,3,10,0,22,2,12,2,116,452
35031,"Hamilton Centre/Hamilton-Centre"," 40","Hamilton ",59,6,7,1,18,1,19,1,112,328
35031,"Hamilton Centre/Hamilton-Centre"," 41","Hamilton ",105,1,5,1,14,0,12,0,138,364
35031,"Hamilton Centre/Hamilton-Centre"," 42","Hamilton ",86,1,3,0,23,0,15,0,128,325
35031,"Hamilton Centre/Hamilton-Centre"," 43","Hamilton ",71,1,13,0,20,1,20,2,128,391
35031,"Hamilton Centre/Hamilton-Centre"," 44","Hamilton ",49,4,6,0,21,0,12,2,94,373
35031,"Hamilton Centre/Hamilton-Centre"," 45","Hamilton ",59,3,7,0,18,3,15,1,106,326
35031,"Hamilton Centre/Hamilton-Centre"," 46","Hamilton ",71,3,16,0,24,0,22,3,139,341
35031,"Hamilton Centre/Hamilton-Centre"," 47","Hamilton ",77,2,4,2,25,0,29,2,141,424
35031,"Hamilton Centre/Hamilton-Centre"," 48","Hamilton ",50,3,7,0,13,0,27,0,100,412
35031,"Hamilton Centre/Hamilton-Centre"," 49","Hamilton ",55,2,17,0,21,1,14,1,111,325
35031,"Hamilton Centre/Hamilton-Centre"," 50","Hamilton ",60,3,7,0,37,3,16,1,127,367
35031,"Hamilton Centre/Hamilton-Centre"," 51","Hamilton ",91,4,50,0,13,2,14,2,176,345
35031,"Hamilton Centre/Hamilton-Centre"," 52","Hamilton ",104,3,13,0,31,0,16,1,168,405
35031,"Hamilton Centre/Hamilton-Centre"," 53","Hamilton ",72,3,13,1,38,0,26,1,154,396
35031,"Hamilton Centre/Hamilton-Centre"," 54","Hamilton ",79,0,19,0,43,0,31,1,173,351
35031,"Hamilton Centre/Hamilton-Centre"," 55","Hamilton ",106,4,18,1,41,0,24,3,197,394
35031,"Hamilton Centre/Hamilton-Centre"," 56","Hamilton ",82,4,23,0,48,2,35,0,194,362
35031,"Hamilton Centre/Hamilton-Centre"," 57","Hamilton ",83,0,17,0,35,0,34,1,170,406
35031,"Hamilton Centre/Hamilton-Centre"," 58","Hamilton ",88,1,14,0,25,0,29,0,157,435
35031,"Hamilton Centre/Hamilton-Centre"," 59","Hamilton ",52,1,9,0,16,0,10,0,88,325
35031,"Hamilton Centre/Hamilton-Centre"," 60","Hamilton ",44,0,9,0,15,0,9,0,77,341
35031,"Hamilton Centre/Hamilton-Centre"," 61","Hamilton ",70,3,4,1,18,1,20,0,117,326
35031,"Hamilton Centre/Hamilton-Centre"," 62","Hamilton ",90,5,5,0,21,2,38,0,161,423
35031,"Hamilton Centre/Hamilton-Centre"," 63","Hamilton ",130,3,8,1,27,1,32,1,203,382
35031,"Hamilton Centre/Hamilton-Centre"," 64","Hamilton ",89,3,8,0,39,1,15,1,156,404
35031,"Hamilton Centre/Hamilton-Centre"," 65","Hamilton ",72,1,4,0,28,0,14,1,120,395
35031,"Hamilton Centre/Hamilton-Centre"," 66","Hamilton ",57,3,8,2,19,1,16,1,107,385
35031,"Hamilton Centre/Hamilton-Centre"," 67","Hamilton ",80,1,10,1,12,1,14,0,119,376
35031,"Hamilton Centre/Hamilton-Centre"," 68","Hamilton ",116,3,20,0,41,0,24,1,205,462
35031,"Hamilton Centre/Hamilton-Centre"," 69","Hamilton ",123,3,14,1,38,0,14,1,194,473
35031,"Hamilton Centre/Hamilton-Centre"," 70","Hamilton ",111,5,12,0,22,0,29,1,180,394
35031,"Hamilton Centre/Hamilton-Centre"," 71","Hamilton ",127,4,13,1,33,0,43,0,221,481
35031,"Hamilton Centre/Hamilton-Centre"," 72","Hamilton ",107,3,14,2,32,0,40,3,201,531
35031,"Hamilton Centre/Hamilton-Centre"," 73","Hamilton ",72,1,8,1,31,0,18,0,131,301
35031,"Hamilton Centre/Hamilton-Centre"," 74","Hamilton ",115,5,8,2,22,0,30,2,184,396
35031,"Hamilton Centre/Hamilton-Centre"," 75","Hamilton ",79,3,22,3,27,0,39,1,174,537
35031,"Hamilton Centre/Hamilton-Centre"," 76","Hamilton ",36,2,12,0,17,0,13,0,80,258
35031,"Hamilton Centre/Hamilton-Centre"," 77","Hamilton ",72,1,14,0,24,0,25,0,136,394
35031,"Hamilton Centre/Hamilton-Centre"," 78","Hamilton ",51,3,3,0,8,0,11,1,77,445
35031,"Hamilton Centre/Hamilton-Centre"," 79","Hamilton ",57,2,14,2,15,1,26,2,119,409
35031,"Hamilton Centre/Hamilton-Centre"," 80","Hamilton ",76,3,14,2,14,1,45,0,155,327
35031,"Hamilton Centre/Hamilton-Centre"," 81","Hamilton ",57,8,16,0,26,1,24,0,132,319
35031,"Hamilton Centre/Hamilton-Centre"," 82","Hamilton ",112,2,32,0,18,1,50,2,217,486
35031,"Hamilton Centre/Hamilton-Centre"," 83","Hamilton ",73,2,17,0,23,1,32,0,148,319
35031,"Hamilton Centre/Hamilton-Centre"," 84","Hamilton ",96,0,16,0,19,0,17,0,148,324
35031,"Hamilton Centre/Hamilton-Centre"," 85","Hamilton ",119,4,25,1,51,1,41,2,244,461
35031,"Hamilton Centre/Hamilton-Centre"," 86","Hamilton ",100,6,24,0,39,0,50,0,219,462
35031,"Hamilton Centre/Hamilton-Centre"," 87","Hamilton ",113,3,26,0,23,0,30,0,195,362
35031,"Hamilton Centre/Hamilton-Centre"," 88","Hamilton ",133,3,3,11,52,1,38,2,243,379
35031,"Hamilton Centre/Hamilton-Centre"," 89","Hamilton ",149,2,32,1,39,0,28,0,251,427
35031,"Hamilton Centre/Hamilton-Centre"," 90","Hamilton ",133,8,32,2,54,1,25,2,257,454
