Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andy Bruziewicz,Pat Davidson,Christopher Desormeaux-Malm,Tim Fugard,Allan McKeown,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35078,"Sarnia--Lambton/Sarnia--Lambton"," 1A","Sarnia",32,87,0,45,4,0,168,325
35078,"Sarnia--Lambton/Sarnia--Lambton"," 1B","Sarnia",39,121,1,65,8,2,236,437
35078,"Sarnia--Lambton/Sarnia--Lambton"," 2","Sarnia",35,112,2,60,40,3,252,417
35078,"Sarnia--Lambton/Sarnia--Lambton"," 3","Sarnia",37,136,2,68,19,1,263,449
35078,"Sarnia--Lambton/Sarnia--Lambton"," 4","Sarnia",25,109,1,61,19,0,215,364
35078,"Sarnia--Lambton/Sarnia--Lambton"," 5","Sarnia",16,121,2,74,15,1,229,405
35078,"Sarnia--Lambton/Sarnia--Lambton"," 6","Sarnia",38,123,3,53,33,0,250,435
35078,"Sarnia--Lambton/Sarnia--Lambton"," 7","Sarnia",56,116,3,50,14,0,239,418
35078,"Sarnia--Lambton/Sarnia--Lambton"," 8","Sarnia",50,92,0,62,29,1,234,422
35078,"Sarnia--Lambton/Sarnia--Lambton"," 9","Sarnia",34,99,0,60,25,0,218,355
35078,"Sarnia--Lambton/Sarnia--Lambton"," 10","Sarnia",44,104,4,49,22,0,223,389
35078,"Sarnia--Lambton/Sarnia--Lambton"," 11","Sarnia",56,93,2,52,23,0,226,395
35078,"Sarnia--Lambton/Sarnia--Lambton"," 12","Sarnia",44,72,2,52,20,0,190,350
35078,"Sarnia--Lambton/Sarnia--Lambton"," 13","Sarnia",35,88,2,53,18,1,197,331
35078,"Sarnia--Lambton/Sarnia--Lambton"," 14","Sarnia",39,90,0,49,9,0,187,359
35078,"Sarnia--Lambton/Sarnia--Lambton"," 15","Sarnia",68,107,3,46,16,1,241,406
35078,"Sarnia--Lambton/Sarnia--Lambton"," 16","Sarnia",36,78,2,63,11,1,191,330
35078,"Sarnia--Lambton/Sarnia--Lambton"," 17","Sarnia",17,86,0,54,14,1,172,263
35078,"Sarnia--Lambton/Sarnia--Lambton"," 18","Sarnia",21,123,0,78,11,1,234,375
35078,"Sarnia--Lambton/Sarnia--Lambton"," 19","Sarnia",37,126,5,83,11,1,263,455
35078,"Sarnia--Lambton/Sarnia--Lambton"," 20","Sarnia",29,118,4,55,9,0,215,391
35078,"Sarnia--Lambton/Sarnia--Lambton"," 21","Sarnia",57,99,1,77,18,2,254,447
35078,"Sarnia--Lambton/Sarnia--Lambton"," 22","Sarnia",42,112,3,36,16,0,209,350
35078,"Sarnia--Lambton/Sarnia--Lambton"," 23","Sarnia",48,80,1,52,11,1,193,339
35078,"Sarnia--Lambton/Sarnia--Lambton"," 24","Sarnia",57,134,2,48,25,4,270,430
35078,"Sarnia--Lambton/Sarnia--Lambton"," 25","Sarnia",23,104,2,62,21,0,212,365
35078,"Sarnia--Lambton/Sarnia--Lambton"," 26","Sarnia",36,70,1,53,9,0,169,341
35078,"Sarnia--Lambton/Sarnia--Lambton"," 27","Point Edward",51,106,0,37,22,0,216,351
35078,"Sarnia--Lambton/Sarnia--Lambton"," 28","Point Edward",63,87,0,38,13,0,201,396
35078,"Sarnia--Lambton/Sarnia--Lambton"," 29","Point Edward",64,138,0,60,24,1,287,509
35078,"Sarnia--Lambton/Sarnia--Lambton"," 30","Point Edward",65,89,1,38,24,3,220,408
35078,"Sarnia--Lambton/Sarnia--Lambton"," 31","Sarnia",40,69,2,32,12,0,155,299
35078,"Sarnia--Lambton/Sarnia--Lambton"," 32","Sarnia",21,46,1,39,15,2,124,278
35078,"Sarnia--Lambton/Sarnia--Lambton"," 33","Sarnia",30,30,0,24,5,1,90,312
35078,"Sarnia--Lambton/Sarnia--Lambton"," 34","Sarnia",34,66,2,41,16,0,159,324
35078,"Sarnia--Lambton/Sarnia--Lambton"," 35","Sarnia",43,78,3,34,16,0,174,304
35078,"Sarnia--Lambton/Sarnia--Lambton"," 36","Sarnia",56,54,0,22,13,1,146,322
35078,"Sarnia--Lambton/Sarnia--Lambton"," 37","Sarnia",64,88,1,34,20,3,210,378
35078,"Sarnia--Lambton/Sarnia--Lambton"," 38","Sarnia",40,102,5,27,21,0,195,381
35078,"Sarnia--Lambton/Sarnia--Lambton"," 39","Sarnia",39,101,2,38,11,0,191,331
35078,"Sarnia--Lambton/Sarnia--Lambton"," 40","Sarnia",46,92,1,57,9,1,206,357
35078,"Sarnia--Lambton/Sarnia--Lambton"," 41","Sarnia",40,89,1,61,19,0,210,378
35078,"Sarnia--Lambton/Sarnia--Lambton"," 42","Sarnia",60,111,3,68,14,1,257,426
35078,"Sarnia--Lambton/Sarnia--Lambton"," 43","Sarnia",46,92,1,38,29,0,206,373
35078,"Sarnia--Lambton/Sarnia--Lambton"," 44","Sarnia",47,99,0,57,10,1,214,356
35078,"Sarnia--Lambton/Sarnia--Lambton"," 45","Sarnia",55,101,1,74,22,0,253,482
35078,"Sarnia--Lambton/Sarnia--Lambton"," 46A","Sarnia",42,114,2,62,19,0,239,450
35078,"Sarnia--Lambton/Sarnia--Lambton"," 46B","Sarnia",36,105,4,47,10,0,202,406
35078,"Sarnia--Lambton/Sarnia--Lambton"," 47","Sarnia",73,81,2,40,16,2,214,496
35078,"Sarnia--Lambton/Sarnia--Lambton"," 48","Sarnia",49,41,1,28,14,0,133,312
35078,"Sarnia--Lambton/Sarnia--Lambton"," 49","Sarnia",49,101,0,37,12,1,200,352
35078,"Sarnia--Lambton/Sarnia--Lambton"," 50","Sarnia",62,74,2,29,7,0,174,359
35078,"Sarnia--Lambton/Sarnia--Lambton"," 51","Sarnia",39,53,1,36,2,0,131,335
35078,"Sarnia--Lambton/Sarnia--Lambton"," 52","Sarnia",68,62,2,44,5,1,182,469
35078,"Sarnia--Lambton/Sarnia--Lambton"," 53","Sarnia",39,75,3,46,16,6,185,370
35078,"Sarnia--Lambton/Sarnia--Lambton"," 54","Sarnia",42,42,1,13,8,2,108,329
35078,"Sarnia--Lambton/Sarnia--Lambton"," 55","Sarnia",54,76,0,31,19,0,180,391
35078,"Sarnia--Lambton/Sarnia--Lambton"," 56","Sarnia",50,92,1,33,10,1,187,440
35078,"Sarnia--Lambton/Sarnia--Lambton"," 57","Sarnia",54,59,2,27,19,1,162,463
35078,"Sarnia--Lambton/Sarnia--Lambton"," 58","Sarnia",48,74,1,36,15,1,175,387
35078,"Sarnia--Lambton/Sarnia--Lambton"," 59","Sarnia",50,64,2,49,21,0,186,352
35078,"Sarnia--Lambton/Sarnia--Lambton"," 60","Sarnia",48,60,3,48,11,0,170,411
35078,"Sarnia--Lambton/Sarnia--Lambton"," 61","Sarnia",75,48,1,32,5,1,162,546
35078,"Sarnia--Lambton/Sarnia--Lambton"," 62","Sarnia",65,91,4,32,7,0,199,378
35078,"Sarnia--Lambton/Sarnia--Lambton"," 63","Sarnia",41,83,8,27,13,1,173,342
35078,"Sarnia--Lambton/Sarnia--Lambton"," 64","Sarnia",18,85,9,21,10,1,144,248
35078,"Sarnia--Lambton/Sarnia--Lambton"," 65","Sarnia",23,69,13,30,10,1,146,345
35078,"Sarnia--Lambton/Sarnia--Lambton"," 66","Sarnia",35,85,16,42,16,0,194,376
35078,"Sarnia--Lambton/Sarnia--Lambton"," 67","Sarnia",61,59,1,34,9,0,164,459
35078,"Sarnia--Lambton/Sarnia--Lambton"," 68","Sarnia",46,100,3,40,11,1,201,437
35078,"Sarnia--Lambton/Sarnia--Lambton"," 69","Sarnia",65,88,2,36,9,2,202,399
35078,"Sarnia--Lambton/Sarnia--Lambton"," 70","Sarnia",76,152,10,38,13,1,290,594
35078,"Sarnia--Lambton/Sarnia--Lambton"," 71A","Sarnia",28,107,0,31,4,3,173,303
35078,"Sarnia--Lambton/Sarnia--Lambton"," 71B","Sarnia",46,101,1,44,10,0,202,353
35078,"Sarnia--Lambton/Sarnia--Lambton"," 72","Sarnia",53,126,2,41,14,2,238,526
35078,"Sarnia--Lambton/Sarnia--Lambton"," 73","Sarnia",57,124,1,25,16,0,223,441
35078,"Sarnia--Lambton/Sarnia--Lambton"," 74","Sarnia",38,86,2,19,4,0,149,353
35078,"Sarnia--Lambton/Sarnia--Lambton"," 75","Sarnia",66,76,0,43,12,0,197,388
35078,"Sarnia--Lambton/Sarnia--Lambton"," 76","Sarnia",65,47,4,22,10,2,150,364
35078,"Sarnia--Lambton/Sarnia--Lambton"," 77","Sarnia",56,50,5,17,14,0,142,414
35078,"Sarnia--Lambton/Sarnia--Lambton"," 78","Sarnia",35,86,1,36,11,0,169,322
35078,"Sarnia--Lambton/Sarnia--Lambton"," 79","Sarnia",53,67,0,26,8,0,154,314
35078,"Sarnia--Lambton/Sarnia--Lambton"," 80","Sarnia",58,78,1,26,10,0,173,381
35078,"Sarnia--Lambton/Sarnia--Lambton"," 81","Sarnia",62,60,0,18,4,0,144,384
35078,"Sarnia--Lambton/Sarnia--Lambton"," 82","Sarnia",45,68,3,24,5,1,146,331
35078,"Sarnia--Lambton/Sarnia--Lambton"," 83","Sarnia",45,81,0,29,19,3,177,339
35078,"Sarnia--Lambton/Sarnia--Lambton"," 84","Sarnia",59,94,1,26,10,0,190,496
35078,"Sarnia--Lambton/Sarnia--Lambton"," 85","Sarnia",60,83,1,23,7,1,175,329
35078,"Sarnia--Lambton/Sarnia--Lambton"," 86","Sarnia",34,84,1,48,20,1,188,397
35078,"Sarnia--Lambton/Sarnia--Lambton"," 87","Sarnia",42,41,5,53,20,2,163,374
35078,"Sarnia--Lambton/Sarnia--Lambton"," 88","Sarnia",56,76,2,25,21,0,180,426
35078,"Sarnia--Lambton/Sarnia--Lambton"," 89","Sarnia",57,33,0,18,10,1,119,303
35078,"Sarnia--Lambton/Sarnia--Lambton"," 90","Sarnia",42,52,0,27,13,0,134,293
35078,"Sarnia--Lambton/Sarnia--Lambton"," 91","Sarnia",41,50,0,29,10,2,132,316
35078,"Sarnia--Lambton/Sarnia--Lambton"," 92","Sarnia",53,101,0,31,19,2,206,387
35078,"Sarnia--Lambton/Sarnia--Lambton"," 93","Sarnia",50,73,3,35,13,1,175,314
35078,"Sarnia--Lambton/Sarnia--Lambton"," 94","Sarnia",55,87,3,25,9,1,180,354
35078,"Sarnia--Lambton/Sarnia--Lambton"," 95","Sarnia",35,57,1,21,8,1,123,290
35078,"Sarnia--Lambton/Sarnia--Lambton"," 96","Sarnia",56,44,0,16,10,1,127,334
35078,"Sarnia--Lambton/Sarnia--Lambton"," 97","Sarnia",44,48,3,19,9,0,123,331
