Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janine Gibson,Shirley Hiebert,Ross Martin,David Reimer,Vic Toews,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46008,"Provencher/Provencher"," 503","Mobile poll/Bureau itinérant",0,7,17,0,16,1,41,54
46008,"Provencher/Provencher"," 504","Mobile poll/Bureau itinérant",2,16,21,1,29,2,71,127
46008,"Provencher/Provencher"," 505","Mobile poll/Bureau itinérant",3,55,21,2,45,0,126,144
46008,"Provencher/Provencher"," 506","Mobile poll/Bureau itinérant",2,11,3,11,171,3,201,308
46008,"Provencher/Provencher"," 507","Mobile poll/Bureau itinérant",2,8,8,1,55,1,75,132
46008,"Provencher/Provencher"," 508","Mobile poll/Bureau itinérant",5,61,4,4,32,0,106,173
46008,"Provencher/Provencher"," 600","Powerview--Pine Falls",3,4,16,0,55,0,78,
46008,"Provencher/Provencher"," 601","Pinawa--Lac du Bonnet",18,26,42,2,220,0,308,
46008,"Provencher/Provencher"," 602","Whitemouth--Reynolds",1,1,2,0,43,0,47,
46008,"Provencher/Provencher"," 603","Oakbank--Springfield",22,21,37,3,209,0,292,
46008,"Provencher/Provencher"," 604","Niverville--Ritchot",4,17,5,4,115,0,145,
46008,"Provencher/Provencher"," 605","Taché--Ile des Chênes",13,34,32,9,104,0,192,
46008,"Provencher/Provencher"," 606","Ste. Anne",10,35,27,3,125,2,202,
46008,"Provencher/Provencher"," 607","Morris--Montcalm",4,18,12,3,79,0,116,
46008,"Provencher/Provencher"," 608","De Salaberry--Franklin",7,14,6,0,51,0,78,
46008,"Provencher/Provencher"," 609","Hanover--La Broquerie",15,25,16,15,199,2,272,
46008,"Provencher/Provencher"," 610","Steinbach",12,36,25,23,382,3,481,
46008,"Provencher/Provencher"," 611","Piney",2,11,3,2,32,0,50,
46008,"Provencher/Provencher",,Group 1/Groupe 1,3,11,12,2,30,3,61,117
46008,"Provencher/Provencher",,Group 2/Groupe 2,10,31,32,3,197,6,279,

