Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Deslauriers,Jessica Gal,Rachel Hoffman,Marlene Jennings,Carmine Pontillo,Eric Taillefer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 1","Dorval",Void/Supprimé,,,,,,,,
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 2","Dorval",58,19,1,101,53,17,0,249,528
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 3","Dorval",34,19,0,87,36,15,0,191,354
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 4","Dorval",65,30,1,102,62,25,1,286,452
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 5","Dorval",49,20,1,100,58,14,1,243,413
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 6","Dorval",54,19,0,92,45,15,1,226,361
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 7","Dorval",48,18,2,99,42,13,1,223,428
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 8","Dorval",48,28,2,104,44,16,0,242,404
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 9","Dorval",41,20,1,85,47,13,0,207,385
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 10","Dorval",35,22,1,119,51,27,0,255,457
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 11","Dorval",42,17,0,106,64,26,3,258,452
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 12","Dorval",39,19,1,124,55,9,0,247,424
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 13","Dorval",57,29,2,118,42,28,3,279,428
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 14","Dorval",52,21,0,104,50,15,1,243,435
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 15","Dorval",40,27,1,110,43,22,0,243,418
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 16","Dorval",31,10,0,58,32,4,0,135,341
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 17","Dorval",21,15,0,86,53,16,0,191,383
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 18","Dorval",32,19,1,102,47,13,2,216,396
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 19","Dorval",34,9,2,121,71,27,1,265,461
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 20","Dorval",47,10,0,110,43,22,1,233,428
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 21","Dorval",10,9,0,101,71,11,0,202,376
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 22","Dorval",39,17,0,69,55,14,1,195,420
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 23","Dorval",34,16,1,88,42,17,2,200,437
24045,"Notre-Dame-de-Grâce--Lachine/Notre-Dame-de-Grâce--Lachine"," 24","Dorval",37,22,0,77,46,18,2,202,438
