Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mauril Bélanger,Patrick Glémaud,Trevor Haché,Christian Legeais,Akbar Manoussi,Michel St-Onge,Robert Taylor-Larter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35065,"Ottawa--Vanier/Ottawa--Vanier"," 1","Gloucester",159,134,45,0,30,3,0,2,373,606
35065,"Ottawa--Vanier/Ottawa--Vanier"," 2","Gloucester",96,102,27,0,24,0,0,0,249,402
35065,"Ottawa--Vanier/Ottawa--Vanier"," 3","Gloucester",144,108,16,1,19,1,1,0,290,456
35065,"Ottawa--Vanier/Ottawa--Vanier"," 4","Gloucester",94,104,28,0,21,0,1,0,248,365
35065,"Ottawa--Vanier/Ottawa--Vanier"," 5","Gloucester",95,110,29,0,17,0,2,2,255,378
35065,"Ottawa--Vanier/Ottawa--Vanier"," 6","Gloucester",112,74,24,1,21,0,2,0,234,380
35065,"Ottawa--Vanier/Ottawa--Vanier"," 7","Gloucester",58,73,22,1,8,2,0,0,164,250
35065,"Ottawa--Vanier/Ottawa--Vanier"," 8","Gloucester",54,77,12,0,7,1,1,0,152,236
35065,"Ottawa--Vanier/Ottawa--Vanier"," 9","Gloucester",116,105,21,1,30,0,0,1,274,395
35065,"Ottawa--Vanier/Ottawa--Vanier"," 10","Gloucester",86,100,23,0,37,0,0,1,247,401
35065,"Ottawa--Vanier/Ottawa--Vanier"," 11","Gloucester",111,104,22,0,24,0,0,1,262,378
35065,"Ottawa--Vanier/Ottawa--Vanier"," 12","Gloucester",111,94,21,2,13,1,1,0,243,431
35065,"Ottawa--Vanier/Ottawa--Vanier"," 13","Gloucester",95,109,31,0,21,1,1,0,258,372
35065,"Ottawa--Vanier/Ottawa--Vanier"," 14","Gloucester",74,50,24,0,10,0,0,1,159,291
35065,"Ottawa--Vanier/Ottawa--Vanier"," 14-1","Gloucester",39,49,21,0,12,0,0,0,121,299
35065,"Ottawa--Vanier/Ottawa--Vanier"," 15","Gloucester",85,85,33,0,13,0,3,3,222,373
