Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dan Bouchard,Stockwell Day,Valerie Hallford,Ralph Poynting,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 1","Logan Lake",24,155,23,56,0,258,427
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 2","Logan Lake",20,160,33,61,0,274,485
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 3","Logan Lake",23,164,17,86,0,290,486
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 4","Logan Lake",19,119,27,59,0,224,374
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 5","Lower Nicola",0,32,6,15,0,53,85
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 6","Lower Nicola",24,130,17,39,0,210,370
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 7","Lower Nicola",18,118,17,32,0,185,323
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 8","Lower Nicola",38,187,19,69,0,313,676
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 9","Coldwater 1",Void/Supprimé,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 10","Aspen Grove",Void/Supprimé,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 11","Merritt",18,219,17,92,1,347,708
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 12","Lower Nicola",7,40,24,56,0,127,350
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 13","Quilchena",6,44,10,74,0,134,281
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 14","Douglas Lake",Void/Supprimé,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 15","Merritt",11,139,37,29,1,217,451
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 16","Merritt",26,172,32,36,0,266,468
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 17","Merritt",19,178,32,61,0,290,513
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 18","Merritt",18,127,25,57,0,227,445
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 19","Merritt",31,138,17,53,1,240,603
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 20","Merritt",22,121,30,52,0,225,433
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 21","Merritt",8,94,20,47,1,170,392
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 22","Merritt",25,66,15,36,0,142,378
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 23","Merritt",4,65,18,49,0,136,361
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 24","Merritt",33,168,18,74,0,293,614
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 25","Merritt",11,94,17,44,2,168,407
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 26","Killiney Beach",46,129,29,48,3,255,490
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 27","Fintry",47,110,34,46,0,237,424
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 28","Wilson Landing",49,138,39,43,0,269,534
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 29","Glenrosa",20,90,9,19,0,138,244
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30A","Glenrosa",12,102,12,29,1,156,325
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30B","Glenrosa",16,112,16,30,0,174,302
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30-1","Glenrosa",21,133,13,27,0,194,386
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 31","Peachland",16,130,22,34,1,203,367
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 31-1","Peachland",19,158,25,22,0,224,376
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 32","Peachland",20,158,30,29,0,237,383
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 33","Peachland",38,160,34,31,1,264,477
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 34","Peachland",33,168,32,46,0,279,529
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 35","Peachland",39,167,41,40,1,288,494
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 36","Peachland",26,122,29,40,0,217,478
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 37","Peachland",30,159,11,29,1,230,429
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 38","Peachland",21,84,29,32,0,166,290
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 39","Peachland",30,106,20,23,1,180,339
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 40","Glenrosa",38,113,27,41,0,219,442
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 41","Glenrosa",39,137,24,45,0,245,519
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 42","Glenrosa",27,99,30,38,0,194,380
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 43","Glenrosa",16,107,19,26,0,168,397
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 44","Glenrosa",32,94,16,45,0,187,415
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 45","Glenrosa",36,131,31,49,0,247,441
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 46","Glenrosa",26,109,16,40,0,191,430
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 47","Westbank",40,136,40,35,1,252,518
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48A","Glenrosa",16,130,15,31,1,193,335
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48B","Glenrosa",20,152,22,25,0,219,407
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48-1","Glenrosa",9,84,12,22,0,127,240
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48-2","Glenrosa",21,131,21,10,0,183,385
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 49A","Westbank",26,113,23,46,0,208,442
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 49B","Mobile poll/Bureau itinérant",Merged with No. 507/Fusionné avec le nº 507,,,,,,5
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 50","Westbank",13,77,7,34,0,131,351
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 51A","Tsinstikeptum 9",8,95,19,23,1,146,291
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 51B","Tsinstikeptum 9",9,123,24,30,0,186,340
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 51-1","Tsinstikeptum 9",Void/Supprimé,,,,,,
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 52A","Tsinstikeptum 9",13,86,9,27,0,135,322
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 52B","Tsinstikeptum 9",10,86,11,35,1,143,333
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 53","Westbank",23,124,30,33,1,211,446
59020,"Okanagan--Coquihalla/Okanagan--Coquihalla"," 54","Westbank",41,162,31,44,0,278,495
