Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ben 97 Benoit,Claude Brunelle,Domita Cundari,Francine Lalonde,Isabelle Maguire,Hubert Pichet,Oumy Sarr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 1","Montréal",2,0,7,176,35,38,26,2,286,514
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 2","Montréal",1,0,15,144,31,23,33,1,248,483
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 3","Montréal",0,0,9,103,30,21,22,3,188,369
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 4","Montréal",1,0,6,167,45,25,24,1,269,423
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 5","Montréal",3,0,9,200,51,29,42,0,334,477
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 6","Montréal",0,0,2,88,20,18,18,2,148,237
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 7","Montréal",1,1,4,138,44,26,44,1,259,559
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 8","Montréal",0,0,8,154,26,28,21,3,240,473
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 9","Montréal",0,0,8,220,57,22,24,2,333,534
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 10","Montréal",1,0,2,118,20,18,25,1,185,319
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 11","Montréal",0,0,4,156,48,38,34,3,283,527
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 12","Montréal",0,0,6,152,46,25,27,2,258,399
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13","Montréal",1,0,11,146,30,26,42,3,259,391
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 13-1","Montréal",3,1,10,166,46,18,54,4,302,545
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 14","Montréal",1,0,5,172,50,21,33,5,287,429
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 15","Montréal",1,1,2,94,23,32,37,3,193,369
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 16","Montréal",2,0,5,171,30,36,19,2,265,407
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 17","Montréal",3,0,6,163,50,28,44,1,295,466
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 18","Montréal",0,1,3,94,13,26,27,7,171,422
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 19","Montréal",2,0,4,87,24,27,11,9,164,448
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 20","Montréal",3,2,13,159,35,31,36,6,285,472
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 21","Montréal",0,2,4,133,22,22,22,1,206,473
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 22","Montréal",1,0,4,138,7,17,25,4,196,481
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 23","Montréal",2,0,11,113,28,20,34,1,209,413
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 24","Montréal",0,1,2,105,12,21,34,2,177,324
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 25","Montréal",0,1,8,107,17,23,25,3,184,405
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 26","Montréal",1,0,2,113,17,42,38,4,217,560
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 27","Montréal",0,0,3,87,18,13,20,3,144,321
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 28","Montréal",3,0,5,136,22,36,23,2,227,354
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 29","Montréal",1,1,5,163,24,19,38,8,259,419
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 30","Montréal",1,0,10,95,14,16,22,2,160,351
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 31","Montréal",0,0,4,130,36,31,30,2,233,393
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 32","Montréal",2,4,3,131,29,23,27,0,219,331
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 33","Montréal",2,1,2,150,18,21,18,7,219,402
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 34","Montréal",2,1,4,98,17,11,43,6,182,390
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 35","Montréal",1,1,4,139,29,17,38,1,230,365
24028,"La Pointe-de-l'Île/La Pointe-de-l'Île"," 36","Montréal",1,0,9,141,46,29,32,0,258,424
