Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Guy Bergeron,Gabriel Biron,Steven Blaney,Lynne Champoux-Williams,Pauline Côté,Normand Fournier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 1","Lévis",41,13,41,3,23,0,5,126,326
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 2A","Lévis",36,15,56,4,8,1,3,123,265
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 2B","Lévis",43,16,47,3,16,0,1,126,270
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 3","Lévis",48,15,82,4,22,1,5,177,321
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 4","Lévis",50,30,79,7,13,0,5,184,341
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 5","Lévis",45,30,61,4,26,0,2,168,288
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 6","Lévis",59,51,99,21,26,2,5,263,481
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 7","Lévis",76,38,92,6,27,2,7,248,479
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 8","Lévis",83,34,84,5,18,0,2,226,379
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 9","Lévis",65,30,92,3,24,0,4,218,378
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 10","Lévis",81,39,95,2,32,0,1,250,424
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 11","Lévis",52,24,85,5,21,1,3,191,369
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 12","Lévis",57,37,73,5,25,0,4,201,372
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 13","Lévis",48,25,42,5,21,0,7,148,341
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 14","Lévis",61,35,86,15,39,0,5,241,517
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 15","Lévis",54,20,33,3,20,0,2,132,427
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 16","Lévis",60,33,86,5,21,1,5,211,415
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 17","Lévis",77,32,92,5,48,0,3,257,399
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 18","Lévis",51,42,137,4,19,0,1,254,460
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 19","Lévis",95,21,93,3,40,0,6,258,471
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 20","Lévis",53,27,71,3,20,0,6,180,350
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 21","Lévis",30,17,38,12,9,0,1,107,268
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 22","Lévis",55,28,63,6,37,0,3,192,395
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 23","Lévis",87,25,97,8,43,0,9,269,430
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 24","Lévis",55,24,54,1,24,0,3,161,304
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 25","Lévis",94,28,100,8,48,0,2,280,400
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 26","Lévis",61,27,128,10,47,1,2,276,451
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 26-1","Lévis",76,31,119,6,46,0,4,282,472
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 27","Lévis",94,42,98,3,40,0,1,278,460
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 28","Lévis",84,43,92,8,34,1,7,269,463
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 29","Lévis",81,31,69,4,45,0,2,232,385
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 30","Lévis",56,22,69,7,29,0,1,184,402
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 31","Lévis",63,20,71,12,27,0,6,199,324
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 32","Lévis",60,26,43,10,23,0,4,166,374
24034,"Lévis--Bellechasse/Lévis--Bellechasse"," 33","Lévis",38,16,45,8,33,1,5,146,313
