Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Wayne Boucher,Andrew Graham,Nancy MacIntosh,Greg Thompson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1","Kingsclear",1,12,17,11,0,41,287
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 1-1","Kingsclear",Void/Supprimé,,,,,,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 2","Island View",17,36,60,115,2,230,340
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 3","Island View",13,28,81,123,1,246,391
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4","Hanwell",23,44,72,96,1,236,424
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 4-1","Kingsclear",11,32,60,85,0,188,315
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 5","Hanwell",22,47,82,122,0,273,397
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 6","Hanwell",15,59,45,82,2,203,376
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 7","Parc Greenwood Park",9,34,33,50,1,127,393
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 8","Hanwell",16,34,72,129,0,251,370
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 9","Hanwell",17,48,92,151,2,310,470
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10","Hanwell",18,41,60,101,0,220,409
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 10-1","Kingsclear",8,53,52,64,0,177,338
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 11","Mazerolle Settlement",23,34,75,109,2,243,393
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 12","Kingsclear",20,22,60,86,0,188,271
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 13","Newmarket",23,37,104,143,0,307,489
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 14","Prince William",1,29,54,120,1,205,415
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 15","Magaguadavic",4,38,36,88,1,167,252
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 16","Dumfries",14,32,32,85,0,163,284
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 17","McAdam",6,25,16,130,2,179,305
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 18","McAdam",3,22,16,103,1,145,308
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 19","McAdam",1,12,4,105,0,122,267
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 20","McAdam",2,15,7,52,0,76,199
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 21","York Mills",7,23,15,95,1,141,251
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 22","Coburn",6,25,35,125,0,191,318
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 23","Tweedside",10,32,23,152,0,217,348
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 24","Harvey",23,37,59,120,0,239,436
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 25","Harvey",20,36,53,92,2,203,376
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 26","Beaver Dam",18,61,64,123,0,266,464
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 27","Charters Settlement",19,62,62,146,3,292,481
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 28","Nasonworth",19,55,64,162,0,300,456
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 29","Nasonworth",22,28,62,111,0,223,375
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 30","Tracy",10,34,42,163,2,251,451
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 31","Tracy",7,34,33,173,0,247,404
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 32","Fredericton Junction",10,13,31,127,1,182,344
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 33","Fredericton Junction",8,23,21,112,2,166,316
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 34","Blissville",6,33,62,112,1,214,316
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 35","Hoyt",7,19,43,75,0,144,227
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 36","Wirral",11,29,47,115,2,204,310
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 37","Welsford",6,45,57,101,2,211,388
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 38","Hampstead",10,19,31,80,1,141,214
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 39","Upper Gagetown",12,28,31,86,1,158,241
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40","Gagetown",13,29,55,81,2,180,318
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40-1A","Gagetown",9,11,25,74,0,119,222
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 40-1B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,28
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 41","Whites Cove",13,41,31,87,0,172,291
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 42","Jemseg",10,23,23,53,0,109,173
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 43","Shannon",11,25,29,122,1,188,299
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44","Cambridge-Narrows",12,23,38,68,2,143,256
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 44-1","Cambridge-Narrows",6,23,23,93,1,146,280
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 45","Coles Island",17,31,21,91,4,164,234
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 46","Long Creek",8,35,36,81,0,160,302
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 47","Head of Millstream",21,41,32,83,0,177,312
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 48","Newtown",14,69,41,128,2,254,464
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 49","Smiths Creek",11,41,41,73,0,166,311
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 50","Roachville",7,27,27,119,1,181,326
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 51","Berwick",22,53,34,115,1,225,369
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 52","Studholm",18,35,54,158,0,265,508
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 53","Collina",14,38,39,107,1,199,347
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 54","Collina",Void/Supprimé,,,,,,
13008,"New Brunswick Southwest/Nouveau-Brunswick-Sud-Ouest"," 55","Belleisle Creek",17,58,47,137,1,260,414
