Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jennifer Burgis,Troy DeSouza,Brian G. Gordon,Keith Martin,Philip G. Ney,Brad Rhodes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 1","Port Renfrew",29,22,11,28,0,0,1,91,165
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 2","Shirley",35,38,26,66,2,0,0,167,283
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 3","Sooke",30,46,8,37,0,1,0,122,254
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 4","Otter Point",91,109,47,138,3,0,0,388,644
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 5","Otter Point",84,95,38,105,1,0,0,323,593
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 6","East Sooke",68,113,54,165,0,0,0,400,600
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 7","East Sooke",65,104,21,128,5,1,1,325,538
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 8","Sooke",53,57,11,48,0,1,0,170,295
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 8-1","Sooke",27,74,8,53,1,1,0,164,291
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 9","Sooke",68,117,27,91,2,0,0,305,531
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 10","Sooke",59,65,27,71,2,0,0,224,471
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 11","Sooke",62,95,41,101,1,2,0,302,559
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 12","Sooke",32,54,18,53,2,1,2,162,360
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 12-1","Sooke",40,82,14,67,1,0,0,204,317
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 13","Sooke",73,74,19,106,2,1,0,275,519
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 14","Sooke",54,64,10,75,1,1,0,205,470
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 15","Sooke",49,54,21,53,2,2,0,181,328
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 16","Sooke",43,81,11,76,0,0,0,211,391
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 16-1","Sooke",50,72,16,55,1,1,0,195,330
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 17","Sooke",62,90,31,78,4,1,0,266,399
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 17-1","Sooke",56,125,9,117,2,0,0,309,512
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 18","Sooke",64,38,15,86,2,3,1,209,485
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 19","Saseenos",57,105,24,73,1,0,0,260,480
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 20","Saseenos",62,95,25,107,2,3,1,295,513
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 21","Sooke 1",Void/Supprimé,,,,,,,,
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 22","Langford",63,104,19,96,0,1,0,283,496
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 22-1","Langford",48,191,20,126,0,0,0,385,692
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 23","Langford",50,123,33,79,0,0,1,286,518
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 24","Millstream",26,41,19,59,1,0,1,147,244
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 25","Millstream",36,44,21,55,0,0,0,156,277
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 26","Langford",71,59,12,49,3,0,0,194,398
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 27","Langford",77,147,33,133,1,0,1,392,718
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 28","Langford",87,167,40,125,3,1,0,423,682
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 29","Langford",75,123,31,114,1,2,1,347,614
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 30","Langford",56,110,22,95,2,0,0,285,506
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 31","Langford",68,97,22,63,2,0,0,252,391
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 32","Langford",45,74,7,62,1,1,0,190,300
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 33","Langford",74,148,20,88,2,0,0,332,546
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 34","Langford",39,85,18,62,1,1,0,206,384
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 35","Langford",54,69,18,73,0,0,1,215,408
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 36","Langford",73,134,17,88,1,2,0,315,583
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 37","Langford",54,90,30,98,0,0,1,273,446
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 38","Langford",94,120,27,109,3,0,0,353,625
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 39","Langford",61,71,24,88,0,4,0,248,491
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 40","Langford",56,130,28,81,1,2,2,300,558
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 41","Langford",69,167,18,112,1,1,0,368,613
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 42","Langford",82,111,17,76,2,0,0,288,493
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 43","Langford",60,61,27,51,1,1,1,202,389
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 44","Langford",90,95,21,52,3,0,0,261,444
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 45","Langford",38,52,19,55,2,0,0,166,376
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 46","Langford",84,148,37,113,2,0,0,384,648
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 47","Langford",50,64,11,43,2,0,0,170,300
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 48","Langford",101,131,34,123,2,1,1,393,756
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 49","Langford",79,97,24,119,1,1,0,321,673
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 50","Langford",64,78,12,84,3,4,0,245,448
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 51","Langford",60,92,25,68,0,0,0,245,409
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 52","Langford",56,105,14,94,0,0,0,269,435
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 53","Langford",69,96,27,83,1,0,0,276,478
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 54","Langford",43,41,9,38,1,0,1,133,252
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 55","Langford",66,127,28,83,1,0,0,305,502
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 56","Langford",102,138,44,133,4,3,0,424,694
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 57","Langford",37,129,18,94,1,0,1,280,472
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 58","Langford",57,99,21,68,1,1,1,248,422
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 59","Willis Point",32,90,20,100,0,0,1,243,343
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 60","Saanich",54,102,35,112,0,1,1,305,473
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 61","Elk Lake",54,94,24,84,2,0,1,259,428
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 62","Prospect Lake",63,135,37,133,1,0,0,369,580
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 63","Prospect Lake",39,114,35,112,3,0,1,304,533
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 64","Beaver Lake",47,124,30,99,3,3,0,306,436
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 65","Beaver Lake",46,100,26,98,3,0,4,277,445
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 66","ViewRoyal",55,133,37,128,1,1,0,355,647
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 67","ViewRoyal",54,84,12,57,2,0,1,210,400
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 68","Saanich",43,126,25,109,0,1,1,305,477
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 69","Saanich",54,90,24,77,1,0,0,246,390
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 70","Saanich",75,159,44,127,0,0,1,406,627
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 71","Saanich",46,159,21,160,1,0,0,387,616
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 72","Saanich",25,55,12,42,0,0,0,134,230
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 73","Saanich",51,101,16,83,1,0,2,254,416
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 74","Saanich",73,92,24,90,0,0,0,279,476
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 75","Saanich",71,92,20,66,1,0,0,250,403
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 76","Saanich",62,120,17,82,1,0,1,283,446
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 77","Saanich",80,75,21,81,1,0,4,262,459
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 78","Saanich",83,115,26,121,1,0,1,347,551
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 79","Saanich",78,95,20,92,2,0,1,288,452
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 80","Saanich",44,46,15,52,1,0,2,160,250
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 81","Saanich",57,94,22,83,0,1,0,257,370
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 82","Saanich",91,101,16,95,2,1,1,307,493
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 83","Saanich",58,115,24,102,3,0,2,304,478
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 84","Saanich",41,101,16,55,1,0,0,214,363
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 85","Saanich",85,73,21,118,1,1,1,300,507
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 86","Saanich",72,88,23,103,0,0,0,286,420
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 87","Saanich",60,122,15,112,1,0,2,312,561
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 88","Saanich",47,97,17,74,1,0,0,236,383
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 89","Saanich",24,79,11,73,2,1,0,190,298
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 90","View Royal",51,81,15,78,0,0,0,225,405
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 91","Saanich",48,76,19,73,1,0,0,217,384
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 92","Saanich",70,137,15,91,1,1,1,316,509
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 93","View Royal",73,141,31,131,0,0,0,376,617
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 94","View Royal",44,56,19,52,0,0,0,171,310
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 95","View Royal",41,73,16,70,0,0,0,200,333
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 96","View Royal",56,140,27,142,4,4,0,373,656
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 97","View Royal",61,84,22,114,2,1,0,284,518
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 98","View Royal",63,112,35,91,1,1,0,303,570
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 99","View Royal",52,51,14,81,1,0,1,200,302
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 100","View Royal",52,30,10,70,1,0,0,163,293
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 101","View Royal",69,122,21,115,2,1,1,331,547
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 102","View Royal",40,60,21,120,2,0,0,243,450
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 103","View Royal",76,56,23,47,0,1,0,203,337
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 104","View Royal",40,95,15,125,0,0,1,276,411
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 105","View Royal",70,61,16,67,1,0,1,216,389
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 106","New Songhees 1A",25,14,3,7,0,0,0,49,185
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 107","New Songhees 1A",162,102,20,80,5,2,0,371,809
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 108","Saanich",78,82,29,81,2,1,1,274,483
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 109","Saanich",48,68,14,69,0,0,0,199,286
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 110","Saanich",77,154,23,149,1,1,1,406,609
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 111","Saanich",64,80,40,99,1,1,0,285,471
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 112","Saanich",65,78,24,90,1,2,0,260,447
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 113","Saanich",83,63,18,44,2,1,1,212,334
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 114","Saanich",60,77,32,88,2,0,0,259,429
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 115","Saanich",65,87,14,95,3,0,0,264,383
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 116","Saanich",61,51,23,69,0,1,0,205,375
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 117","Saanich",62,70,20,78,4,0,0,234,382
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 118","Saanich",58,45,33,60,1,2,1,200,355
59008,"Esquimalt--Juan de Fuca/Esquimalt--Juan de Fuca"," 119","Saanich",74,50,22,78,2,0,1,227,429
