Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,John Chan,Eric Donovan,Doug James,Jason E. McNeil,Jim Prentice,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 1","Calgary",1,13,7,12,0,109,0,142,371
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 2","Calgary",0,16,12,16,1,101,1,147,375
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 3","Calgary",1,23,12,11,1,72,0,120,314
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 4","Calgary",0,20,18,17,3,137,2,197,371
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 5","Calgary",0,18,11,15,1,75,0,120,301
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 6","Calgary",0,24,11,6,1,66,0,108,253
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 7","Calgary",1,23,19,25,0,122,1,191,444
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 8","Calgary",1,23,14,20,1,111,0,170,377
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 9","Calgary",0,23,18,10,0,81,2,134,332
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 10","Calgary",3,19,4,15,1,79,0,121,244
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 11","Calgary",0,19,15,18,2,141,0,195,401
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 12","Calgary",1,28,15,26,1,99,0,170,396
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 13","Calgary",0,28,32,21,1,144,1,227,456
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 14","Calgary",1,19,13,1,1,72,2,109,265
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 15","Calgary",0,24,17,26,1,55,1,124,310
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 16","Calgary",1,25,16,15,1,64,0,122,331
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 17","Calgary",0,18,11,22,0,111,0,162,318
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 18","Calgary",1,21,20,9,2,94,0,147,328
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 19","Calgary",1,23,18,7,0,76,0,125,233
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 20","Calgary",0,29,14,12,4,112,1,172,369
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 21","Calgary",2,30,17,21,1,131,0,202,373
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 22","Calgary",3,20,18,8,2,126,0,177,341
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 23","Calgary",0,15,4,16,4,106,0,145,307
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 24","Calgary",1,23,7,7,0,89,1,128,352
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 25","Calgary",1,6,13,19,2,71,1,113,225
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 26","Calgary",0,26,15,18,1,122,0,182,301
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 27","Calgary",1,22,15,9,4,68,1,120,285
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 28","Calgary",0,27,18,17,2,110,2,176,391
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 29","Calgary",1,16,11,10,1,97,0,136,241
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 30","Calgary",0,27,33,18,0,117,0,195,390
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 31","Calgary",0,23,18,7,0,67,0,115,277
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 32","Calgary",1,19,16,12,1,106,0,155,322
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 33","Calgary",1,27,21,8,0,66,1,124,272
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 34","Calgary",0,26,15,14,0,152,0,207,381
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 35","Calgary",1,20,22,11,2,140,0,196,342
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 36","Calgary",0,26,13,12,1,94,0,146,353
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 37","Calgary",1,26,13,17,2,115,1,175,400
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 38","Calgary",0,28,15,15,1,104,3,166,359
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 39","Calgary",2,30,14,16,2,137,1,202,404
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 40","Calgary",1,28,21,13,1,93,2,159,395
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 41","Calgary",0,33,22,7,0,92,1,155,356
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 42","Calgary",0,35,26,20,3,138,0,222,433
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 43","Calgary",2,36,22,16,4,139,1,220,413
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 44","Calgary",0,32,14,14,2,106,1,169,359
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 45","Calgary",1,11,11,18,3,100,0,144,285
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 46","Calgary",1,16,14,16,0,117,3,167,308
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 47","Calgary",1,15,17,15,1,63,0,112,331
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 48","Calgary",1,15,15,7,1,83,0,122,286
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 49","Calgary",1,28,15,11,0,108,0,163,353
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 50","Calgary",0,42,22,25,3,119,0,211,430
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 51","Calgary",1,27,23,21,1,122,0,195,380
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 52","Calgary",0,39,12,16,0,109,2,178,384
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 53","Calgary",0,16,22,5,1,154,2,200,367
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 54","Calgary",0,27,4,14,0,86,0,131,313
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 55","Calgary",0,26,10,16,1,97,1,151,330
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 56","Calgary",1,18,12,4,1,47,0,83,271
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 57","Calgary",0,23,16,16,2,71,2,130,358
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 58","Calgary",0,23,22,15,1,68,0,129,326
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 59","Calgary",5,26,25,27,3,155,1,242,489
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 60","Calgary",1,27,21,8,0,53,0,110,373
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 61","Calgary",0,12,15,7,0,72,0,106,321
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 62","Calgary",0,13,19,13,0,92,0,137,285
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 63","Calgary",0,55,23,2,2,100,1,183,493
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 64","Calgary",0,24,28,15,2,144,1,214,336
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 65","Calgary",1,35,32,14,2,175,0,259,441
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 66","Calgary",0,28,22,17,3,134,2,206,356
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 67","Calgary",0,15,16,16,0,94,0,141,279
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 68","Calgary",1,16,32,6,2,126,1,184,355
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 69","Calgary",0,24,30,11,1,83,0,149,330
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 70","Calgary",0,18,21,9,1,124,0,173,304
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 71","Calgary",0,24,26,14,0,109,1,174,237
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 72","Calgary",0,22,22,17,1,124,0,186,269
48003,"Calgary Centre-North/Calgary-Centre-Nord"," 73","Calgary",0,25,22,21,0,117,0,185,332
