Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,Noel Burgon,Ryan Dolby,Carl Hiemstra,Joe Preston,Suzanne van Bommel,Michael van Holst,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 174","Malahide",0,9,32,7,105,31,0,9,193,411
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 175","Springfield",0,9,65,7,114,42,2,2,241,454
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 176","Malahide",0,6,12,6,55,11,1,0,91,310
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 177","Malahide",0,11,20,0,61,25,0,0,117,199
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 178","Malahide",0,8,15,2,84,21,1,0,131,226
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 179","Malahide",0,11,16,2,73,30,0,0,132,286
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 180","Malahide",0,7,11,2,103,27,2,0,152,375
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 181","Malahide",0,5,26,4,105,13,0,2,155,317
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 182","Malahide",1,6,17,6,96,28,0,1,155,298
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 183","Aylmer",0,8,21,4,76,20,0,0,129,309
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 184","Aylmer",2,8,18,2,64,26,1,2,123,314
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 185","Aylmer",2,6,39,2,112,38,1,0,200,460
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 186","Aylmer",1,13,34,2,54,19,1,0,124,333
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 187","Aylmer",0,9,35,7,141,34,0,0,226,428
35020,"Elgin--Middlesex--London/Elgin--Middlesex--London"," 188","Aylmer",0,4,21,1,76,37,0,0,139,322
