Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Hugh Arrison,Richard Laushway,Paul Szabo,Matt Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35050,"Mississauga South/Mississauga-Sud"," 1","Mississauga",75,15,96,20,0,206,339
35050,"Mississauga South/Mississauga-Sud"," 2","Mississauga",68,11,101,23,1,204,330
35050,"Mississauga South/Mississauga-Sud"," 3","Mississauga",69,17,101,27,0,214,377
35050,"Mississauga South/Mississauga-Sud"," 4","Mississauga",42,16,63,7,0,128,261
35050,"Mississauga South/Mississauga-Sud"," 5","Mississauga",57,20,66,7,0,150,256
35050,"Mississauga South/Mississauga-Sud"," 6","Mississauga",95,23,132,17,0,267,455
35050,"Mississauga South/Mississauga-Sud"," 7","Mississauga",105,22,130,23,0,280,453
35050,"Mississauga South/Mississauga-Sud"," 8","Mississauga",119,29,98,23,0,269,453
35050,"Mississauga South/Mississauga-Sud"," 9","Mississauga",85,28,140,11,1,265,389
35050,"Mississauga South/Mississauga-Sud"," 10","Mississauga",87,11,92,11,1,202,323
35050,"Mississauga South/Mississauga-Sud"," 11","Mississauga",80,11,75,21,4,191,329
35050,"Mississauga South/Mississauga-Sud"," 12","Mississauga",67,18,81,5,0,171,277
35050,"Mississauga South/Mississauga-Sud"," 13","Mississauga",101,18,128,19,0,266,451
35050,"Mississauga South/Mississauga-Sud"," 14","Mississauga",72,25,96,13,0,206,375
35050,"Mississauga South/Mississauga-Sud"," 15","Mississauga",Merged with No. 16/Fusionné avec le nº 16,,,,,,60
35050,"Mississauga South/Mississauga-Sud"," 16","Mississauga",75,12,80,22,1,190,291
35050,"Mississauga South/Mississauga-Sud"," 17","Mississauga",104,12,99,31,1,247,447
35050,"Mississauga South/Mississauga-Sud"," 18","Mississauga",67,13,89,20,1,190,425
35050,"Mississauga South/Mississauga-Sud"," 19","Mississauga",62,15,95,16,0,188,352
35050,"Mississauga South/Mississauga-Sud"," 20","Mississauga",101,33,104,36,1,275,493
35050,"Mississauga South/Mississauga-Sud"," 21","Mississauga",58,22,47,14,1,142,529
35050,"Mississauga South/Mississauga-Sud"," 22","Mississauga",8,1,33,11,0,53,153
35050,"Mississauga South/Mississauga-Sud"," 23","Mississauga",50,11,46,14,0,121,315
35050,"Mississauga South/Mississauga-Sud"," 24","Mississauga",110,16,101,22,2,251,403
35050,"Mississauga South/Mississauga-Sud"," 25","Mississauga",102,11,127,20,0,260,390
35050,"Mississauga South/Mississauga-Sud"," 26","Mississauga",88,23,117,31,1,260,484
35050,"Mississauga South/Mississauga-Sud"," 27","Mississauga",92,17,83,49,3,244,450
35050,"Mississauga South/Mississauga-Sud"," 28","Mississauga",63,15,92,18,2,190,447
35050,"Mississauga South/Mississauga-Sud"," 29","Mississauga",10,3,11,12,0,36,137
35050,"Mississauga South/Mississauga-Sud"," 30","Mississauga",72,21,93,32,1,219,391
35050,"Mississauga South/Mississauga-Sud"," 31","Mississauga",59,19,79,26,3,186,393
35050,"Mississauga South/Mississauga-Sud"," 32","Mississauga",80,16,118,25,0,239,455
35050,"Mississauga South/Mississauga-Sud"," 33","Mississauga",76,20,108,25,0,229,444
35050,"Mississauga South/Mississauga-Sud"," 34","Mississauga",77,21,84,23,2,207,459
35050,"Mississauga South/Mississauga-Sud"," 35","Mississauga",63,16,95,13,3,190,364
35050,"Mississauga South/Mississauga-Sud"," 36","Mississauga",61,20,110,20,2,213,362
35050,"Mississauga South/Mississauga-Sud"," 37","Mississauga",85,9,85,22,0,201,389
35050,"Mississauga South/Mississauga-Sud"," 38","Mississauga",67,19,128,32,0,246,486
35050,"Mississauga South/Mississauga-Sud"," 39A","Mississauga",87,31,94,19,0,231,474
35050,"Mississauga South/Mississauga-Sud"," 39B","Mississauga",78,16,93,23,0,210,445
35050,"Mississauga South/Mississauga-Sud"," 40","Mississauga",76,14,64,36,1,191,377
35050,"Mississauga South/Mississauga-Sud"," 41","Mississauga",51,20,75,27,2,175,380
35050,"Mississauga South/Mississauga-Sud"," 42","Mississauga",46,10,53,25,0,134,323
35050,"Mississauga South/Mississauga-Sud"," 43","Mississauga",65,22,109,33,0,229,526
35050,"Mississauga South/Mississauga-Sud"," 44","Mississauga",86,23,86,21,0,216,406
35050,"Mississauga South/Mississauga-Sud"," 45","Mississauga",61,11,60,29,2,163,508
35050,"Mississauga South/Mississauga-Sud"," 46","Mississauga",58,14,38,15,1,126,380
35050,"Mississauga South/Mississauga-Sud"," 47","Mississauga",61,13,41,35,0,150,360
35050,"Mississauga South/Mississauga-Sud"," 48","Mississauga",44,10,39,26,0,119,316
35050,"Mississauga South/Mississauga-Sud"," 49","Mississauga",87,30,95,32,1,245,496
35050,"Mississauga South/Mississauga-Sud"," 50","Mississauga",36,7,72,11,1,127,316
35050,"Mississauga South/Mississauga-Sud"," 51","Mississauga",62,10,90,16,0,178,300
35050,"Mississauga South/Mississauga-Sud"," 52","Mississauga",26,7,36,17,1,87,291
35050,"Mississauga South/Mississauga-Sud"," 53","Mississauga",38,7,39,11,0,95,232
35050,"Mississauga South/Mississauga-Sud"," 54","Mississauga",32,4,54,24,1,115,398
35050,"Mississauga South/Mississauga-Sud"," 55","Mississauga",18,2,19,6,1,46,141
35050,"Mississauga South/Mississauga-Sud"," 56A","Mississauga",51,9,45,25,0,130,341
35050,"Mississauga South/Mississauga-Sud"," 56B","Mississauga",37,11,42,27,0,117,373
35050,"Mississauga South/Mississauga-Sud"," 57","Mississauga",69,6,61,12,0,148,371
35050,"Mississauga South/Mississauga-Sud"," 58","Mississauga",21,3,16,7,0,47,112
35050,"Mississauga South/Mississauga-Sud"," 59","Mississauga",98,8,63,5,0,174,344
35050,"Mississauga South/Mississauga-Sud"," 60","Mississauga",144,16,107,9,2,278,485
35050,"Mississauga South/Mississauga-Sud"," 61","Mississauga",102,12,126,7,0,247,412
35050,"Mississauga South/Mississauga-Sud"," 62","Mississauga",78,21,100,23,0,222,396
35050,"Mississauga South/Mississauga-Sud"," 63","Mississauga",113,19,112,10,2,256,392
35050,"Mississauga South/Mississauga-Sud"," 64","Mississauga",89,22,97,11,1,220,350
35050,"Mississauga South/Mississauga-Sud"," 65","Mississauga",75,11,70,9,0,165,266
35050,"Mississauga South/Mississauga-Sud"," 66","Mississauga",78,23,93,19,0,213,374
35050,"Mississauga South/Mississauga-Sud"," 67","Mississauga",80,16,128,26,0,250,398
35050,"Mississauga South/Mississauga-Sud"," 68","Mississauga",59,24,59,26,1,169,299
35050,"Mississauga South/Mississauga-Sud"," 69","Mississauga",60,42,79,22,1,204,385
35050,"Mississauga South/Mississauga-Sud"," 70","Mississauga",99,24,101,28,0,252,424
35050,"Mississauga South/Mississauga-Sud"," 71","Mississauga",86,28,99,9,0,222,369
35050,"Mississauga South/Mississauga-Sud"," 72","Mississauga",47,23,66,13,0,149,285
35050,"Mississauga South/Mississauga-Sud"," 73","Mississauga",82,22,106,8,0,218,350
35050,"Mississauga South/Mississauga-Sud"," 74","Mississauga",42,10,47,11,0,110,255
35050,"Mississauga South/Mississauga-Sud"," 75","Mississauga",57,18,66,16,0,157,350
35050,"Mississauga South/Mississauga-Sud"," 76A","Mississauga",77,26,77,3,0,183,327
35050,"Mississauga South/Mississauga-Sud"," 76B","Mississauga",82,9,92,6,0,189,366
35050,"Mississauga South/Mississauga-Sud"," 77","Mississauga",94,12,100,7,1,214,327
35050,"Mississauga South/Mississauga-Sud"," 78","Mississauga",138,4,92,9,3,246,403
35050,"Mississauga South/Mississauga-Sud"," 79","Mississauga",105,13,97,6,0,221,414
35050,"Mississauga South/Mississauga-Sud"," 80","Mississauga",105,18,92,9,1,225,385
35050,"Mississauga South/Mississauga-Sud"," 81","Mississauga",156,19,112,5,1,293,437
35050,"Mississauga South/Mississauga-Sud"," 82","Mississauga",61,1,55,2,0,119,259
35050,"Mississauga South/Mississauga-Sud"," 83","Mississauga",117,10,100,6,1,234,448
35050,"Mississauga South/Mississauga-Sud"," 84","Mississauga",114,4,99,6,0,223,432
