Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Aegard,Ken Boshcoff,Richard Neumann,John Rafferty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1A","Morson",0,8,33,10,0,51,105
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 1B","Morson",2,4,0,30,0,36,54
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 2","Morson",1,7,0,57,0,65,78
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 3","Bergland",3,23,39,31,0,96,135
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 4","Finland",6,33,34,18,0,91,190
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 5","Dawson",4,18,33,19,0,74,107
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6A","Rainy River",2,24,26,42,0,94,278
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 6B","Rainy River",0,24,23,33,1,81,262
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 7","River",1,16,33,33,0,83,243
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 8","Sleeman",2,10,30,16,0,58,147
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 9","Pinewood",3,4,19,21,1,48,108
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 10","Stratton",2,38,103,58,0,201,351
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 11","Barwick",6,11,61,37,0,115,250
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 12","Manitou Rapids 11",1,25,2,52,1,81,94
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 13","Emo",5,28,87,35,0,155,265
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 14","Emo",9,36,70,41,0,156,241
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15A","Emo",4,31,70,36,0,141,335
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 15B","Emo",3,31,72,50,0,156,338
35090,"Thunder Bay--Rainy River/Thunder Bay--Rainy River"," 16","Big Fork",2,16,28,21,0,67,137
