Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Anne Marie Aubert,Jean-Yves Laforest,Stéphane Roof,Ronald St-Onge Lynch,Martial Toupin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 1","Radisson",1,8,0,1,10,0,20,23
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 2","Obedjiwan 28",7,5,8,14,4,1,39,1013
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 3","Wemotaci",20,9,12,41,3,2,87,627
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 4","Parent",12,56,18,19,10,3,118,313
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 5","Coucoucache 24A",Merged with No. 18/Fusionné avec le nº 18,,,,,,,3
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 6","La Croche",13,70,19,24,4,3,133,414
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 7","Lac-Édouard",9,34,12,17,4,3,79,122
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 8","La Bostonnais",11,95,33,30,7,1,177,456
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 9","La Tuque",12,46,12,19,3,2,94,232
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 10","La Tuque",29,117,48,33,13,4,244,550
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 11","La Tuque",14,86,14,20,3,2,139,398
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 12","Haute-Mauricie",13,63,28,24,3,2,133,454
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 13","Grande Anse",5,32,15,14,0,2,68,128
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 14","La Tuque",19,95,42,33,4,4,197,461
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 15","Saint-Joseph-de-Mékinac",15,68,48,20,8,2,161,284
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 16","La Tuque",6,47,12,10,3,2,80,295
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 17","La Tuque",5,58,28,33,4,4,132,360
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 18","La Tuque",15,89,26,35,4,3,172,432
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 19","La Tuque",12,65,21,27,2,3,130,340
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 20","La Tuque",7,64,31,32,0,2,136,335
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 21","La Tuque",13,64,14,29,1,1,122,332
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 22","La Tuque",13,61,23,15,2,4,118,328
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 23","La Tuque",4,46,12,8,4,2,76,282
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 24","La Tuque",9,36,21,12,2,0,80,261
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 25","La Tuque",8,36,16,14,2,1,77,271
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 26","La Tuque",11,60,24,24,5,0,124,348
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 27","La Tuque",5,84,16,17,2,1,125,326
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 28","La Tuque",10,45,10,23,6,4,98,251
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 29","La Tuque",23,61,25,27,5,3,144,381
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 30","La Tuque",11,51,34,36,4,5,141,338
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 31","La Tuque",8,55,16,21,5,2,107,327
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 32","La Tuque",5,37,21,18,3,1,85,259
24068,"Saint-Maurice--Champlain/Saint-Maurice--Champlain"," 33","La Tuque",25,60,40,17,7,3,152,312
