Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Simon Bernier,Gilles Duguay,Monique Guay,Jocelyne Leduc,Joao Neves,René Piché,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Rivière-du-Nord/Rivière-du-Nord"," 1","Saint-Hippolyte",11,8,64,3,10,5,0,101,217
24059,"Rivière-du-Nord/Rivière-du-Nord"," 2","Saint-Hippolyte",25,37,134,1,43,8,0,248,445
24059,"Rivière-du-Nord/Rivière-du-Nord"," 3","Saint-Hippolyte",43,24,134,1,32,7,8,249,523
24059,"Rivière-du-Nord/Rivière-du-Nord"," 3-1","Saint-Hippolyte",11,22,55,0,15,5,0,108,256
24059,"Rivière-du-Nord/Rivière-du-Nord"," 4","Saint-Hippolyte",35,48,105,1,56,5,1,251,481
24059,"Rivière-du-Nord/Rivière-du-Nord"," 5","Saint-Hippolyte",34,35,112,2,35,16,6,240,440
24059,"Rivière-du-Nord/Rivière-du-Nord"," 6","Saint-Hippolyte",11,13,47,0,16,2,1,90,180
24059,"Rivière-du-Nord/Rivière-du-Nord"," 7","Saint-Hippolyte",41,27,140,1,19,14,3,245,570
24059,"Rivière-du-Nord/Rivière-du-Nord"," 8","Saint-Hippolyte",47,23,129,1,16,10,3,229,400
24059,"Rivière-du-Nord/Rivière-du-Nord"," 9","Saint-Hippolyte",24,19,82,1,22,7,2,157,339
24059,"Rivière-du-Nord/Rivière-du-Nord"," 10","Saint-Hippolyte",23,28,99,1,30,3,2,186,345
24059,"Rivière-du-Nord/Rivière-du-Nord"," 11","Saint-Hippolyte",32,35,100,2,20,7,3,199,387
24059,"Rivière-du-Nord/Rivière-du-Nord"," 12A","Saint-Hippolyte",20,24,100,1,28,6,0,179,373
24059,"Rivière-du-Nord/Rivière-du-Nord"," 12B","Saint-Hippolyte",27,15,117,0,23,10,3,195,401
24059,"Rivière-du-Nord/Rivière-du-Nord"," 13A","Saint-Hippolyte",35,33,142,1,26,7,9,253,391
24059,"Rivière-du-Nord/Rivière-du-Nord"," 13B","Saint-Hippolyte",40,39,113,5,17,13,5,232,414
24059,"Rivière-du-Nord/Rivière-du-Nord"," 14A","Prévost",55,23,123,0,28,12,1,242,347
24059,"Rivière-du-Nord/Rivière-du-Nord"," 14B","Prévost",29,14,100,0,31,16,3,193,324
24059,"Rivière-du-Nord/Rivière-du-Nord"," 15","Prévost",38,22,140,2,29,13,0,244,446
24059,"Rivière-du-Nord/Rivière-du-Nord"," 15-1","Prévost",23,20,99,0,33,4,0,179,315
24059,"Rivière-du-Nord/Rivière-du-Nord"," 16","Prévost",49,28,170,2,44,7,6,306,587
24059,"Rivière-du-Nord/Rivière-du-Nord"," 17A","Prévost",29,23,76,0,29,15,3,175,290
24059,"Rivière-du-Nord/Rivière-du-Nord"," 17B","Prévost",30,19,103,2,28,7,0,189,328
24059,"Rivière-du-Nord/Rivière-du-Nord"," 18","Prévost",46,68,196,2,65,21,9,407,663
24059,"Rivière-du-Nord/Rivière-du-Nord"," 19","Prévost",33,23,81,0,34,7,2,180,371
24059,"Rivière-du-Nord/Rivière-du-Nord"," 20","Prévost",31,25,86,1,39,3,1,186,314
24059,"Rivière-du-Nord/Rivière-du-Nord"," 20-1","Prévost",52,32,106,3,45,11,6,255,513
24059,"Rivière-du-Nord/Rivière-du-Nord"," 21","Prévost",52,24,174,4,60,21,7,342,587
24059,"Rivière-du-Nord/Rivière-du-Nord"," 22A","Prévost",36,30,113,0,38,8,1,226,351
24059,"Rivière-du-Nord/Rivière-du-Nord"," 22B","Prévost",35,21,94,1,25,4,1,181,298
24059,"Rivière-du-Nord/Rivière-du-Nord"," 22-1","Prévost",21,28,99,1,25,6,2,182,324
24059,"Rivière-du-Nord/Rivière-du-Nord"," 23","Prévost",48,40,169,0,53,11,3,324,542
24059,"Rivière-du-Nord/Rivière-du-Nord"," 24","Prévost",46,32,163,2,45,9,7,304,520
24059,"Rivière-du-Nord/Rivière-du-Nord"," 25","Prévost",48,35,153,2,36,9,7,290,481
24059,"Rivière-du-Nord/Rivière-du-Nord"," 26A","Prévost",33,32,107,0,35,5,1,213,329
24059,"Rivière-du-Nord/Rivière-du-Nord"," 26B","Prévost",34,32,134,2,28,7,4,241,387
