Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jason Bissett,Rebecca Finch,David Tilson,Ard Van Leeuwen,Dean Woods,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Dufferin--Caledon/Dufferin--Caledon"," 1","Melancthon",19,24,53,16,0,2,114,228
35018,"Dufferin--Caledon/Dufferin--Caledon"," 2","Melancthon",19,45,94,24,1,0,183,327
35018,"Dufferin--Caledon/Dufferin--Caledon"," 3","Horning's Mills",30,30,114,41,4,4,223,452
35018,"Dufferin--Caledon/Dufferin--Caledon"," 3-1","Melancthon Southeast",19,26,96,25,1,0,167,328
35018,"Dufferin--Caledon/Dufferin--Caledon"," 4","Mulmur",Void/Supprimé,,,,,,,
35018,"Dufferin--Caledon/Dufferin--Caledon"," 5","Melancthon",20,13,69,17,0,0,119,316
35018,"Dufferin--Caledon/Dufferin--Caledon"," 6","Honeywood--Mulmur",6,47,95,35,1,0,184,367
35018,"Dufferin--Caledon/Dufferin--Caledon"," 7","Mulmur",25,37,127,55,1,2,247,426
35018,"Dufferin--Caledon/Dufferin--Caledon"," 8","Mulmur",25,46,134,41,2,1,249,487
35018,"Dufferin--Caledon/Dufferin--Caledon"," 9","Mulmur--Mansfield",27,41,106,62,2,1,239,405
35018,"Dufferin--Caledon/Dufferin--Caledon"," 9-1","Mulmur--Violet Hill",6,9,47,15,0,0,77,160
35018,"Dufferin--Caledon/Dufferin--Caledon"," 10","Mulmur",18,28,91,70,0,0,207,463
35018,"Dufferin--Caledon/Dufferin--Caledon"," 11","Shelburne",34,39,113,25,1,3,215,525
35018,"Dufferin--Caledon/Dufferin--Caledon"," 11-1","Shelburne",23,31,101,26,4,0,185,408
35018,"Dufferin--Caledon/Dufferin--Caledon"," 12","Shelburne",35,33,82,31,4,1,186,482
35018,"Dufferin--Caledon/Dufferin--Caledon"," 13","Shelburne",17,20,104,31,2,0,174,362
35018,"Dufferin--Caledon/Dufferin--Caledon"," 13-1","Shelburne",17,23,58,13,2,0,113,272
35018,"Dufferin--Caledon/Dufferin--Caledon"," 14","Shelburne",29,35,92,29,0,3,188,489
35018,"Dufferin--Caledon/Dufferin--Caledon"," 15","Shelburne",27,22,59,12,0,0,120,449
35018,"Dufferin--Caledon/Dufferin--Caledon"," 16","Shelburne",22,27,74,31,2,0,156,360
35018,"Dufferin--Caledon/Dufferin--Caledon"," 17","Shelburne",34,31,147,29,3,2,246,522
35018,"Dufferin--Caledon/Dufferin--Caledon"," 18","Amaranth",5,20,65,16,0,0,106,232
35018,"Dufferin--Caledon/Dufferin--Caledon"," 19","Amaranth",14,43,138,32,1,0,228,519
35018,"Dufferin--Caledon/Dufferin--Caledon"," 20","Amaranth",8,22,113,34,0,0,177,332
35018,"Dufferin--Caledon/Dufferin--Caledon"," 21","Amaranth",18,18,84,30,2,0,152,296
35018,"Dufferin--Caledon/Dufferin--Caledon"," 21-1","Amaranth--Village Green",6,25,76,17,1,0,125,179
35018,"Dufferin--Caledon/Dufferin--Caledon"," 22","Amaranth",16,28,108,25,3,0,180,290
35018,"Dufferin--Caledon/Dufferin--Caledon"," 23","Amaranth",13,17,73,39,1,0,143,323
35018,"Dufferin--Caledon/Dufferin--Caledon"," 23-1","Amaranth--Waldemar",11,18,81,31,5,0,146,321
35018,"Dufferin--Caledon/Dufferin--Caledon"," 24","East Luther Grand Valley",23,24,105,30,1,0,183,337
35018,"Dufferin--Caledon/Dufferin--Caledon"," 25","East Luther Grand Valley",16,21,146,35,2,1,221,387
35018,"Dufferin--Caledon/Dufferin--Caledon"," 26","East Luther Grand Valley",22,18,78,28,5,0,151,283
35018,"Dufferin--Caledon/Dufferin--Caledon"," 27","Grand Valley",17,15,91,46,4,0,173,351
35018,"Dufferin--Caledon/Dufferin--Caledon"," 28","East Luther Grand Valley",26,15,84,31,1,2,159,367
35018,"Dufferin--Caledon/Dufferin--Caledon"," 28-1","East Luther Grand Valley",12,4,48,12,2,0,78,134
35018,"Dufferin--Caledon/Dufferin--Caledon"," 29","East Garafraxa",23,54,163,46,2,2,290,470
35018,"Dufferin--Caledon/Dufferin--Caledon"," 30","East Garafraxa",22,33,139,39,2,2,237,447
35018,"Dufferin--Caledon/Dufferin--Caledon"," 31","East Garafraxa",8,24,102,20,1,2,157,320
35018,"Dufferin--Caledon/Dufferin--Caledon"," 31-1","East Garafraxa--Garafraxa Woods",26,26,142,55,0,1,250,475
35018,"Dufferin--Caledon/Dufferin--Caledon"," 32","Mono",12,30,77,48,0,0,167,316
