Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maurizio Bevilacqua,Richard Lorello,Adrian Visentin,Vicky Wilkin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Vaughan/Vaughan"," 1","Vaughan",93,130,23,12,0,258,527
35096,"Vaughan/Vaughan"," 2","Vaughan",98,115,29,14,0,256,516
35096,"Vaughan/Vaughan"," 2-1","Vaughan",91,124,5,3,1,224,387
35096,"Vaughan/Vaughan"," 3","Vaughan",45,61,10,8,1,125,280
35096,"Vaughan/Vaughan"," 4","Vaughan",95,101,36,11,0,243,492
35096,"Vaughan/Vaughan"," 5","Vaughan",90,61,33,10,0,194,311
35096,"Vaughan/Vaughan"," 6","Vaughan",88,127,20,8,1,244,402
35096,"Vaughan/Vaughan"," 7","Vaughan",57,80,17,5,1,160,295
35096,"Vaughan/Vaughan"," 8","Vaughan",44,64,12,1,0,121,289
35096,"Vaughan/Vaughan"," 9A","Vaughan",65,73,11,11,2,162,446
35096,"Vaughan/Vaughan"," 9B","Vaughan",68,67,9,20,0,164,446
35096,"Vaughan/Vaughan"," 9-1","Vaughan",96,89,22,34,2,243,543
35096,"Vaughan/Vaughan"," 9-2","Vaughan",90,85,12,18,2,207,503
35096,"Vaughan/Vaughan"," 10A","Vaughan",65,79,16,8,2,170,356
35096,"Vaughan/Vaughan"," 10B","Vaughan",53,67,12,8,1,141,263
35096,"Vaughan/Vaughan"," 11","Vaughan",62,82,15,5,2,166,508
35096,"Vaughan/Vaughan"," 12A","Vaughan",97,109,15,18,2,241,559
35096,"Vaughan/Vaughan"," 12B","Vaughan",98,87,13,23,0,221,550
35096,"Vaughan/Vaughan"," 12C","Vaughan",94,107,9,14,0,224,555
35096,"Vaughan/Vaughan"," 12D","Vaughan",64,116,10,26,0,216,566
35096,"Vaughan/Vaughan"," 12E","Vaughan",74,103,10,25,0,212,553
35096,"Vaughan/Vaughan"," 12F","Vaughan",86,92,7,29,2,216,548
35096,"Vaughan/Vaughan"," 12G","Vaughan",89,84,20,23,1,217,556
35096,"Vaughan/Vaughan"," 12H","Vaughan",73,83,11,22,0,189,531
35096,"Vaughan/Vaughan"," 12-1","Vaughan",93,66,15,29,3,206,515
35096,"Vaughan/Vaughan"," 13","Vaughan",102,95,18,23,3,241,448
