Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alonzo Bartley,Sania Khan,Chuck Konkel,John McKay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 1A","Scarborough",3,22,32,101,9,167,355
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 1B","Scarborough",4,14,26,75,1,120,359
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 2A","Scarborough",3,21,23,61,4,112,337
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 2B","Scarborough",9,29,20,65,0,123,326
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 3","Scarborough",0,12,16,97,0,125,306
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 4","Scarborough",3,23,26,103,2,157,435
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 5","Scarborough",1,12,18,40,2,73,220
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 6","Scarborough",9,13,61,92,1,176,330
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 7","Scarborough",4,16,70,76,0,166,351
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 8","Scarborough",15,8,105,95,2,225,374
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 9","Scarborough",11,19,95,76,1,202,344
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 10","Scarborough",12,14,69,88,0,183,340
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 11","Scarborough",17,47,107,141,2,314,510
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 12","Scarborough",4,26,84,61,0,175,399
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 13","Scarborough",5,26,39,99,2,171,386
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 14","Scarborough",3,24,33,84,0,144,332
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 15","Scarborough",6,28,65,92,0,191,370
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 16","Scarborough",8,41,109,127,2,287,522
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 17","Scarborough",7,41,58,186,0,292,575
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 18A","Scarborough",5,22,33,99,0,159,344
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 18B","Scarborough",6,33,29,67,1,136,356
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 19","Scarborough",11,38,72,102,4,227,412
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 20","Scarborough",5,19,53,110,1,188,334
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 21","Scarborough",8,21,49,77,0,155,361
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 22","Scarborough",0,13,16,59,0,88,271
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 23","Scarborough",1,14,31,89,1,136,367
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 24","Scarborough",3,26,40,96,0,165,385
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 25","Scarborough",11,37,53,114,1,216,418
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 26","Scarborough",13,26,81,86,1,207,364
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 27","Scarborough",7,25,45,61,0,138,281
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 28","Scarborough",10,44,66,116,2,238,448
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 29","Scarborough",17,32,72,111,0,232,404
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 30","Scarborough",11,24,59,88,0,182,367
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 31","Scarborough",12,31,63,91,0,197,424
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 32","Scarborough",11,18,75,116,3,223,358
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 33","Scarborough",11,47,71,120,0,249,545
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 34","Scarborough",6,23,55,98,1,183,463
35082,"Scarborough--Guildwood/Scarborough--Guildwood"," 35","Scarborough",1,19,60,97,1,178,381
