Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mary Ann Hodge,Steve Holmes,Glen Pearson,Paul Van Meerbergen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35043,"London North Centre/London-Centre-Nord"," 55B","London",16,54,45,26,0,141,375
35043,"London North Centre/London-Centre-Nord"," 56","London",17,66,53,52,0,188,474
35043,"London North Centre/London-Centre-Nord"," 57","London",33,67,41,29,2,172,516
35043,"London North Centre/London-Centre-Nord"," 58","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 59","London",14,36,18,21,1,90,343
35043,"London North Centre/London-Centre-Nord"," 60","London",24,20,95,87,0,226,338
35043,"London North Centre/London-Centre-Nord"," 61","London",20,24,102,80,0,226,378
35043,"London North Centre/London-Centre-Nord"," 62","London",29,28,119,174,0,350,621
35043,"London North Centre/London-Centre-Nord"," 63","London",18,58,90,110,0,276,586
35043,"London North Centre/London-Centre-Nord"," 64","London",43,78,120,80,2,323,625
35043,"London North Centre/London-Centre-Nord"," 65","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 66","London",26,21,135,82,1,265,419
35043,"London North Centre/London-Centre-Nord"," 67","London",15,34,99,57,2,207,339
35043,"London North Centre/London-Centre-Nord"," 68","London",11,20,76,66,1,174,319
35043,"London North Centre/London-Centre-Nord"," 69A","London",30,18,59,32,0,139,305
35043,"London North Centre/London-Centre-Nord"," 69B","London",12,18,48,32,0,110,257
35043,"London North Centre/London-Centre-Nord"," 70","London",19,35,73,38,0,165,483
35043,"London North Centre/London-Centre-Nord"," 71","London",16,33,73,53,1,176,394
35043,"London North Centre/London-Centre-Nord"," 72","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 73","London",17,46,93,116,4,276,414
35043,"London North Centre/London-Centre-Nord"," 74","London",10,35,109,128,0,282,453
35043,"London North Centre/London-Centre-Nord"," 75","London",12,27,87,150,1,277,407
35043,"London North Centre/London-Centre-Nord"," 76","London",13,43,125,88,2,271,434
35043,"London North Centre/London-Centre-Nord"," 77","London",8,26,49,59,0,142,263
35043,"London North Centre/London-Centre-Nord"," 78","London",21,43,107,102,0,273,466
35043,"London North Centre/London-Centre-Nord"," 79A","London",15,11,53,33,0,112,222
35043,"London North Centre/London-Centre-Nord"," 79B","Mobile poll/Bureau itinérant",8,22,28,61,1,120,72
35043,"London North Centre/London-Centre-Nord"," 80","London",38,48,99,68,1,254,510
35043,"London North Centre/London-Centre-Nord"," 81","London",44,33,72,33,0,182,310
35043,"London North Centre/London-Centre-Nord"," 82","London",38,35,69,60,1,203,353
35043,"London North Centre/London-Centre-Nord"," 83","London",34,32,51,30,0,147,300
35043,"London North Centre/London-Centre-Nord"," 84","London",21,48,108,69,0,246,461
35043,"London North Centre/London-Centre-Nord"," 84-1","London",18,39,41,20,0,118,268
35043,"London North Centre/London-Centre-Nord"," 85","London",23,29,70,34,2,158,536
35043,"London North Centre/London-Centre-Nord"," 86","London",33,26,120,65,0,244,405
35043,"London North Centre/London-Centre-Nord"," 87","London",13,14,97,80,0,204,376
35043,"London North Centre/London-Centre-Nord"," 88A","London",24,37,116,105,1,283,560
35043,"London North Centre/London-Centre-Nord"," 88B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,87
35043,"London North Centre/London-Centre-Nord"," 89","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 90","London",13,17,81,99,0,210,403
35043,"London North Centre/London-Centre-Nord"," 91","London",18,28,74,43,0,163,279
35043,"London North Centre/London-Centre-Nord"," 92","London",33,38,115,69,2,257,441
35043,"London North Centre/London-Centre-Nord"," 93","London",64,46,143,83,1,337,526
35043,"London North Centre/London-Centre-Nord"," 94","London",26,57,137,65,0,285,561
35043,"London North Centre/London-Centre-Nord"," 95","London",34,29,102,63,1,229,474
35043,"London North Centre/London-Centre-Nord"," 96","London",26,18,94,48,1,187,332
35043,"London North Centre/London-Centre-Nord"," 97","London",27,30,95,39,0,191,308
35043,"London North Centre/London-Centre-Nord"," 98","London",41,22,155,89,0,307,445
35043,"London North Centre/London-Centre-Nord"," 99","London",41,15,158,106,0,320,472
35043,"London North Centre/London-Centre-Nord"," 100","London",27,46,111,84,2,270,582
35043,"London North Centre/London-Centre-Nord"," 101","London",27,64,92,84,1,268,597
35043,"London North Centre/London-Centre-Nord"," 102","London",22,58,122,129,0,331,542
35043,"London North Centre/London-Centre-Nord"," 103","London",28,43,70,105,0,246,413
35043,"London North Centre/London-Centre-Nord"," 104","London",19,54,59,76,3,211,436
35043,"London North Centre/London-Centre-Nord"," 105","London",22,53,54,79,2,210,391
35043,"London North Centre/London-Centre-Nord"," 106","London",18,85,63,53,0,219,599
35043,"London North Centre/London-Centre-Nord"," 107","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 108","London",23,65,85,72,0,245,490
35043,"London North Centre/London-Centre-Nord"," 109","London",25,36,87,59,0,207,449
35043,"London North Centre/London-Centre-Nord"," 110","London",11,56,40,50,0,157,341
35043,"London North Centre/London-Centre-Nord"," 111","London",20,65,78,57,1,221,653
35043,"London North Centre/London-Centre-Nord"," 112","London",32,72,65,47,2,218,673
35043,"London North Centre/London-Centre-Nord"," 113","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 114","London",8,28,44,32,1,113,370
35043,"London North Centre/London-Centre-Nord"," 115","London",38,57,87,76,0,258,476
35043,"London North Centre/London-Centre-Nord"," 116","London",12,34,26,27,0,99,352
35043,"London North Centre/London-Centre-Nord"," 117","London",9,35,37,45,4,130,284
35043,"London North Centre/London-Centre-Nord"," 118","London",16,41,14,16,2,89,321
35043,"London North Centre/London-Centre-Nord"," 119","London",20,87,61,64,2,234,577
35043,"London North Centre/London-Centre-Nord"," 120A","London",15,50,61,32,0,158,529
35043,"London North Centre/London-Centre-Nord"," 120B","London",20,53,48,27,2,150,451
35043,"London North Centre/London-Centre-Nord"," 121","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 122","London",21,55,51,59,0,186,352
35043,"London North Centre/London-Centre-Nord"," 123","London",5,31,26,42,0,104,254
35043,"London North Centre/London-Centre-Nord"," 124","London",31,79,53,70,0,233,447
35043,"London North Centre/London-Centre-Nord"," 125","London",16,44,48,42,1,151,338
35043,"London North Centre/London-Centre-Nord"," 126","London",27,46,57,62,2,194,361
35043,"London North Centre/London-Centre-Nord"," 127","London",28,68,84,64,0,244,385
35043,"London North Centre/London-Centre-Nord"," 128","London",23,34,51,52,0,160,339
35043,"London North Centre/London-Centre-Nord"," 129","London",21,29,72,30,0,152,313
35043,"London North Centre/London-Centre-Nord"," 130","London",46,26,108,58,1,239,379
35043,"London North Centre/London-Centre-Nord"," 131","London",36,22,125,41,0,224,344
35043,"London North Centre/London-Centre-Nord"," 132","London",37,17,95,65,0,214,308
35043,"London North Centre/London-Centre-Nord"," 133","London",19,18,91,49,1,178,307
35043,"London North Centre/London-Centre-Nord"," 134","London",34,32,110,52,1,229,423
35043,"London North Centre/London-Centre-Nord"," 134-1","London",28,25,120,89,1,263,374
35043,"London North Centre/London-Centre-Nord"," 135","London",28,30,107,75,0,240,368
35043,"London North Centre/London-Centre-Nord"," 136","London",42,28,118,45,1,234,374
35043,"London North Centre/London-Centre-Nord"," 137","London",36,34,105,42,1,218,361
35043,"London North Centre/London-Centre-Nord"," 138","London",30,35,87,60,0,212,431
35043,"London North Centre/London-Centre-Nord"," 139","London",26,52,82,62,0,222,442
35043,"London North Centre/London-Centre-Nord"," 140","London",19,47,45,41,1,153,301
35043,"London North Centre/London-Centre-Nord"," 141","London",30,46,51,41,4,172,391
35043,"London North Centre/London-Centre-Nord"," 142","London",20,53,47,44,0,164,387
35043,"London North Centre/London-Centre-Nord"," 143","London",14,38,32,52,1,137,311
35043,"London North Centre/London-Centre-Nord"," 144","London",22,49,48,60,0,179,328
35043,"London North Centre/London-Centre-Nord"," 145","London",42,46,107,54,1,250,587
35043,"London North Centre/London-Centre-Nord"," 146","London",33,26,89,149,2,299,547
35043,"London North Centre/London-Centre-Nord"," 147","London",15,33,80,66,1,195,550
35043,"London North Centre/London-Centre-Nord"," 148","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 149","London",31,25,94,57,0,207,366
35043,"London North Centre/London-Centre-Nord"," 150","London",29,54,96,36,1,216,359
35043,"London North Centre/London-Centre-Nord"," 151","London",32,44,99,54,2,231,413
35043,"London North Centre/London-Centre-Nord"," 152","London",25,37,78,33,0,173,293
35043,"London North Centre/London-Centre-Nord"," 153","London",28,46,64,28,2,168,340
35043,"London North Centre/London-Centre-Nord"," 154","London",17,34,63,26,1,141,337
35043,"London North Centre/London-Centre-Nord"," 155","London",43,21,76,23,0,163,295
35043,"London North Centre/London-Centre-Nord"," 156","London",36,34,63,28,1,162,313
35043,"London North Centre/London-Centre-Nord"," 157A","London",31,48,89,44,0,212,443
35043,"London North Centre/London-Centre-Nord"," 157B","Mobile poll/Bureau itinérant",Merged with No. 79B/Fusionné avec le nº 79B,,,,,,57
35043,"London North Centre/London-Centre-Nord"," 158","London",Merged with No. 165/Fusionné avec le nº 165,,,,,,212
35043,"London North Centre/London-Centre-Nord"," 159","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 160","London",19,41,81,54,0,195,339
35043,"London North Centre/London-Centre-Nord"," 161","London",14,17,82,57,1,171,285
35043,"London North Centre/London-Centre-Nord"," 162","London",28,49,82,70,2,231,470
35043,"London North Centre/London-Centre-Nord"," 163","London",18,52,75,56,1,202,386
35043,"London North Centre/London-Centre-Nord"," 164","London",22,27,105,78,0,232,494
35043,"London North Centre/London-Centre-Nord"," 165","London",24,35,113,76,2,250,295
35043,"London North Centre/London-Centre-Nord"," 166A","London",29,47,84,75,1,236,476
35043,"London North Centre/London-Centre-Nord"," 166B","London",25,40,85,48,2,200,446
35043,"London North Centre/London-Centre-Nord"," 166-1","London",Merged with No. 166A/Fusionné avec le nº 166A,,,,,,4
35043,"London North Centre/London-Centre-Nord"," 167","London",24,36,71,43,2,176,385
35043,"London North Centre/London-Centre-Nord"," 168","London",14,47,44,38,1,144,347
35043,"London North Centre/London-Centre-Nord"," 169","London",23,55,51,25,1,155,416
35043,"London North Centre/London-Centre-Nord"," 170","London",34,52,98,71,2,257,496
35043,"London North Centre/London-Centre-Nord"," 171","London",26,82,57,68,0,233,530
35043,"London North Centre/London-Centre-Nord"," 172","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 173","London",19,72,48,52,0,191,498
35043,"London North Centre/London-Centre-Nord"," 174","London",17,68,52,50,0,187,391
35043,"London North Centre/London-Centre-Nord"," 175","London",17,70,46,43,0,176,571
35043,"London North Centre/London-Centre-Nord"," 176","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 177","London",4,34,14,13,1,66,304
35043,"London North Centre/London-Centre-Nord"," 178","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 179","London",24,96,52,39,0,211,498
35043,"London North Centre/London-Centre-Nord"," 180","London",14,49,65,36,0,164,351
35043,"London North Centre/London-Centre-Nord"," 181","London",34,57,84,59,1,235,505
35043,"London North Centre/London-Centre-Nord"," 182","London",29,47,73,38,1,188,402
35043,"London North Centre/London-Centre-Nord"," 183","London",28,31,39,28,1,127,362
35043,"London North Centre/London-Centre-Nord"," 184","London",30,54,44,29,0,157,334
35043,"London North Centre/London-Centre-Nord"," 185","London",28,36,50,24,1,139,307
35043,"London North Centre/London-Centre-Nord"," 186","London",15,32,27,19,1,94,309
35043,"London North Centre/London-Centre-Nord"," 187","London",21,59,46,29,1,156,435
35043,"London North Centre/London-Centre-Nord"," 188","London",18,53,24,46,0,141,363
35043,"London North Centre/London-Centre-Nord"," 189","London",29,84,53,43,0,209,457
35043,"London North Centre/London-Centre-Nord"," 190","London",14,72,41,46,3,176,416
35043,"London North Centre/London-Centre-Nord"," 191","London",12,73,24,37,1,147,374
35043,"London North Centre/London-Centre-Nord"," 192","London",23,71,18,28,1,141,349
35043,"London North Centre/London-Centre-Nord"," 193","London",28,48,24,40,0,140,324
35043,"London North Centre/London-Centre-Nord"," 194","London",16,55,29,42,0,142,374
35043,"London North Centre/London-Centre-Nord"," 195","London",20,66,41,54,0,181,403
35043,"London North Centre/London-Centre-Nord"," 196","London",30,60,40,44,0,174,469
35043,"London North Centre/London-Centre-Nord"," 197","London",15,58,38,40,0,151,435
35043,"London North Centre/London-Centre-Nord"," 198","London",32,65,75,51,3,226,576
35043,"London North Centre/London-Centre-Nord"," 199","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 200","London",11,40,28,31,1,111,316
35043,"London North Centre/London-Centre-Nord"," 201","London",14,37,41,33,0,125,366
35043,"London North Centre/London-Centre-Nord"," 202","London",17,28,22,23,0,90,317
35043,"London North Centre/London-Centre-Nord"," 203","London",26,30,35,34,0,125,327
35043,"London North Centre/London-Centre-Nord"," 204","London",17,35,47,45,0,144,379
35043,"London North Centre/London-Centre-Nord"," 205","London",19,52,67,30,1,169,503
35043,"London North Centre/London-Centre-Nord"," 206","London",44,53,51,36,0,184,605
35043,"London North Centre/London-Centre-Nord"," 207","London",16,36,39,25,2,118,339
35043,"London North Centre/London-Centre-Nord"," 208","London",32,41,44,40,0,157,394
35043,"London North Centre/London-Centre-Nord"," 209","London",22,47,37,25,1,132,351
35043,"London North Centre/London-Centre-Nord"," 210","London",19,61,37,27,0,144,404
35043,"London North Centre/London-Centre-Nord"," 211","London",15,47,36,37,0,135,339
35043,"London North Centre/London-Centre-Nord"," 212","London",16,51,34,38,0,139,319
35043,"London North Centre/London-Centre-Nord"," 213","London",18,48,29,32,1,128,388
35043,"London North Centre/London-Centre-Nord"," 214","London",11,42,20,44,0,117,354
35043,"London North Centre/London-Centre-Nord"," 215","London",12,53,37,40,0,142,355
35043,"London North Centre/London-Centre-Nord"," 216","London",31,82,54,63,1,231,633
35043,"London North Centre/London-Centre-Nord"," 217","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 218","London",16,63,53,43,0,175,350
35043,"London North Centre/London-Centre-Nord"," 400","London",25,17,76,78,1,197,288
35043,"London North Centre/London-Centre-Nord"," 401","London",19,37,74,70,1,201,282
35043,"London North Centre/London-Centre-Nord"," 402","London",13,41,78,72,1,205,290
35043,"London North Centre/London-Centre-Nord"," 403","London",49,48,126,121,4,348,351
35043,"London North Centre/London-Centre-Nord"," 404","London",27,36,46,47,1,157,161
35043,"London North Centre/London-Centre-Nord"," 405","London",7,31,15,25,0,78,137
35043,"London North Centre/London-Centre-Nord"," 406","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 407","London",46,61,140,127,1,375,417
35043,"London North Centre/London-Centre-Nord"," 408","London",31,31,96,88,2,248,261
35043,"London North Centre/London-Centre-Nord"," 409","London",36,61,193,149,0,439,500
35043,"London North Centre/London-Centre-Nord"," 410","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 411","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 412","London",Void/Supprimé,,,,,,
35043,"London North Centre/London-Centre-Nord"," 413","London",4,8,44,33,1,90,164
35043,"London North Centre/London-Centre-Nord"," 500","Mobile poll/Bureau itinérant",3,8,25,20,1,57,152
35043,"London North Centre/London-Centre-Nord"," 501","Mobile poll/Bureau itinérant",12,9,52,63,1,137,213
35043,"London North Centre/London-Centre-Nord"," 502","Mobile poll/Bureau itinérant",9,9,107,44,3,172,218
35043,"London North Centre/London-Centre-Nord"," 503","Mobile poll/Bureau itinérant",6,3,24,39,0,72,245
35043,"London North Centre/London-Centre-Nord"," 600","London",27,14,214,198,3,456,
35043,"London North Centre/London-Centre-Nord"," 601","London",29,36,254,240,1,560,
35043,"London North Centre/London-Centre-Nord"," 602","London",42,70,311,317,5,745,
35043,"London North Centre/London-Centre-Nord"," 603","London",32,43,168,152,0,395,
35043,"London North Centre/London-Centre-Nord"," 604","London",26,22,183,153,0,384,
35043,"London North Centre/London-Centre-Nord"," 605","London",33,91,157,192,3,476,
35043,"London North Centre/London-Centre-Nord"," 606","London",47,57,188,147,2,441,
35043,"London North Centre/London-Centre-Nord"," 607","London",53,71,225,152,2,503,
35043,"London North Centre/London-Centre-Nord"," 608","London",28,54,79,79,0,240,
35043,"London North Centre/London-Centre-Nord"," 609","London",43,83,104,135,1,366,
35043,"London North Centre/London-Centre-Nord"," 610","London",25,13,164,195,0,397,
35043,"London North Centre/London-Centre-Nord",,Group 1/Groupe 1,20,30,74,87,11,222,420
35043,"London North Centre/London-Centre-Nord",,Group 2/Groupe 2,68,73,304,178,8,631,

