Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eric Gillespie,Joyce Morocco,Rob Nicholson,Shawn Willick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35054,"Niagara Falls/Niagara Falls"," 1","Niagara-on-the-Lake",23,75,146,20,0,264,477
35054,"Niagara Falls/Niagara Falls"," 2","Niagara-on-the-Lake",12,74,83,12,0,181,329
35054,"Niagara Falls/Niagara Falls"," 3","Niagara-on-the-Lake",12,86,76,12,0,186,354
35054,"Niagara Falls/Niagara Falls"," 4A","Niagara-on-the-Lake",18,51,114,14,1,198,332
35054,"Niagara Falls/Niagara Falls"," 4B","Niagara-on-the-Lake",13,68,106,14,0,201,327
35054,"Niagara Falls/Niagara Falls"," 5","Niagara-on-the-Lake",13,73,125,20,1,232,383
35054,"Niagara Falls/Niagara Falls"," 6","Niagara-on-the-Lake",24,55,99,12,1,191,392
35054,"Niagara Falls/Niagara Falls"," 6-1","Niagara-on-the-Lake",9,87,93,17,0,206,360
35054,"Niagara Falls/Niagara Falls"," 7","Niagara-on-the-Lake",24,35,94,5,1,159,247
35054,"Niagara Falls/Niagara Falls"," 8","Niagara-on-the-Lake",24,69,167,25,4,289,515
35054,"Niagara Falls/Niagara Falls"," 9","Niagara-on-the-Lake",19,56,127,13,1,216,356
35054,"Niagara Falls/Niagara Falls"," 10","Niagara-on-the-Lake",24,71,76,22,0,193,361
35054,"Niagara Falls/Niagara Falls"," 11","Niagara-on-the-Lake",24,48,118,21,0,211,343
35054,"Niagara Falls/Niagara Falls"," 12","Niagara-on-the-Lake",32,40,85,22,0,179,288
35054,"Niagara Falls/Niagara Falls"," 13","Niagara-on-the-Lake",41,57,120,9,3,230,380
35054,"Niagara Falls/Niagara Falls"," 13-1","Niagara-on-the-Lake",33,60,111,12,0,216,491
35054,"Niagara Falls/Niagara Falls"," 14","Niagara-on-the-Lake",24,51,139,17,0,231,394
35054,"Niagara Falls/Niagara Falls"," 15A","Niagara-on-the-Lake",18,46,95,6,0,165,296
35054,"Niagara Falls/Niagara Falls"," 15B","Niagara-on-the-Lake",21,43,84,10,0,158,297
35054,"Niagara Falls/Niagara Falls"," 16","Niagara-on-the-Lake",9,29,81,11,0,130,244
35054,"Niagara Falls/Niagara Falls"," 17","Niagara-on-the-Lake",31,74,172,24,0,301,501
35054,"Niagara Falls/Niagara Falls"," 18","Niagara-on-the-Lake",20,65,171,19,0,275,495
35054,"Niagara Falls/Niagara Falls"," 18-1A","Niagara-on-the-Lake",26,48,112,17,2,205,391
35054,"Niagara Falls/Niagara Falls"," 18-1B","Niagara-on-the-Lake",16,47,121,19,0,203,345
35054,"Niagara Falls/Niagara Falls"," 19","Niagara-on-the-Lake",32,79,125,16,0,252,418
35054,"Niagara Falls/Niagara Falls"," 20","Niagara-on-the-Lake",21,45,125,13,2,206,347
35054,"Niagara Falls/Niagara Falls"," 21","Niagara-on-the-Lake",39,51,144,20,3,257,381
35054,"Niagara Falls/Niagara Falls"," 22","Niagara-on-the-Lake",22,47,121,7,0,197,350
35054,"Niagara Falls/Niagara Falls"," 23","Niagara-on-the-Lake",20,46,127,16,2,211,347
35054,"Niagara Falls/Niagara Falls"," 24","Niagara-on-the-Lake",27,47,114,14,0,202,355
35054,"Niagara Falls/Niagara Falls"," 25","Niagara-on-the-Lake",25,97,128,31,2,283,449
35054,"Niagara Falls/Niagara Falls"," 26","Niagara Falls",42,33,53,8,0,136,322
35054,"Niagara Falls/Niagara Falls"," 27","Niagara Falls",33,65,137,11,1,247,406
