Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,George N. Addison,Rick Dykstra,Jim Fannon,Sam Hammond,Walt Lastewka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35076,"St. Catharines/St. Catharines"," 1","St. Catharines",28,141,16,0,45,1,231,357
35076,"St. Catharines/St. Catharines"," 2","St. Catharines",17,93,31,1,61,0,203,361
35076,"St. Catharines/St. Catharines"," 3","St. Catharines",31,104,29,0,83,1,248,456
35076,"St. Catharines/St. Catharines"," 4","St. Catharines",36,154,26,0,94,0,310,496
35076,"St. Catharines/St. Catharines"," 5","St. Catharines",43,166,17,0,131,1,358,528
35076,"St. Catharines/St. Catharines"," 6","St. Catharines",35,99,39,0,106,2,281,425
35076,"St. Catharines/St. Catharines"," 7A","St. Catharines",11,114,15,0,66,1,207,289
35076,"St. Catharines/St. Catharines"," 7B","St. Catharines",12,102,8,0,52,2,176,268
35076,"St. Catharines/St. Catharines"," 8","St. Catharines",14,184,14,0,75,2,289,470
35076,"St. Catharines/St. Catharines"," 9","St. Catharines",29,163,16,0,40,0,248,410
35076,"St. Catharines/St. Catharines"," 10A","St. Catharines",17,97,6,0,51,0,171,309
35076,"St. Catharines/St. Catharines"," 10B","St. Catharines",19,55,6,0,63,0,143,271
35076,"St. Catharines/St. Catharines"," 11A","St. Catharines",15,112,17,0,44,0,188,320
35076,"St. Catharines/St. Catharines"," 11B","St. Catharines",17,105,11,2,65,0,200,344
35076,"St. Catharines/St. Catharines"," 12","St. Catharines",23,148,11,1,80,0,263,496
35076,"St. Catharines/St. Catharines"," 13","St. Catharines",27,123,12,0,91,0,253,405
35076,"St. Catharines/St. Catharines"," 14","St. Catharines",29,121,11,0,48,0,209,335
35076,"St. Catharines/St. Catharines"," 15A","St. Catharines",17,75,9,0,38,1,140,272
35076,"St. Catharines/St. Catharines"," 15B","St. Catharines",24,104,4,1,34,3,170,265
35076,"St. Catharines/St. Catharines"," 16","St. Catharines",33,98,13,0,53,1,198,360
35076,"St. Catharines/St. Catharines"," 17","St. Catharines",16,45,2,0,37,0,100,295
35076,"St. Catharines/St. Catharines"," 18","St. Catharines",17,85,10,0,82,1,195,378
35076,"St. Catharines/St. Catharines"," 19","St. Catharines",27,153,10,0,87,0,277,469
35076,"St. Catharines/St. Catharines"," 20","St. Catharines",46,65,7,1,59,0,178,374
35076,"St. Catharines/St. Catharines"," 21","St. Catharines",57,85,18,2,77,2,241,386
35076,"St. Catharines/St. Catharines"," 22","St. Catharines",34,126,12,0,59,0,231,461
35076,"St. Catharines/St. Catharines"," 23","St. Catharines",32,63,18,0,38,0,151,298
35076,"St. Catharines/St. Catharines"," 24","St. Catharines",18,154,7,0,102,2,283,468
35076,"St. Catharines/St. Catharines"," 25","St. Catharines",34,146,27,1,117,1,326,467
35076,"St. Catharines/St. Catharines"," 26","St. Catharines",40,113,19,2,80,4,258,391
35076,"St. Catharines/St. Catharines"," 27","St. Catharines",32,94,11,0,67,0,204,356
35076,"St. Catharines/St. Catharines"," 28A","St. Catharines",33,98,7,0,52,0,190,304
35076,"St. Catharines/St. Catharines"," 28B","St. Catharines",36,83,6,0,42,0,167,263
35076,"St. Catharines/St. Catharines"," 29","St. Catharines",75,120,20,1,66,1,283,490
35076,"St. Catharines/St. Catharines"," 30","St. Catharines",34,88,19,0,52,0,193,305
35076,"St. Catharines/St. Catharines"," 31","St. Catharines",28,97,6,2,62,2,197,291
35076,"St. Catharines/St. Catharines"," 32","St. Catharines",50,138,14,1,62,0,265,397
35076,"St. Catharines/St. Catharines"," 33","St. Catharines",45,85,12,0,69,0,211,362
35076,"St. Catharines/St. Catharines"," 34","St. Catharines",39,153,18,0,55,0,265,479
35076,"St. Catharines/St. Catharines"," 35","St. Catharines",42,102,14,2,44,0,204,374
35076,"St. Catharines/St. Catharines"," 36","St. Catharines",46,124,15,1,49,0,235,436
35076,"St. Catharines/St. Catharines"," 37","St. Catharines",39,87,9,0,56,0,191,377
35076,"St. Catharines/St. Catharines"," 38","St. Catharines",37,153,5,0,81,1,277,451
35076,"St. Catharines/St. Catharines"," 39","St. Catharines",18,135,11,1,124,1,290,444
35076,"St. Catharines/St. Catharines"," 40","St. Catharines",15,73,11,0,50,0,149,259
35076,"St. Catharines/St. Catharines"," 41","St. Catharines",41,139,17,2,58,0,257,420
35076,"St. Catharines/St. Catharines"," 42","St. Catharines",56,138,31,0,62,0,287,529
35076,"St. Catharines/St. Catharines"," 43","St. Catharines",25,121,18,0,59,0,223,358
35076,"St. Catharines/St. Catharines"," 44","St. Catharines",32,95,17,1,50,0,195,326
35076,"St. Catharines/St. Catharines"," 45","St. Catharines",30,140,13,0,76,0,259,401
35076,"St. Catharines/St. Catharines"," 46","St. Catharines",15,110,15,0,77,1,218,378
35076,"St. Catharines/St. Catharines"," 47","St. Catharines",19,89,15,0,56,0,179,341
35076,"St. Catharines/St. Catharines"," 48","St. Catharines",37,119,17,0,91,1,265,424
35076,"St. Catharines/St. Catharines"," 49","St. Catharines",39,122,9,0,100,0,270,408
35076,"St. Catharines/St. Catharines"," 50","St. Catharines",26,58,9,0,36,0,129,263
35076,"St. Catharines/St. Catharines"," 51","St. Catharines",58,92,26,3,41,0,220,362
35076,"St. Catharines/St. Catharines"," 52","St. Catharines",28,126,8,1,50,0,213,342
35076,"St. Catharines/St. Catharines"," 53","St. Catharines",50,118,9,1,77,0,255,405
35076,"St. Catharines/St. Catharines"," 54","St. Catharines",27,167,11,2,91,1,299,449
35076,"St. Catharines/St. Catharines"," 55","St. Catharines",27,127,16,0,81,0,251,432
35076,"St. Catharines/St. Catharines"," 56","St. Catharines",31,109,8,0,64,1,213,385
35076,"St. Catharines/St. Catharines"," 57","St. Catharines",29,100,19,1,86,2,237,392
35076,"St. Catharines/St. Catharines"," 58","St. Catharines",34,120,12,0,55,1,222,423
35076,"St. Catharines/St. Catharines"," 59","St. Catharines",32,119,19,0,74,0,244,434
35076,"St. Catharines/St. Catharines"," 60","St. Catharines",42,101,9,1,54,0,207,396
35076,"St. Catharines/St. Catharines"," 61","St. Catharines",44,125,18,1,52,1,241,389
35076,"St. Catharines/St. Catharines"," 62","St. Catharines",41,137,11,0,78,0,267,419
35076,"St. Catharines/St. Catharines"," 63","St. Catharines",39,121,9,0,71,0,240,405
35076,"St. Catharines/St. Catharines"," 64","St. Catharines",43,126,21,0,53,3,246,404
35076,"St. Catharines/St. Catharines"," 65","St. Catharines",49,95,11,1,56,0,212,344
35076,"St. Catharines/St. Catharines"," 66","St. Catharines",56,100,8,0,42,0,206,364
35076,"St. Catharines/St. Catharines"," 67","St. Catharines",24,106,21,0,62,0,213,344
35076,"St. Catharines/St. Catharines"," 68","St. Catharines",30,91,13,0,63,2,199,357
35076,"St. Catharines/St. Catharines"," 69","St. Catharines",43,88,13,0,71,0,215,328
35076,"St. Catharines/St. Catharines"," 70","St. Catharines",24,98,9,0,60,0,191,328
35076,"St. Catharines/St. Catharines"," 71","St. Catharines",35,115,7,0,51,0,208,342
35076,"St. Catharines/St. Catharines"," 72","St. Catharines",29,103,8,1,46,0,187,299
35076,"St. Catharines/St. Catharines"," 73","St. Catharines",27,69,14,0,41,0,151,251
35076,"St. Catharines/St. Catharines"," 74","St. Catharines",Void/Supprimé,,,,,,,
35076,"St. Catharines/St. Catharines"," 75","St. Catharines",20,66,13,1,38,1,139,295
