Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brian Abrams,Rick Downes,Peter Milliken,Eric Walton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Kingston and the Islands/Kingston et les Îles"," 47","Kingston",54,54,55,20,2,185,419
35036,"Kingston and the Islands/Kingston et les Îles"," 48","Kingston",55,46,47,10,0,158,437
35036,"Kingston and the Islands/Kingston et les Îles"," 49","Kingston",32,43,27,9,2,113,321
35036,"Kingston and the Islands/Kingston et les Îles"," 50","Kingston",64,55,61,14,0,194,432
35036,"Kingston and the Islands/Kingston et les Îles"," 51","Kingston",41,38,60,7,0,146,314
35036,"Kingston and the Islands/Kingston et les Îles"," 52","Kingston",34,41,30,7,0,112,406
35036,"Kingston and the Islands/Kingston et les Îles"," 53","Kingston",13,38,38,6,2,97,436
35036,"Kingston and the Islands/Kingston et les Îles"," 54","Kingston",23,52,32,3,2,112,367
35036,"Kingston and the Islands/Kingston et les Îles"," 55","Kingston",38,39,44,4,1,126,404
35036,"Kingston and the Islands/Kingston et les Îles"," 56A","Kingston",54,39,52,10,3,158,314
35036,"Kingston and the Islands/Kingston et les Îles"," 56B","Kingston",56,56,41,17,2,172,278
35036,"Kingston and the Islands/Kingston et les Îles"," 56-1","Kingston",Merged with No. 56B/Fusionné avec le nº 56B,,,,,,84
35036,"Kingston and the Islands/Kingston et les Îles"," 57","Kingston",23,26,43,21,0,113,267
35036,"Kingston and the Islands/Kingston et les Îles"," 58","Kingston",44,76,57,8,1,186,455
35036,"Kingston and the Islands/Kingston et les Îles"," 59","Kingston",29,37,43,12,1,122,399
35036,"Kingston and the Islands/Kingston et les Îles"," 60","Kingston",36,41,77,14,3,171,339
35036,"Kingston and the Islands/Kingston et les Îles"," 61","Kingston",45,92,45,15,0,197,427
35036,"Kingston and the Islands/Kingston et les Îles"," 62","Kingston",21,26,51,11,0,109,284
35036,"Kingston and the Islands/Kingston et les Îles"," 63","Kingston",32,56,37,22,0,147,378
35036,"Kingston and the Islands/Kingston et les Îles"," 64","Kingston",41,49,53,15,0,158,401
35036,"Kingston and the Islands/Kingston et les Îles"," 65","Kingston",41,50,74,17,0,182,520
35036,"Kingston and the Islands/Kingston et les Îles"," 66","Kingston",36,65,47,8,0,156,466
35036,"Kingston and the Islands/Kingston et les Îles"," 67","Kingston",Void/Supprimé,,,,,,
35036,"Kingston and the Islands/Kingston et les Îles"," 68","Kingston",73,31,75,26,1,206,408
35036,"Kingston and the Islands/Kingston et les Îles"," 69","Kingston",44,40,71,14,0,169,359
35036,"Kingston and the Islands/Kingston et les Îles"," 70","Kingston",66,46,47,16,0,175,391
35036,"Kingston and the Islands/Kingston et les Îles"," 71","Kingston",73,29,75,35,0,212,405
35036,"Kingston and the Islands/Kingston et les Îles"," 72","Kingston",89,50,79,23,1,242,467
35036,"Kingston and the Islands/Kingston et les Îles"," 73","Kingston",70,28,85,13,1,197,355
35036,"Kingston and the Islands/Kingston et les Îles"," 74","Kingston",68,34,98,12,0,212,383
35036,"Kingston and the Islands/Kingston et les Îles"," 75","Kingston",59,44,64,18,0,185,351
35036,"Kingston and the Islands/Kingston et les Îles"," 76","Kingston",30,48,20,10,1,109,327
35036,"Kingston and the Islands/Kingston et les Îles"," 77","Kingston",94,32,81,18,0,225,367
35036,"Kingston and the Islands/Kingston et les Îles"," 78","Kingston",107,25,78,22,1,233,437
35036,"Kingston and the Islands/Kingston et les Îles"," 79","Kingston",93,28,98,13,1,233,377
35036,"Kingston and the Islands/Kingston et les Îles"," 80","Kingston",78,27,87,19,0,211,390
35036,"Kingston and the Islands/Kingston et les Îles"," 81","Kingston",85,29,84,22,0,220,405
35036,"Kingston and the Islands/Kingston et les Îles"," 82","Kingston",91,30,84,17,0,222,379
35036,"Kingston and the Islands/Kingston et les Îles"," 83A","Kingston",68,24,42,11,0,145,300
35036,"Kingston and the Islands/Kingston et les Îles"," 83B","Kingston",80,25,39,5,0,149,288
35036,"Kingston and the Islands/Kingston et les Îles"," 84","Kingston",72,38,83,15,0,208,447
35036,"Kingston and the Islands/Kingston et les Îles"," 85","Kingston",49,40,45,10,0,144,257
35036,"Kingston and the Islands/Kingston et les Îles"," 86","Kingston",118,49,148,21,0,336,552
35036,"Kingston and the Islands/Kingston et les Îles"," 87","Kingston",39,26,35,9,1,110,283
35036,"Kingston and the Islands/Kingston et les Îles"," 88","Kingston",38,43,95,13,2,191,350
35036,"Kingston and the Islands/Kingston et les Îles"," 89","Kingston",35,45,53,14,0,147,366
35036,"Kingston and the Islands/Kingston et les Îles"," 90","Kingston",48,17,119,11,1,196,356
35036,"Kingston and the Islands/Kingston et les Îles"," 91","Kingston",77,34,138,18,3,270,411
35036,"Kingston and the Islands/Kingston et les Îles"," 92","Kingston",73,35,97,15,0,220,362
35036,"Kingston and the Islands/Kingston et les Îles"," 93","Kingston",26,36,45,10,1,118,486
35036,"Kingston and the Islands/Kingston et les Îles"," 94A","Kingston",78,24,86,13,0,201,430
35036,"Kingston and the Islands/Kingston et les Îles"," 94B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,137
35036,"Kingston and the Islands/Kingston et les Îles"," 95","Kingston",97,40,85,29,0,251,422
35036,"Kingston and the Islands/Kingston et les Îles"," 96","Kingston",76,31,69,17,0,193,408
35036,"Kingston and the Islands/Kingston et les Îles"," 97","Kingston",64,35,46,4,0,149,303
35036,"Kingston and the Islands/Kingston et les Îles"," 98","Kingston",64,32,79,9,1,185,385
35036,"Kingston and the Islands/Kingston et les Îles"," 99","Kingston",81,27,93,23,0,224,508
35036,"Kingston and the Islands/Kingston et les Îles"," 99-1","Kingston",122,58,105,18,0,303,651
35036,"Kingston and the Islands/Kingston et les Îles"," 100","Kingston",76,52,91,11,0,230,549
35036,"Kingston and the Islands/Kingston et les Îles"," 101","Kingston",53,43,73,11,0,180,445
35036,"Kingston and the Islands/Kingston et les Îles"," 102","Kingston",43,19,110,23,0,195,284
35036,"Kingston and the Islands/Kingston et les Îles"," 103","Kingston",41,34,54,10,1,140,225
35036,"Kingston and the Islands/Kingston et les Îles"," 104","Kingston",57,27,90,17,4,195,366
35036,"Kingston and the Islands/Kingston et les Îles"," 105","Kingston",37,37,63,19,1,157,358
35036,"Kingston and the Islands/Kingston et les Îles"," 106","Kingston",68,22,91,20,1,202,370
35036,"Kingston and the Islands/Kingston et les Îles"," 107","Kingston",48,49,73,22,0,192,427
35036,"Kingston and the Islands/Kingston et les Îles"," 108","Kingston",78,58,66,21,0,223,534
35036,"Kingston and the Islands/Kingston et les Îles"," 109A","Kingston",53,18,54,9,3,137,322
35036,"Kingston and the Islands/Kingston et les Îles"," 109B","Kingston",41,17,45,6,0,109,320
35036,"Kingston and the Islands/Kingston et les Îles"," 109-1","Kingston",Merged with No. 109B/Fusionné avec le nº 109B,,,,,,2
35036,"Kingston and the Islands/Kingston et les Îles"," 110","Kingston",71,15,73,12,0,171,304
35036,"Kingston and the Islands/Kingston et les Îles"," 111","Kingston",82,34,68,17,2,203,395
35036,"Kingston and the Islands/Kingston et les Îles"," 112","Kingston",118,43,108,16,0,285,536
35036,"Kingston and the Islands/Kingston et les Îles"," 112-1","Kingston",51,23,52,19,0,145,279
35036,"Kingston and the Islands/Kingston et les Îles"," 113","Kingston",63,36,75,8,0,182,436
35036,"Kingston and the Islands/Kingston et les Îles"," 114","Kingston",35,38,52,16,0,141,415
35036,"Kingston and the Islands/Kingston et les Îles"," 115","Kingston",36,28,61,23,1,149,327
35036,"Kingston and the Islands/Kingston et les Îles"," 116","Kingston",70,52,119,32,1,274,435
35036,"Kingston and the Islands/Kingston et les Îles"," 117","Kingston",64,22,106,14,0,206,335
35036,"Kingston and the Islands/Kingston et les Îles"," 118","Kingston",77,31,93,20,0,221,401
35036,"Kingston and the Islands/Kingston et les Îles"," 119","Kingston",81,16,82,10,0,189,337
35036,"Kingston and the Islands/Kingston et les Îles"," 120","Kingston",66,28,65,14,2,175,375
35036,"Kingston and the Islands/Kingston et les Îles"," 121","Kingston",99,35,148,23,0,305,556
35036,"Kingston and the Islands/Kingston et les Îles"," 122","Kingston",80,24,79,25,0,208,324
35036,"Kingston and the Islands/Kingston et les Îles"," 123","Kingston",62,28,56,16,0,162,319
35036,"Kingston and the Islands/Kingston et les Îles"," 124","Kingston",55,25,55,13,0,148,310
35036,"Kingston and the Islands/Kingston et les Îles"," 125","Kingston",56,31,75,12,1,175,335
35036,"Kingston and the Islands/Kingston et les Îles"," 126","Kingston",89,37,91,16,0,233,408
