Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Janice Bernier,Greg Chatterson,Rod Flaman,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 1","Kandahar",55,4,3,65,0,127,199
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 2","Wynyard",48,2,5,78,1,134,235
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 3","Elfros",47,6,6,136,1,196,321
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 4","Wynyard",39,5,11,88,1,144,297
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 5","Wynyard",35,2,7,58,0,102,205
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 6","Wynyard",35,5,4,87,0,131,244
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 7","Wynyard",122,13,15,186,2,338,720
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 8","Raymore",29,5,14,50,0,98,248
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 9","Raymore",26,12,11,74,0,123,195
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 10","Raymore",40,9,16,92,1,158,304
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 11","Poorman 88",99,0,17,9,0,125,258
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 12","Day Star 87",31,2,5,5,0,43,144
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 13","Punnichy",43,2,15,70,0,130,321
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 14","Wishart",27,2,8,72,0,109,194
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 15","Bankend",41,8,14,118,0,181,263
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 16","Serath",12,3,8,62,0,85,204
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 17","Gordon 86",85,6,25,10,0,126,350
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 18","Lestock",41,4,7,65,0,117,315
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 19","Muskowekwan 85",41,3,9,3,0,56,140
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 20","Leross",19,12,6,77,1,115,174
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 21","Kelliher",17,2,7,69,0,95,173
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 22","Kelliher",34,3,14,82,0,133,219
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 23","Ituna",8,0,5,102,1,116,202
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 24","Ituna",16,5,12,83,0,116,206
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 25","Ituna",23,11,15,159,0,208,356
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 26","Hubbard",15,0,11,78,0,104,197
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 27","Little Black Bear 84",Void/Supprimé,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 28","Star Blanket 83",19,1,2,0,0,22,78
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 29","Okanese 82",16,0,1,0,0,17,69
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 30","Peepeekisis 81",16,4,17,2,0,39,118
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 31","Southey",51,12,32,185,0,280,424
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 32","Southey",24,3,9,80,0,116,173
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 33","Markinch",24,6,22,120,0,172,258
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 34","Cupar",4,12,9,89,0,114,158
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 35","Cupar",32,8,7,66,0,113,193
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 36","Cupar",35,6,6,63,1,111,231
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37A","Dysart",22,5,14,100,1,142,569
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 37B","Dysart",18,5,5,66,1,95,434
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 38","Lipton",11,9,4,97,0,121,163
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 39","Lipton",42,8,9,95,0,154,252
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40","Fort San",Void/Supprimé,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40-1","Standing Buffalo 78",53,9,14,5,0,81,93
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 40-2","Fort San",31,14,7,68,1,121,144
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 41","Lebret",59,17,32,81,0,189,365
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 42","Lebret",39,18,22,108,0,187,234
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 43","Fort Qu'Appelle",48,20,40,135,0,243,429
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 44","Fort Qu'Appelle",Void/Supprimé,,,,,,
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 45","Fort Qu'Appelle",57,23,10,68,0,158,360
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 46","Fort Qu'Appelle",48,16,23,79,0,166,307
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 47","Fort Qu'Appelle",65,19,15,131,0,230,478
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 48","Fort Qu'Appelle",28,15,19,129,0,191,296
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 49","Abernethy",27,6,25,155,0,213,285
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 50","Balcarres",32,15,20,130,0,197,518
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle"," 51","Balcarres",15,7,9,76,1,108,170
