Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Josée Beauchamp,Claude Marc Boudreau,Roger Gaudet,David Grégoire,Michel Paulette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24043,"Montcalm/Montcalm"," 1","Saint-Calixte",21,14,89,9,12,6,151,384
24043,"Montcalm/Montcalm"," 2","Saint-Calixte",16,14,99,16,4,3,152,380
24043,"Montcalm/Montcalm"," 3","Saint-Calixte",26,36,121,24,8,7,222,503
24043,"Montcalm/Montcalm"," 4","Saint-Calixte",23,23,119,42,8,9,224,498
24043,"Montcalm/Montcalm"," 5","Sainte-Julienne",24,21,144,13,17,4,223,474
24043,"Montcalm/Montcalm"," 6","Sainte-Julienne",30,25,121,38,10,4,228,433
24043,"Montcalm/Montcalm"," 6-1","Sainte-Julienne",23,24,99,15,2,4,167,406
24043,"Montcalm/Montcalm"," 7","Sainte-Julienne",45,22,144,16,8,8,243,441
24043,"Montcalm/Montcalm"," 8","Sainte-Julienne",21,17,79,19,6,4,146,354
24043,"Montcalm/Montcalm"," 9","Sainte-Julienne",33,34,172,20,13,6,278,554
24043,"Montcalm/Montcalm"," 10","Sainte-Julienne",35,28,136,24,8,4,235,484
24043,"Montcalm/Montcalm"," 11","Sainte-Julienne",47,36,180,23,7,6,299,578
24043,"Montcalm/Montcalm"," 11-1","Sainte-Julienne",24,25,124,21,3,2,199,444
24043,"Montcalm/Montcalm"," 12","Sainte-Julienne",25,25,163,36,5,5,259,500
24043,"Montcalm/Montcalm"," 13","Sainte-Julienne",14,16,70,19,2,2,123,313
24043,"Montcalm/Montcalm"," 14","Sainte-Julienne",17,14,89,25,7,2,154,397
24043,"Montcalm/Montcalm"," 15","Sainte-Julienne",22,22,127,26,6,6,209,425
24043,"Montcalm/Montcalm"," 16","Sainte-Julienne",23,12,118,21,3,7,184,390
24043,"Montcalm/Montcalm"," 17","Saint-Calixte",19,20,124,15,7,3,188,453
24043,"Montcalm/Montcalm"," 18","Saint-Calixte",19,21,131,22,3,0,196,457
24043,"Montcalm/Montcalm"," 19","Saint-Calixte",29,18,122,17,4,5,195,445
