Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,François Bédard,Denis Courteau,Anne-Marie Day,Denise Legros,Daniel Petit,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 1","Lac-Saint-Charles",10,105,38,27,93,7,280,496
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 2","Lac-Saint-Charles",6,87,59,48,108,6,314,593
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 3","Charlesbourg",6,60,36,16,97,1,216,514
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 4","Charlesbourg",10,85,49,26,101,6,277,547
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 5","Charlesbourg",4,26,29,19,61,5,144,346
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 6","Charlesbourg",11,108,60,25,143,9,356,667
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 7","Lac-Saint-Charles",8,39,35,25,107,2,216,477
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 8","Lac-Saint-Charles",5,45,30,41,117,4,242,461
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 9","Lac-Saint-Charles",5,45,32,45,105,2,234,445
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 10","Lac-Saint-Charles",2,59,19,26,89,6,201,391
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 11","Lac-Saint-Charles",5,59,20,22,95,4,205,424
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 12","Lac-Saint-Charles",3,56,42,28,93,7,229,466
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 13","Lac-Saint-Charles",4,62,35,25,95,7,228,566
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 14","Lac-Saint-Charles",8,35,21,8,81,6,159,412
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 15","Lac-Saint-Charles",4,53,51,21,78,6,213,482
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 16","Lac-Saint-Charles",5,32,39,6,65,2,149,309
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 17","Lac-Saint-Charles",5,37,11,12,56,11,132,290
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18A","Lac-Saint-Charles",3,48,25,16,98,3,193,394
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 18B","Lac-Saint-Charles",5,25,15,9,88,3,145,341
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 19","Lac-Saint-Charles",6,53,34,16,117,4,230,483
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 20","Lac-Saint-Charles",3,51,22,14,78,0,168,350
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 21","Charlesbourg",4,74,26,24,96,7,231,500
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 22","Charlesbourg",9,90,41,56,147,3,346,591
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 23","Charlesbourg",9,65,29,29,83,1,216,415
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 24","Charlesbourg",12,71,36,27,86,5,237,487
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 25","Charlesbourg",6,53,34,22,111,6,232,455
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 26","Charlesbourg",3,60,31,33,100,4,231,462
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 27","Charlesbourg",7,86,50,22,109,7,281,554
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 28A","Saint-Émile",3,51,21,25,96,1,197,360
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 28B","Saint-Émile",4,45,38,17,87,0,191,377
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 29","Saint-Émile",7,60,34,19,155,6,281,544
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 30","Saint-Émile",2,59,22,17,85,3,188,319
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 31","Saint-Émile",4,41,36,20,92,2,195,368
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 32","Saint-Émile",6,56,22,18,102,12,216,440
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 33","Saint-Émile",12,99,46,37,155,9,358,577
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 34A","Saint-Émile",5,45,40,14,108,4,216,449
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 34B","Saint-Émile",4,72,49,23,116,6,270,488
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 34-1","Saint-Émile",11,84,37,36,159,11,338,605
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 35","Saint-Émile",4,63,36,27,90,2,222,436
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 36","Saint-Émile",10,67,44,42,122,5,290,514
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 37","Saint-Émile",5,32,29,15,85,3,169,335
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 38","Saint-Émile",5,60,45,38,106,1,255,426
24013,"Charlesbourg--Haute-Saint-Charles/Charlesbourg--Haute-Saint-Charles"," 39","Saint-Émile",6,66,37,29,123,2,263,458
