Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Colin Carrie,David Gershuny,Sean Godfrey,Pat Gostlin,Alex Kreider,Mike Shields,Peter Vogel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Oshawa/Oshawa"," 1","Oshawa",79,1,41,6,0,49,0,0,176,335
35061,"Oshawa/Oshawa"," 1-1A","Oshawa",158,0,58,15,0,51,1,1,284,459
35061,"Oshawa/Oshawa"," 1-1B","Oshawa",133,1,62,18,0,54,2,0,270,480
35061,"Oshawa/Oshawa"," 1-2","Oshawa",90,0,37,15,0,46,1,0,189,325
35061,"Oshawa/Oshawa"," 1-3","Oshawa",83,1,37,10,0,35,0,0,166,268
35061,"Oshawa/Oshawa"," 2","Oshawa",154,0,63,14,0,57,4,0,292,516
35061,"Oshawa/Oshawa"," 2-1","Oshawa",144,2,69,9,0,75,2,0,301,575
35061,"Oshawa/Oshawa"," 2-2A","Oshawa",77,0,31,5,0,45,2,0,160,342
35061,"Oshawa/Oshawa"," 2-2B","Oshawa",66,1,45,8,0,34,1,0,155,306
35061,"Oshawa/Oshawa"," 3","Oshawa",108,0,56,10,0,55,4,0,233,487
35061,"Oshawa/Oshawa"," 3-1","Oshawa",157,0,63,23,0,78,1,1,323,558
35061,"Oshawa/Oshawa"," 3-2","Oshawa",125,1,83,20,0,70,0,1,300,581
35061,"Oshawa/Oshawa"," 4","Oshawa",141,0,44,10,0,71,3,0,269,437
35061,"Oshawa/Oshawa"," 4-1","Oshawa",95,0,39,11,0,60,2,1,208,365
35061,"Oshawa/Oshawa"," 4-2A","Oshawa",58,1,41,13,0,50,0,0,163,316
35061,"Oshawa/Oshawa"," 4-2B","Oshawa",76,0,41,17,0,36,0,0,170,315
35061,"Oshawa/Oshawa"," 5","Oshawa",113,1,41,9,0,48,1,0,213,343
35061,"Oshawa/Oshawa"," 6","Oshawa",137,1,54,27,0,71,1,1,292,517
35061,"Oshawa/Oshawa"," 7","Oshawa",17,1,13,1,0,32,2,0,66,302
35061,"Oshawa/Oshawa"," 8","Oshawa",114,0,34,27,0,96,2,2,275,525
35061,"Oshawa/Oshawa"," 9","Oshawa",73,1,41,12,0,101,0,0,228,418
35061,"Oshawa/Oshawa"," 10","Oshawa",34,0,15,9,1,54,0,1,114,296
35061,"Oshawa/Oshawa"," 11","Oshawa",98,0,24,12,0,67,4,1,206,493
35061,"Oshawa/Oshawa"," 12","Oshawa",95,0,46,14,0,63,2,0,220,392
35061,"Oshawa/Oshawa"," 12-1","Oshawa",103,1,56,15,0,70,0,2,247,525
35061,"Oshawa/Oshawa"," 13","Oshawa",73,0,24,7,0,59,0,0,163,285
35061,"Oshawa/Oshawa"," 14","Oshawa",64,0,28,6,0,36,1,0,135,296
35061,"Oshawa/Oshawa"," 15","Oshawa",71,1,26,12,0,76,2,1,189,452
35061,"Oshawa/Oshawa"," 16","Oshawa",75,0,31,9,0,72,0,0,187,379
35061,"Oshawa/Oshawa"," 17","Oshawa",90,0,35,15,0,82,1,1,224,393
35061,"Oshawa/Oshawa"," 18","Oshawa",99,2,34,13,1,91,0,1,241,439
35061,"Oshawa/Oshawa"," 19","Oshawa",101,1,38,13,1,75,1,0,230,379
35061,"Oshawa/Oshawa"," 20","Oshawa",73,0,19,9,1,36,0,0,138,260
35061,"Oshawa/Oshawa"," 21","Oshawa",113,1,61,10,0,53,0,0,238,441
35061,"Oshawa/Oshawa"," 22","Oshawa",111,0,40,17,0,48,0,0,216,379
35061,"Oshawa/Oshawa"," 22-1","Oshawa",111,0,58,20,0,90,0,1,280,462
35061,"Oshawa/Oshawa"," 22-2","Oshawa",75,0,33,14,0,67,0,1,190,545
35061,"Oshawa/Oshawa"," 23","Oshawa",121,0,53,19,0,57,0,0,250,477
35061,"Oshawa/Oshawa"," 24","Oshawa",71,0,18,3,0,32,0,0,124,250
35061,"Oshawa/Oshawa"," 25","Oshawa",119,0,24,10,0,49,5,2,209,404
35061,"Oshawa/Oshawa"," 26A","Oshawa",73,0,24,18,0,62,0,0,177,313
35061,"Oshawa/Oshawa"," 26B","Oshawa",59,0,33,8,0,50,0,0,150,293
35061,"Oshawa/Oshawa"," 26-1A","Oshawa",108,0,26,16,0,48,0,0,198,337
35061,"Oshawa/Oshawa"," 26-1B","Oshawa",100,0,39,25,0,46,1,0,211,346
35061,"Oshawa/Oshawa"," 26-2","Oshawa",75,0,32,9,0,43,0,0,159,294
35061,"Oshawa/Oshawa"," 27","Oshawa",155,1,56,23,0,81,1,1,318,529
35061,"Oshawa/Oshawa"," 28","Oshawa",134,2,48,21,0,71,1,0,277,529
35061,"Oshawa/Oshawa"," 29","Oshawa",79,0,43,19,1,69,2,0,213,459
35061,"Oshawa/Oshawa"," 30","Oshawa",107,1,56,35,0,84,1,1,285,504
35061,"Oshawa/Oshawa"," 31","Oshawa",113,1,34,24,0,89,0,2,263,437
35061,"Oshawa/Oshawa"," 32","Oshawa",93,0,36,8,0,83,1,0,221,441
35061,"Oshawa/Oshawa"," 33","Oshawa",70,0,22,17,0,58,1,1,169,390
35061,"Oshawa/Oshawa"," 34","Oshawa",106,0,59,13,0,70,1,3,252,478
35061,"Oshawa/Oshawa"," 35A","Oshawa",118,0,34,9,0,69,0,1,231,437
35061,"Oshawa/Oshawa"," 35B","Oshawa",Merged with No. 36/Fusionné avec le nº 36,,,,,,,,,213
35061,"Oshawa/Oshawa"," 36","Oshawa",127,0,38,12,0,65,2,1,245,234
35061,"Oshawa/Oshawa"," 37","Oshawa",76,0,13,18,0,84,1,1,193,364
35061,"Oshawa/Oshawa"," 38","Oshawa",48,0,14,11,0,57,0,0,130,299
35061,"Oshawa/Oshawa"," 39A","Oshawa",87,0,31,13,0,49,0,0,180,322
35061,"Oshawa/Oshawa"," 39B","Oshawa",78,0,45,15,1,42,0,0,181,337
35061,"Oshawa/Oshawa"," 40","Oshawa",122,0,51,14,0,71,0,1,259,463
35061,"Oshawa/Oshawa"," 40-1","Oshawa",68,1,22,14,0,33,4,0,142,342
35061,"Oshawa/Oshawa"," 40-2","Oshawa",117,0,53,13,0,41,1,0,225,435
35061,"Oshawa/Oshawa"," 41","Oshawa",80,2,18,16,0,71,0,0,187,323
35061,"Oshawa/Oshawa"," 41-1","Oshawa",47,0,21,19,0,47,0,1,135,252
35061,"Oshawa/Oshawa"," 42","Oshawa",88,1,44,9,0,38,1,0,181,300
35061,"Oshawa/Oshawa"," 43","Oshawa",130,0,24,24,0,85,2,1,266,493
35061,"Oshawa/Oshawa"," 44","Oshawa",78,0,24,10,0,73,1,1,187,368
35061,"Oshawa/Oshawa"," 45","Oshawa",86,0,31,19,1,45,4,0,186,361
35061,"Oshawa/Oshawa"," 46","Oshawa",106,0,53,19,0,60,1,0,239,400
35061,"Oshawa/Oshawa"," 47","Oshawa",121,0,32,18,0,61,0,1,233,401
35061,"Oshawa/Oshawa"," 48","Oshawa",81,0,35,5,0,53,0,2,176,366
35061,"Oshawa/Oshawa"," 49","Oshawa",48,1,17,14,0,54,3,0,137,440
35061,"Oshawa/Oshawa"," 50","Oshawa",44,0,33,9,1,53,1,0,141,252
35061,"Oshawa/Oshawa"," 51","Oshawa",40,0,15,7,0,35,0,0,97,327
35061,"Oshawa/Oshawa"," 52","Oshawa",33,0,13,8,0,58,0,1,113,417
35061,"Oshawa/Oshawa"," 53","Oshawa",44,0,26,13,0,68,0,0,151,464
35061,"Oshawa/Oshawa"," 53-1","Oshawa",40,0,18,9,0,46,1,1,115,316
35061,"Oshawa/Oshawa"," 54","Oshawa",42,2,12,5,0,39,1,1,102,283
35061,"Oshawa/Oshawa"," 54-1","Oshawa",83,0,25,10,0,40,0,0,158,259
35061,"Oshawa/Oshawa"," 55","Oshawa",70,0,22,17,0,58,1,1,169,338
35061,"Oshawa/Oshawa"," 56","Oshawa",52,0,31,17,1,79,0,1,181,462
35061,"Oshawa/Oshawa"," 57","Oshawa",154,0,81,23,0,58,2,1,319,482
35061,"Oshawa/Oshawa"," 58","Oshawa",120,1,61,15,0,57,0,4,258,415
35061,"Oshawa/Oshawa"," 59","Oshawa",70,0,43,8,0,48,1,1,171,324
35061,"Oshawa/Oshawa"," 60","Oshawa",104,0,32,15,0,76,0,0,227,370
35061,"Oshawa/Oshawa"," 61","Oshawa",69,0,24,12,0,64,0,0,169,276
35061,"Oshawa/Oshawa"," 62","Oshawa",69,1,42,13,0,59,0,0,184,331
35061,"Oshawa/Oshawa"," 63","Oshawa",63,0,31,10,0,49,0,0,153,289
35061,"Oshawa/Oshawa"," 64","Oshawa",93,0,32,17,0,88,0,0,230,439
35061,"Oshawa/Oshawa"," 65","Oshawa",61,1,35,14,0,103,4,0,218,446
35061,"Oshawa/Oshawa"," 66","Oshawa",81,0,38,33,0,99,4,1,256,518
35061,"Oshawa/Oshawa"," 67","Oshawa",77,0,37,21,0,86,0,0,221,350
35061,"Oshawa/Oshawa"," 68","Oshawa",93,0,29,12,0,70,1,0,205,336
35061,"Oshawa/Oshawa"," 69","Oshawa",66,0,20,8,0,58,1,0,153,272
35061,"Oshawa/Oshawa"," 70","Oshawa",75,0,27,19,0,81,0,2,204,366
35061,"Oshawa/Oshawa"," 71","Oshawa",78,0,46,16,0,36,1,0,177,343
35061,"Oshawa/Oshawa"," 72","Oshawa",93,2,34,6,0,62,0,2,199,345
35061,"Oshawa/Oshawa"," 73","Oshawa",73,0,37,12,1,66,2,1,192,389
35061,"Oshawa/Oshawa"," 74","Oshawa",77,0,24,13,0,78,1,0,193,400
35061,"Oshawa/Oshawa"," 75","Oshawa",87,0,40,18,0,88,0,0,233,408
35061,"Oshawa/Oshawa"," 76","Oshawa",87,1,41,13,0,76,4,1,223,448
35061,"Oshawa/Oshawa"," 77","Oshawa",80,0,15,12,0,62,0,2,171,398
35061,"Oshawa/Oshawa"," 78","Oshawa",58,2,26,17,0,55,1,0,159,401
35061,"Oshawa/Oshawa"," 79","Oshawa",92,0,28,18,1,83,1,1,224,457
35061,"Oshawa/Oshawa"," 80","Oshawa",73,0,30,12,0,58,1,0,174,291
35061,"Oshawa/Oshawa"," 81","Oshawa",71,0,23,17,0,57,1,0,169,322
35061,"Oshawa/Oshawa"," 82","Oshawa",78,1,53,30,0,58,0,0,220,369
35061,"Oshawa/Oshawa"," 83","Oshawa",70,0,24,10,1,81,0,5,191,336
35061,"Oshawa/Oshawa"," 84","Oshawa",70,0,39,15,0,71,0,0,195,344
35061,"Oshawa/Oshawa"," 85","Oshawa",57,0,25,22,0,77,1,0,182,418
35061,"Oshawa/Oshawa"," 86","Oshawa",89,0,36,8,0,55,1,2,191,364
35061,"Oshawa/Oshawa"," 87","Oshawa",94,3,52,25,0,67,0,1,242,372
35061,"Oshawa/Oshawa"," 88","Oshawa",69,1,57,13,0,65,0,1,206,348
35061,"Oshawa/Oshawa"," 89","Oshawa",72,1,15,13,0,94,2,0,197,393
35061,"Oshawa/Oshawa"," 90","Oshawa",25,2,14,6,0,46,0,2,95,457
35061,"Oshawa/Oshawa"," 91","Oshawa",73,0,34,17,0,55,1,0,180,387
35061,"Oshawa/Oshawa"," 92","Oshawa",56,2,28,20,0,81,4,0,191,392
35061,"Oshawa/Oshawa"," 93","Oshawa",45,0,16,13,0,36,0,0,110,374
35061,"Oshawa/Oshawa"," 94","Oshawa",48,1,21,6,0,47,4,0,127,331
35061,"Oshawa/Oshawa"," 95","Oshawa",57,0,23,11,1,70,2,3,167,303
35061,"Oshawa/Oshawa"," 96","Oshawa",56,0,43,9,0,86,0,0,194,477
35061,"Oshawa/Oshawa"," 97","Oshawa",59,0,32,22,0,57,2,0,172,341
35061,"Oshawa/Oshawa"," 98","Oshawa",49,0,10,6,0,60,5,1,131,324
35061,"Oshawa/Oshawa"," 99","Oshawa",42,0,27,6,0,73,0,1,149,388
35061,"Oshawa/Oshawa"," 100","Oshawa",47,0,13,11,0,76,2,1,150,379
35061,"Oshawa/Oshawa"," 101","Oshawa",63,2,22,8,1,63,4,0,163,316
35061,"Oshawa/Oshawa"," 102","Oshawa",52,1,30,11,1,59,3,18,175,323
35061,"Oshawa/Oshawa"," 103","Oshawa",73,1,37,14,0,76,3,0,204,372
35061,"Oshawa/Oshawa"," 104","Oshawa",70,0,17,19,1,86,0,0,193,317
35061,"Oshawa/Oshawa"," 105","Oshawa",68,0,18,24,0,85,0,0,195,389
35061,"Oshawa/Oshawa"," 106","Oshawa",77,0,17,23,0,82,3,0,202,360
35061,"Oshawa/Oshawa"," 107","Oshawa",79,0,27,16,0,70,0,1,193,350
35061,"Oshawa/Oshawa"," 108","Oshawa",62,0,26,16,3,74,0,1,182,365
35061,"Oshawa/Oshawa"," 109","Oshawa",77,0,17,13,0,56,0,0,163,341
35061,"Oshawa/Oshawa"," 110","Oshawa",75,1,14,17,0,72,0,1,180,362
35061,"Oshawa/Oshawa"," 111","Oshawa",26,0,15,12,1,49,1,2,106,326
35061,"Oshawa/Oshawa"," 112","Oshawa",31,0,8,10,1,30,0,1,81,269
