Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Patrick Berthiaume,Bernard Bigras,Alexandre Boulerice,Sylvie Boulianne,Stéphane Chénier,Michel Dugré,Vincent Larochelle,Marjorie Théodore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1A","Montréal",0,43,25,10,0,0,5,24,1,108,243
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1B","Montréal",1,46,13,16,0,0,4,34,1,115,232
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 2","Montréal",0,92,24,18,0,0,11,47,4,196,403
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 3","Montréal",0,65,33,14,0,0,5,31,1,149,291
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 4","Montréal",1,99,33,17,0,0,10,40,4,204,370
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 5","Montréal",0,105,32,27,1,3,6,67,6,247,388
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 6","Montréal",0,105,52,18,1,0,7,33,8,224,351
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 7","Montréal",0,104,31,23,0,2,6,34,2,202,331
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8A","Montréal",0,82,22,30,0,0,4,51,2,191,271
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8B","Montréal",0,76,12,31,1,0,10,56,0,186,255
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8-1","Montréal",0,87,15,18,1,0,6,37,1,165,377
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 9","Montréal",0,84,15,12,2,0,7,36,4,160,375
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 10","Montréal",0,115,27,32,0,0,9,53,3,239,371
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 11","Montréal",1,86,27,16,0,0,6,66,3,205,325
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 12","Montréal",0,130,35,22,0,0,9,42,4,242,426
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13A","Montréal",3,60,28,11,0,1,6,44,0,153,258
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13B","Montréal",1,53,17,6,1,0,4,27,0,109,211
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 14","Montréal",1,114,41,22,1,1,14,48,2,244,384
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 15","Montréal",4,118,32,18,1,0,15,41,4,233,403
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 16","Montréal",2,111,42,23,0,1,14,40,0,233,365
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 17","Montréal",1,66,17,31,1,0,3,65,2,186,251
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 18","Montréal",2,121,36,14,1,0,13,34,7,228,322
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 19","Montréal",1,110,27,13,0,0,7,17,2,177,285
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 20","Montréal",0,60,18,18,1,1,8,31,1,138,329
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 21","Montréal",1,91,18,11,2,0,5,26,1,155,317
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 22","Montréal",3,102,28,14,0,0,11,35,3,196,342
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23A","Montréal",0,39,12,10,1,0,2,35,0,99,233
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 23B","Montréal",1,45,11,14,0,0,3,21,1,96,238
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 24","Montréal",0,99,44,13,2,1,7,36,0,202,395
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 25","Montréal",0,120,20,19,0,0,16,43,2,220,373
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 26","Montréal",2,95,22,25,0,0,10,60,2,216,372
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 27","Montréal",4,130,37,17,2,1,12,51,4,258,379
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 28","Montréal",1,122,27,4,2,0,13,25,4,198,314
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 29","Montréal",1,108,47,22,0,0,6,43,3,230,323
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 30","Montréal",0,122,41,17,0,3,6,25,5,219,352
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31A","Montréal",0,63,25,10,0,0,7,24,0,129,265
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 31B","Montréal",1,69,26,8,0,0,6,18,2,130,242
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 32","Montréal",4,115,28,18,2,0,8,37,2,214,369
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 33","Montréal",3,95,30,32,1,1,9,37,6,214,378
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34A","Montréal",4,68,34,8,0,0,4,20,2,140,217
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 34B","Montréal",0,91,21,8,0,0,6,14,3,143,239
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 35","Montréal",2,150,34,10,0,1,20,44,0,261,413
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 36","Montréal",1,154,52,13,0,0,11,37,5,273,398
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37A","Montréal",1,134,41,15,0,0,11,30,3,235,420
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 37B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,,,14
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 38","Montréal",1,134,42,11,0,0,17,31,1,237,405
24061,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 39","Montréal",1,125,32,7,1,0,8,22,4,200,313
