Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Meili Faille,Michael M. Fortier,Maxime Héroux-Legault,Brigitte Legault,Jean-Yves Massenet,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 1","Pointe-Fortune",135,46,20,47,13,0,261,401
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 2","Rigaud",116,49,9,38,12,2,226,453
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 3","Rigaud",116,33,15,28,6,1,199,356
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 4","Rigaud",164,43,16,34,13,6,276,485
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 5","Rigaud",63,56,9,56,14,0,198,387
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 6","Rigaud",102,70,35,72,26,0,305,518
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 7","Rigaud",86,22,9,21,7,1,146,320
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 8","Rigaud",167,41,15,49,11,2,285,434
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 9A","Rigaud",105,24,8,30,3,4,174,308
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 9B","Rigaud",Merged with No. 501/Fusionné avec le nº 501,,,,,,,36
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 10","Rigaud",110,27,10,36,7,2,192,358
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 11","Rigaud",204,56,31,35,20,8,354,633
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 12","Rigaud",128,54,30,64,19,3,298,579
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 13A","Rigaud",64,30,16,30,7,0,147,271
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 13B","Rigaud",87,36,14,30,13,2,182,351
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 14","Hudson",25,119,6,84,19,0,253,505
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15","Vaudreuil-Dorion",46,43,27,39,10,1,166,285
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 15-1","Vaudreuil-Dorion",61,76,34,64,26,4,265,470
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 16","Hudson",18,122,13,91,15,0,259,501
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 17","Hudson",8,122,17,104,18,0,269,445
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 18","Hudson",22,97,16,81,22,0,238,388
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 19","Hudson",24,73,13,81,26,2,219,391
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 20","Hudson",12,82,10,73,15,1,193,370
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 21","Hudson",10,53,12,47,8,0,130,255
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 22","Hudson",23,109,24,95,12,1,264,441
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 23","Hudson",18,101,16,74,27,0,236,392
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 24","Hudson",31,64,16,54,11,1,177,336
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 25","Vaudreuil-Dorion",60,74,31,97,22,2,286,510
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 26","Vaudreuil-Dorion",59,44,28,42,6,0,179,377
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 27","Vaudreuil-Dorion",120,62,39,88,22,6,337,537
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 28","Vaudreuil-sur-le-Lac",127,60,33,44,7,3,274,404
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 28-1","Vaudreuil-sur-le-Lac",58,78,12,69,1,2,220,311
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 29","L'Île-Cadieux",144,82,24,50,8,2,310,462
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 30A","Vaudreuil-Dorion",52,56,18,37,4,0,167,287
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 30B","Vaudreuil-Dorion",51,77,5,46,4,3,186,321
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 31","Vaudreuil-Dorion",116,76,34,74,9,5,314,470
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 31-1","Vaudreuil-Dorion",75,95,39,114,7,1,331,557
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 32","Vaudreuil-Dorion",139,48,21,51,8,5,272,453
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 33","Vaudreuil-Dorion",105,11,21,24,8,1,170,290
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 33-1","Vaudreuil-Dorion",113,54,16,43,11,3,240,393
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 34","Vaudreuil-Dorion",160,46,34,67,11,7,325,465
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 35","Vaudreuil-Dorion",114,65,23,71,4,8,285,491
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 36","Vaudreuil-Dorion",102,33,16,49,6,5,211,388
24073,"Vaudreuil-Soulanges/Vaudreuil-Soulanges"," 37","Vaudreuil-Dorion",105,75,34,81,7,1,303,534
