Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Amy Collard,Lisa Raitt,Tony Rodrigues,Garth Turner,Rob Wagner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35030,"Halton/Halton"," 1","Milton",24,116,2,63,13,0,218,331
35030,"Halton/Halton"," 2","Milton",28,115,1,66,15,0,225,370
35030,"Halton/Halton"," 3","Milton",33,123,2,79,16,2,255,477
35030,"Halton/Halton"," 4","Milton",22,102,0,68,7,1,200,329
35030,"Halton/Halton"," 5","Milton",15,89,1,53,18,0,176,295
35030,"Halton/Halton"," 6","Milton",28,80,5,57,12,0,182,364
35030,"Halton/Halton"," 6-1","Milton",16,95,0,38,6,1,156,311
35030,"Halton/Halton"," 7","Milton",18,102,1,88,21,0,230,438
35030,"Halton/Halton"," 8","Milton",19,72,1,62,20,1,175,343
35030,"Halton/Halton"," 9","Milton",18,153,2,82,14,0,269,442
35030,"Halton/Halton"," 10","Milton",14,81,0,40,15,0,150,288
35030,"Halton/Halton"," 11","Milton",10,112,0,71,7,1,201,387
35030,"Halton/Halton"," 12","Milton",24,99,1,53,14,0,191,348
35030,"Halton/Halton"," 13","Milton",16,69,0,36,11,1,133,239
35030,"Halton/Halton"," 14","Milton",18,91,1,69,16,0,195,405
35030,"Halton/Halton"," 15","Milton",19,113,0,92,16,1,241,421
35030,"Halton/Halton"," 16","Milton",18,88,1,86,30,0,223,368
35030,"Halton/Halton"," 17","Milton",11,66,3,44,27,0,151,356
35030,"Halton/Halton"," 18","Milton",15,96,2,84,29,0,226,504
35030,"Halton/Halton"," 19","Milton",13,127,1,93,14,2,250,465
35030,"Halton/Halton"," 20","Milton",18,75,0,65,18,1,177,358
35030,"Halton/Halton"," 21","Milton",16,83,0,59,25,0,183,348
35030,"Halton/Halton"," 22","Milton",25,83,1,39,26,3,177,338
35030,"Halton/Halton"," 23","Milton",22,68,2,63,16,0,171,357
35030,"Halton/Halton"," 24","Milton",13,79,0,45,19,0,156,409
35030,"Halton/Halton"," 25","Milton",21,83,1,62,16,0,183,392
35030,"Halton/Halton"," 26","Milton",14,102,3,49,39,1,208,456
35030,"Halton/Halton"," 27","Milton",29,136,5,86,29,1,286,506
35030,"Halton/Halton"," 28","Milton",15,114,0,53,14,1,197,365
35030,"Halton/Halton"," 29","Milton",26,85,3,44,32,0,190,356
35030,"Halton/Halton"," 30","Milton",23,96,5,59,47,2,232,462
35030,"Halton/Halton"," 31","Milton",15,111,1,68,22,1,218,380
35030,"Halton/Halton"," 32","Milton",34,161,2,122,63,2,384,791
35030,"Halton/Halton"," 33","Milton",17,106,1,129,29,1,283,472
35030,"Halton/Halton"," 34","Milton",31,117,1,87,31,0,267,489
35030,"Halton/Halton"," 35","Milton",13,116,0,77,17,0,223,401
35030,"Halton/Halton"," 36","Milton",15,71,1,51,22,1,161,301
35030,"Halton/Halton"," 37","Milton",14,118,0,61,18,2,213,368
35030,"Halton/Halton"," 38","Milton",20,95,0,89,16,1,221,432
35030,"Halton/Halton"," 39","Milton",11,83,1,62,12,0,169,310
35030,"Halton/Halton"," 40","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 41","Milton",26,111,0,62,33,0,232,415
35030,"Halton/Halton"," 42","Milton",19,111,0,92,32,2,256,446
35030,"Halton/Halton"," 43","Milton",24,65,0,45,30,1,165,352
35030,"Halton/Halton"," 44","Milton",18,78,2,34,32,1,165,406
35030,"Halton/Halton"," 45","Milton",30,83,4,42,26,0,185,372
35030,"Halton/Halton"," 46","Milton",23,143,1,129,42,1,339,596
35030,"Halton/Halton"," 47","Milton",25,110,0,91,17,0,243,419
35030,"Halton/Halton"," 48","Milton",18,157,2,67,20,2,266,446
35030,"Halton/Halton"," 49","Milton",18,131,0,69,26,0,244,409
35030,"Halton/Halton"," 50","Milton",16,69,1,52,17,3,158,325
35030,"Halton/Halton"," 51","Milton",14,76,4,62,23,0,179,384
35030,"Halton/Halton"," 52","Milton",12,57,1,41,20,1,132,311
35030,"Halton/Halton"," 53","Milton",15,115,1,89,21,0,241,418
35030,"Halton/Halton"," 54","Milton",22,187,0,87,28,0,324,516
35030,"Halton/Halton"," 55","Milton",23,119,1,84,36,0,263,465
35030,"Halton/Halton"," 56","Milton",28,152,3,111,26,0,320,497
35030,"Halton/Halton"," 57","Milton",23,136,1,87,31,0,278,470
35030,"Halton/Halton"," 58","Milton",7,93,2,81,6,0,189,314
35030,"Halton/Halton"," 58-1","Milton",13,108,0,83,16,1,221,414
35030,"Halton/Halton"," 59","Milton",31,139,4,92,31,1,298,509
35030,"Halton/Halton"," 60","Milton",11,90,0,53,19,0,173,338
35030,"Halton/Halton"," 61","Milton",15,83,1,55,19,0,173,310
35030,"Halton/Halton"," 62","Milton",22,125,2,92,43,1,285,575
35030,"Halton/Halton"," 63A","Milton",7,83,2,64,22,0,178,406
35030,"Halton/Halton"," 63B","Milton",13,75,0,66,19,1,174,404
35030,"Halton/Halton"," 63-1","Milton",14,81,0,71,25,3,194,431
35030,"Halton/Halton"," 63-2","Milton",16,137,5,110,13,0,281,591
35030,"Halton/Halton"," 63-3","Milton",10,68,0,40,11,0,129,298
35030,"Halton/Halton"," 63-4A","Milton",9,99,0,68,21,1,198,424
35030,"Halton/Halton"," 63-4B","Milton",7,69,0,59,18,3,156,403
35030,"Halton/Halton"," 64","Milton",9,59,1,46,21,0,136,324
35030,"Halton/Halton"," 65","Milton",24,125,2,92,33,2,278,520
35030,"Halton/Halton"," 66","Milton",17,118,3,90,27,0,255,458
35030,"Halton/Halton"," 67","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 68","Milton",17,121,2,89,30,1,260,582
35030,"Halton/Halton"," 69","Milton",13,67,2,43,15,0,140,311
35030,"Halton/Halton"," 70","Milton",19,99,5,74,20,0,217,421
35030,"Halton/Halton"," 71","Milton",22,80,1,63,12,0,178,391
35030,"Halton/Halton"," 72","Milton",11,92,0,81,26,2,212,374
35030,"Halton/Halton"," 73","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 74","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 75","Milton",9,83,1,70,13,0,176,355
35030,"Halton/Halton"," 76","Milton",9,88,3,55,9,0,164,319
35030,"Halton/Halton"," 77","Milton",2,106,0,68,5,0,181,386
35030,"Halton/Halton"," 78","Milton",15,82,0,75,20,0,192,381
35030,"Halton/Halton"," 79","Milton",Void/Supprimé,,,,,,,
35030,"Halton/Halton"," 80","Milton",9,128,1,90,20,2,250,347
35030,"Halton/Halton"," 81","Milton",16,121,2,89,17,0,245,320
35030,"Halton/Halton"," 82","Milton",Merged with No. 80/Fusionné avec le nº 80,,,,,,,140
35030,"Halton/Halton"," 83","Milton",Merged with No. 81/Fusionné avec le nº 81,,,,,,,247
