Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Szilvia Barna,John Cummins,Matthew Laine,Dana L. Miller,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59006,"Delta--Richmond East/Delta--Richmond-Est"," 21-1","Richmond",11,72,4,37,0,124,370
59006,"Delta--Richmond East/Delta--Richmond-Est"," 22","Richmond",22,74,4,37,1,138,336
59006,"Delta--Richmond East/Delta--Richmond-Est"," 23","Richmond",36,128,21,30,3,218,383
59006,"Delta--Richmond East/Delta--Richmond-Est"," 24","Richmond",45,103,13,59,0,220,442
59006,"Delta--Richmond East/Delta--Richmond-Est"," 25","Richmond",28,103,15,97,2,245,518
59006,"Delta--Richmond East/Delta--Richmond-Est"," 26","Richmond",30,100,9,69,2,210,417
59006,"Delta--Richmond East/Delta--Richmond-Est"," 26-1","Richmond",37,111,22,62,0,232,471
59006,"Delta--Richmond East/Delta--Richmond-Est"," 27","Richmond",27,90,7,40,3,167,324
59006,"Delta--Richmond East/Delta--Richmond-Est"," 27-1","Richmond",23,92,11,40,1,167,319
59006,"Delta--Richmond East/Delta--Richmond-Est"," 28","Richmond",27,97,2,45,0,171,349
59006,"Delta--Richmond East/Delta--Richmond-Est"," 28-1","Richmond",25,93,7,50,1,176,324
59006,"Delta--Richmond East/Delta--Richmond-Est"," 29A","Richmond",33,60,8,42,0,143,279
59006,"Delta--Richmond East/Delta--Richmond-Est"," 29B","Richmond",24,96,8,42,0,170,377
59006,"Delta--Richmond East/Delta--Richmond-Est"," 30A","Richmond",31,86,10,46,0,173,295
59006,"Delta--Richmond East/Delta--Richmond-Est"," 30B","Richmond",41,82,4,39,3,169,310
59006,"Delta--Richmond East/Delta--Richmond-Est"," 31","Richmond",32,128,23,65,0,248,496
59006,"Delta--Richmond East/Delta--Richmond-Est"," 32","Richmond",27,148,21,47,2,245,455
