Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dawn Black,Lewis C. Dahlby,Michelle Hassen,Yonah Martin,Marshall Smith,Roland Verrier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 1","Port Moody",61,0,37,108,17,0,2,225,489
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 2","Port Moody",124,1,26,76,25,1,0,253,444
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 3","Port Moody",120,0,42,107,20,0,0,289,498
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 4","Port Moody",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 5","Port Moody",103,0,36,85,21,1,0,246,372
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 6","Port Moody",118,1,18,102,28,0,0,267,441
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 7","Port Moody",77,1,26,61,20,0,2,187,332
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 8","Port Moody",94,0,15,92,11,0,1,213,353
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 9","Port Moody",100,3,27,136,14,2,0,282,385
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 10","Port Moody",91,3,40,108,21,0,0,263,371
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 11","Port Moody",107,0,16,111,12,0,0,246,347
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 12","Port Moody",118,1,30,95,32,1,0,277,458
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 13","Port Moody",85,0,24,96,10,1,0,216,447
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 14","Port Moody",107,4,25,72,20,1,0,229,482
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 15","Port Moody",97,2,25,63,19,1,0,207,372
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 16","Port Moody",84,5,34,70,21,0,3,217,364
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 17","Port Moody",60,1,18,51,18,2,1,151,264
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 18","Port Moody",131,2,29,66,19,0,0,247,548
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 19","Port Moody",121,0,43,94,24,1,1,284,566
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 19-1","Port Moody",16,0,2,5,5,0,0,28,54
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 19-2","Port Moody",105,1,82,128,41,1,1,359,608
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 19-3","Port Moody",46,1,29,52,14,0,0,142,260
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 20","Port Moody",83,4,43,112,34,0,0,276,468
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 21","Port Moody",69,0,19,80,17,0,1,186,315
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 21-1","Port Moody",63,0,28,105,14,2,1,213,356
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 22","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 23","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 24","Coquitlam",95,0,31,96,14,0,0,236,446
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 25","Coquitlam",67,1,30,78,7,4,0,187,385
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 26","Coquitlam",85,0,30,149,15,0,1,280,479
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 27","Coquitlam",84,0,23,99,13,0,1,220,420
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 28","Coquitlam",81,2,33,116,14,0,0,246,488
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 29","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 30","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 31","Coquitlam",94,1,30,68,20,0,0,213,375
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 32","Coquitlam",124,2,34,131,18,1,1,311,590
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 33","Coquitlam",120,2,40,82,28,0,3,275,590
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 34","Coquitlam",103,1,35,57,11,1,2,210,369
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 35","Coquitlam",57,1,22,99,17,0,1,197,343
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 36","Coquitlam",80,0,35,106,23,1,0,245,389
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 37","Coquitlam",96,1,40,156,40,0,1,334,534
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 38","Coquitlam",Void/Supprimé,,,,,,,,
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 39","Coquitlam",88,4,34,128,9,1,0,264,445
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 40","Coquitlam",57,4,29,159,15,1,0,265,459
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 41","Coquitlam",70,2,23,147,14,0,0,256,489
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 42","Coquitlam",38,1,34,140,16,0,1,230,432
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 43","Coquitlam",Merged with No. 116/Fusionné avec le nº 116,,,,,,,,123
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 44","Coquitlam",62,1,34,102,17,0,1,217,383
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 45","Coquitlam",81,1,30,119,22,1,0,254,410
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 46","Coquitlam",57,2,27,100,7,0,0,193,333
59017,"New Westminster--Coquitlam/New Westminster--Coquitlam"," 47","Coquitlam",94,3,29,130,16,0,1,273,474
