Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Gauthier,Michel Guimond,Jacques Legros,Guy-Léonard Tremblay,Jonathan Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 1","Colombier",5,56,0,10,2,0,73,128
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 2","Colombier",Void/Supprimé,,,,,,,
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 3","Colombier",14,121,4,18,8,1,166,343
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 4","Saint-Marc-de-Latour",7,55,0,11,1,0,74,156
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 5","Forestville",24,121,1,31,11,3,191,491
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 6","Forestville",24,80,1,24,10,2,141,323
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 7","Forestville",18,98,4,21,8,2,151,325
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 8","Forestville",18,80,3,27,3,3,134,399
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 9","Forestville",11,88,4,22,12,1,138,406
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 10","Forestville",18,116,3,24,4,4,169,432
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 11","Forestville",9,67,2,19,4,2,103,357
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 12","Sainte-Anne-de-Portneuf",8,59,2,11,7,2,89,199
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 13","Sainte-Anne-de-Portneuf",13,74,1,22,6,0,116,232
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 14","Sainte-Anne-de-Portneuf",15,59,1,24,2,2,103,234
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 15","Longue-Rive",18,90,2,13,3,2,128,240
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 16","Longue-Rive",5,41,0,16,2,0,64,164
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 17","Longue-Rive",6,79,0,18,6,1,110,274
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 18","Longue-Rive",9,92,1,15,3,1,121,344
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 19","Les Escoumins",13,88,1,27,9,0,138,310
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 20","Les Escoumins",12,69,4,24,2,0,111,267
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 21","Les Escoumins",15,60,4,26,5,2,112,266
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 22","Les Escoumins",5,75,1,25,4,0,110,307
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 23","Les Escoumins",12,46,2,13,6,0,79,178
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 24","Les Escoumins",21,127,3,48,24,1,224,451
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 25","Les Bergeronnes",22,97,3,14,5,2,143,268
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 26","Les Bergeronnes",20,88,1,20,10,1,140,268
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 27","Sacré-Coeur",31,121,3,29,14,3,201,361
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 28","Sacré-Coeur",26,64,6,20,8,2,126,279
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 29","Tadoussac",21,67,3,15,5,0,111,194
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 30","Tadoussac",31,151,13,35,28,1,259,472
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 31","Sacré-Coeur",24,108,5,46,11,3,197,421
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 32","Sacré-Coeur",39,132,2,43,9,0,225,425
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 33","Baie-Sainte-Catherine",14,91,5,9,0,0,119,197
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 34","Sagard",7,41,2,8,8,1,67,132
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 35","Baie-des-Rochers",6,44,2,8,1,0,61,151
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 36","Saint-Siméon",20,59,1,15,6,1,102,287
24014,"Montmorency--Charlevoix--Haute-Côte-Nord/Montmorency--Charlevoix--Haute-Côte-Nord"," 37","Saint-Siméon",21,30,2,14,4,1,72,200
