Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Trevor Ennis,Rakesh Khosla,Tamara Lorincz,Michael Munday,Geoff Regan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax West/Halifax-Ouest"," 1A","Pockwock",4,35,42,7,50,2,140,269
12005,"Halifax West/Halifax-Ouest"," 1B","Pockwock",5,32,28,6,56,0,127,298
12005,"Halifax West/Halifax-Ouest"," 2A","Lucasville",3,40,51,6,64,0,164,315
12005,"Halifax West/Halifax-Ouest"," 2B","Lucasville",1,39,56,11,43,0,150,273
12005,"Halifax West/Halifax-Ouest"," 2-1","Halifax",0,85,22,12,96,1,216,374
12005,"Halifax West/Halifax-Ouest"," 2-2","Halifax",1,80,46,30,87,0,244,472
12005,"Halifax West/Halifax-Ouest"," 3","Lucasville",6,38,136,8,42,0,230,399
12005,"Halifax West/Halifax-Ouest"," 4","Halifax",1,44,51,18,74,2,190,285
12005,"Halifax West/Halifax-Ouest"," 5","Upper Hammonds Plains",2,46,101,22,97,0,268,502
12005,"Halifax West/Halifax-Ouest"," 6","Highland Park",1,43,68,21,80,0,213,439
12005,"Halifax West/Halifax-Ouest"," 7","Hammond Plains",1,66,63,12,71,0,213,503
12005,"Halifax West/Halifax-Ouest"," 8","Highland Park",1,50,53,15,67,0,186,293
12005,"Halifax West/Halifax-Ouest"," 9A","Highland Park",3,53,36,15,73,1,181,314
12005,"Halifax West/Halifax-Ouest"," 9B","Highland Park",1,59,40,8,74,1,183,306
12005,"Halifax West/Halifax-Ouest"," 10","Highland Park",0,81,19,16,107,1,224,370
12005,"Halifax West/Halifax-Ouest"," 11A","Highland Park",0,52,34,11,54,0,151,265
12005,"Halifax West/Halifax-Ouest"," 11B","Highland Park",0,36,27,9,74,1,147,260
12005,"Halifax West/Halifax-Ouest"," 12","Highland Park",3,60,70,13,98,0,244,420
12005,"Halifax West/Halifax-Ouest"," 13","Highland Park",0,60,97,24,82,1,264,452
12005,"Halifax West/Halifax-Ouest"," 14","Halifax",1,54,88,23,97,0,263,444
12005,"Halifax West/Halifax-Ouest"," 15","Stillwater Lake",0,71,65,16,80,0,232,386
12005,"Halifax West/Halifax-Ouest"," 15-1","Halifax",2,54,94,29,107,2,288,471
12005,"Halifax West/Halifax-Ouest"," 15-2","Halifax",0,49,51,25,90,0,215,372
12005,"Halifax West/Halifax-Ouest"," 16","Halifax",0,54,73,9,71,0,207,344
12005,"Halifax West/Halifax-Ouest"," 17A","Halifax",3,39,33,15,63,2,155,265
12005,"Halifax West/Halifax-Ouest"," 17B","Halifax",0,38,42,6,71,0,157,283
12005,"Halifax West/Halifax-Ouest"," 18","Halifax",1,75,37,22,124,0,259,395
12005,"Halifax West/Halifax-Ouest"," 19","Halifax",1,22,37,11,32,0,103,204
12005,"Halifax West/Halifax-Ouest"," 20A","Halifax",3,53,31,19,98,2,206,300
