Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bachynsky,Taras Natyshak,Jeff Watson,Susan Whelan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35021,"Essex/Essex"," 1","Lakeshore",6,11,92,56,0,165,319
35021,"Essex/Essex"," 1-1","Lakeshore",1,14,63,34,0,112,246
35021,"Essex/Essex"," 2","Lakeshore",10,23,76,45,0,154,319
35021,"Essex/Essex"," 3","Lakeshore",10,19,109,56,0,194,343
35021,"Essex/Essex"," 3-1","Lakeshore",5,27,103,56,1,192,381
35021,"Essex/Essex"," 4","Lakeshore",4,39,100,55,0,198,400
35021,"Essex/Essex"," 4-1","Lakeshore",3,25,52,49,2,131,273
35021,"Essex/Essex"," 5","Lakeshore",19,59,109,65,3,255,506
35021,"Essex/Essex"," 6","Lakeshore",3,44,116,39,0,202,363
35021,"Essex/Essex"," 6-1","Maidstone",9,95,49,47,2,202,358
35021,"Essex/Essex"," 7","Lakeshore",10,59,62,49,0,180,365
35021,"Essex/Essex"," 8A","Lakeshore",9,60,75,43,4,191,387
35021,"Essex/Essex"," 8B","Lakeshore",17,58,82,43,0,200,426
35021,"Essex/Essex"," 8-1","Lakeshore",14,34,123,47,0,218,465
35021,"Essex/Essex"," 8-2","Lakeshore",10,68,41,32,1,152,289
35021,"Essex/Essex"," 9","Lakeshore",7,104,89,39,0,239,505
35021,"Essex/Essex"," 9-1","Lakeshore",5,38,51,10,0,104,244
35021,"Essex/Essex"," 9-2","Lakeshore",6,62,67,40,0,175,422
35021,"Essex/Essex"," 10","Lakeshore",12,58,39,19,1,129,320
35021,"Essex/Essex"," 11","Lakeshore",7,92,105,53,0,257,507
35021,"Essex/Essex"," 12","Lakeshore",12,69,69,80,0,230,468
35021,"Essex/Essex"," 12-1","Lakeshore",5,99,78,57,0,239,490
35021,"Essex/Essex"," 13","Lakeshore",6,74,48,24,0,152,304
35021,"Essex/Essex"," 14","Lakeshore",10,64,65,38,1,178,353
35021,"Essex/Essex"," 15","Lakeshore",8,57,64,32,3,164,416
35021,"Essex/Essex"," 16","Lakeshore",11,79,56,41,0,187,400
35021,"Essex/Essex"," 17","Lakeshore",9,79,30,43,1,162,323
35021,"Essex/Essex"," 18","Lakeshore",7,107,65,56,2,237,465
35021,"Essex/Essex"," 18-1","Lakeshore",0,28,29,9,0,66,151
35021,"Essex/Essex"," 19","Lakeshore",12,125,85,59,1,282,532
35021,"Essex/Essex"," 20","Lakeshore",6,101,68,67,0,242,439
35021,"Essex/Essex"," 20-1","Lakeshore",6,80,72,37,1,196,364
35021,"Essex/Essex"," 21","Lakeshore",3,68,29,22,2,124,254
35021,"Essex/Essex"," 22A","Lakeshore",12,30,66,30,1,139,288
35021,"Essex/Essex"," 22B","Lakeshore",7,22,57,52,1,139,285
35021,"Essex/Essex"," 22-1A","Lakeshore",9,34,75,44,2,164,363
35021,"Essex/Essex"," 22-1B","Lakeshore",6,25,55,52,0,138,314
35021,"Essex/Essex"," 23A","Lakeshore",3,40,43,30,0,116,261
35021,"Essex/Essex"," 23B","Lakeshore",6,32,48,46,1,133,293
35021,"Essex/Essex"," 24","Lakeshore",5,41,33,32,1,112,295
35021,"Essex/Essex"," 25","Lakeshore",7,93,124,66,1,291,458
35021,"Essex/Essex"," 26","Lakeshore",5,72,81,81,3,242,454
35021,"Essex/Essex"," 27","Lakeshore",16,62,102,56,1,237,425
35021,"Essex/Essex"," 28","Lakeshore",3,56,79,56,1,195,275
35021,"Essex/Essex"," 29","Lakeshore",3,47,62,43,2,157,324
35021,"Essex/Essex"," 30","Lakeshore",7,46,51,55,0,159,327
35021,"Essex/Essex"," 30-1","Lakeshore",8,47,37,22,0,114,287
35021,"Essex/Essex"," 31A","Lakeshore",11,45,61,36,0,153,315
35021,"Essex/Essex"," 31B","Lakeshore",7,46,55,56,0,164,290
35021,"Essex/Essex"," 32","Lakeshore",11,74,84,68,0,237,512
35021,"Essex/Essex"," 33","Lakeshore",5,98,54,50,0,207,417
35021,"Essex/Essex"," 34","Lakeshore",10,102,94,70,0,276,510
35021,"Essex/Essex"," 35","Lakeshore",10,78,131,101,0,320,539
35021,"Essex/Essex"," 36","Lakeshore",11,31,51,61,1,155,341
35021,"Essex/Essex"," 37","Lakeshore",1,47,56,65,3,172,337
35021,"Essex/Essex"," 38","Lakeshore",7,52,57,46,0,162,331
35021,"Essex/Essex"," 39","Lakeshore",14,73,44,44,1,176,380
35021,"Essex/Essex"," 40","Lakeshore",6,45,57,24,0,132,241
35021,"Essex/Essex"," 41","Lakeshore",4,55,39,78,1,177,303
35021,"Essex/Essex"," 42","Lakeshore",7,41,62,50,1,161,295
35021,"Essex/Essex"," 43","Lakeshore",13,64,99,66,1,243,444
35021,"Essex/Essex"," 44","Lakeshore",5,46,79,39,1,170,290
35021,"Essex/Essex"," 45","Lakeshore",7,70,71,58,0,206,346
35021,"Essex/Essex"," 46","Lakeshore",13,38,90,52,0,193,382
35021,"Essex/Essex"," 47","LaSalle",8,84,52,26,1,171,396
35021,"Essex/Essex"," 48","LaSalle",5,70,66,43,0,184,370
35021,"Essex/Essex"," 49","LaSalle",24,81,81,61,1,248,483
35021,"Essex/Essex"," 50","LaSalle",7,43,59,53,0,162,383
35021,"Essex/Essex"," 51","LaSalle",12,78,86,53,0,229,490
35021,"Essex/Essex"," 52","LaSalle",19,61,99,67,0,246,528
35021,"Essex/Essex"," 53","LaSalle",10,59,66,53,0,188,391
35021,"Essex/Essex"," 54","LaSalle",7,58,77,37,3,182,410
35021,"Essex/Essex"," 55","LaSalle",11,55,75,62,0,203,399
35021,"Essex/Essex"," 56","LaSalle",3,58,65,56,0,182,362
35021,"Essex/Essex"," 57","LaSalle",14,67,82,59,0,222,437
35021,"Essex/Essex"," 58","LaSalle",6,56,91,73,1,227,469
35021,"Essex/Essex"," 59","LaSalle",14,76,65,76,2,233,460
