Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nancy Charest,Julie Demers,Louis Drainville,Jérôme Landry,Liliane Potvin,Jean-Yves Roy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 1A","Sainte-Luce",21,12,3,22,0,75,0,133,230
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 1B","Sainte-Luce",24,9,9,35,0,79,0,156,252
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 2","Sainte-Luce",50,25,8,42,2,131,0,258,443
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 3","Sainte-Luce",33,10,12,29,1,85,2,172,351
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 4","Sainte-Luce",29,4,7,29,2,76,2,149,297
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 5","Sainte-Luce",39,16,7,30,0,81,0,173,377
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 6","Sainte-Luce",40,3,10,37,1,77,2,170,353
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 7","Saint-Donat",48,17,27,39,0,100,4,235,419
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 8","Saint-Donat",37,11,9,26,0,78,0,161,268
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 9A","Mont-Joli",24,3,3,26,1,45,0,102,232
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 9B","Mont-Joli",49,8,4,19,1,56,3,140,282
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 10","Mont-Joli",68,12,9,38,2,54,6,189,452
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 11","Mont-Joli",67,20,25,35,1,89,0,237,521
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 12","Mont-Joli",45,17,4,12,0,63,2,143,273
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 13","Mont-Joli",31,6,7,21,3,43,2,113,279
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 14","Mont-Joli",29,9,7,22,1,60,0,128,278
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 15","Mont-Joli",45,9,6,30,1,64,2,157,313
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 16","Mont-Joli",10,7,3,19,0,33,0,72,284
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 17A","Mont-Joli",25,6,13,28,1,52,2,127,300
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 17B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,39
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 18","Mont-Joli",21,1,10,17,0,43,1,93,235
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 19","Mont-Joli",40,7,6,43,1,52,1,150,355
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 20","Mont-Joli",50,9,2,18,1,64,0,144,349
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 21","Mont-Joli",28,9,11,30,1,69,1,149,390
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 22","Saint-Jean Baptiste",47,13,17,24,1,88,4,194,451
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 23","Sainte-Flavie",62,18,11,37,3,104,1,236,405
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 24","Sainte-Flavie",51,15,7,44,3,86,2,208,360
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 25","Grand-Métis",16,9,6,16,3,26,2,78,185
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 26","Price",34,6,8,32,3,87,0,170,388
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 27","Price",25,6,4,14,1,45,0,95,195
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 28","Price",26,13,7,23,1,57,3,130,283
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 29","Price",21,3,2,30,1,50,1,108,254
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 30","Price",21,5,2,23,2,49,2,104,261
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 31","Saint-Joseph-de-Lepage",48,24,59,37,0,81,0,249,446
24041,"Haute-Gaspésie--La Mitis--Matane--Matapédia/Haute-Gaspésie--La Mitis--Matane--Matapédia"," 32","Saint-Octave-de-Métis",47,22,10,21,6,97,3,206,397
