Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Josée Beaudin,Patrick Clune,Diane Joubert,Richard Marois,Roxane Stanners,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24065,"Saint-Lambert/Saint-Lambert"," 1","Longueuil",41,13,3,8,16,0,81,237
24065,"Saint-Lambert/Saint-Lambert"," 1-1","Longueuil",44,30,4,30,35,1,144,375
24065,"Saint-Lambert/Saint-Lambert"," 2","Longueuil",63,34,8,28,45,2,180,475
24065,"Saint-Lambert/Saint-Lambert"," 3","Longueuil",77,20,10,25,49,1,182,319
24065,"Saint-Lambert/Saint-Lambert"," 3-1","Longueuil",34,21,0,13,38,0,106,227
24065,"Saint-Lambert/Saint-Lambert"," 4","Longueuil",96,26,5,32,44,1,204,346
24065,"Saint-Lambert/Saint-Lambert"," 5","Longueuil",120,6,9,28,32,1,196,395
24065,"Saint-Lambert/Saint-Lambert"," 6","Longueuil",88,24,8,27,24,0,171,434
24065,"Saint-Lambert/Saint-Lambert"," 7","Longueuil",56,16,7,24,27,0,130,289
24065,"Saint-Lambert/Saint-Lambert"," 8","Longueuil",76,21,6,24,13,1,141,357
24065,"Saint-Lambert/Saint-Lambert"," 9","Longueuil",75,9,10,26,19,0,139,287
24065,"Saint-Lambert/Saint-Lambert"," 10","Longueuil",81,12,5,20,26,3,147,315
24065,"Saint-Lambert/Saint-Lambert"," 11","Longueuil",60,47,7,24,61,1,200,476
24065,"Saint-Lambert/Saint-Lambert"," 12","Longueuil",42,33,9,26,38,1,149,479
24065,"Saint-Lambert/Saint-Lambert"," 13","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 14","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 15","Longueuil",Void/Supprimé,,,,,,,
24065,"Saint-Lambert/Saint-Lambert"," 16","Longueuil",48,16,4,30,17,2,117,240
24065,"Saint-Lambert/Saint-Lambert"," 17A","Longueuil",89,26,11,40,28,1,195,386
24065,"Saint-Lambert/Saint-Lambert"," 17B","Mobile poll/Bureau itinérant",Merged with No. 17C/Fusionné avec le nº 17C,,,,,,,75
24065,"Saint-Lambert/Saint-Lambert"," 17C","Mobile poll/Bureau itinérant",17,19,5,5,30,2,78,81
24065,"Saint-Lambert/Saint-Lambert"," 18","Longueuil",109,20,10,44,36,3,222,406
24065,"Saint-Lambert/Saint-Lambert"," 19","Longueuil",87,20,16,44,46,1,214,430
24065,"Saint-Lambert/Saint-Lambert"," 20","Longueuil",131,22,3,47,46,2,251,496
24065,"Saint-Lambert/Saint-Lambert"," 21","Longueuil",45,11,2,25,26,5,114,251
24065,"Saint-Lambert/Saint-Lambert"," 22","Longueuil",72,26,4,37,37,0,176,399
24065,"Saint-Lambert/Saint-Lambert"," 23","Longueuil",76,20,4,21,33,3,157,354
24065,"Saint-Lambert/Saint-Lambert"," 24","Longueuil",61,11,1,34,8,3,118,298
24065,"Saint-Lambert/Saint-Lambert"," 25","Longueuil",104,30,5,32,34,3,208,430
24065,"Saint-Lambert/Saint-Lambert"," 26","Longueuil",68,19,5,39,16,5,152,329
24065,"Saint-Lambert/Saint-Lambert"," 27","Longueuil",89,23,4,25,34,2,177,401
24065,"Saint-Lambert/Saint-Lambert"," 28","Longueuil",103,25,6,35,30,1,200,438
24065,"Saint-Lambert/Saint-Lambert"," 29","Longueuil",81,20,3,21,33,1,159,377
24065,"Saint-Lambert/Saint-Lambert"," 30","Longueuil",75,19,1,20,22,1,138,284
24065,"Saint-Lambert/Saint-Lambert"," 31","Longueuil",105,16,5,26,19,5,176,420
24065,"Saint-Lambert/Saint-Lambert"," 32","Longueuil",81,23,4,25,31,6,170,422
24065,"Saint-Lambert/Saint-Lambert"," 33","Longueuil",105,23,2,29,27,5,191,398
24065,"Saint-Lambert/Saint-Lambert"," 34","Longueuil",82,13,7,44,50,2,198,443
24065,"Saint-Lambert/Saint-Lambert"," 35","Longueuil",79,27,5,45,43,5,204,391
24065,"Saint-Lambert/Saint-Lambert"," 36","Longueuil",84,19,1,31,38,3,176,388
24065,"Saint-Lambert/Saint-Lambert"," 37","Longueuil",74,18,7,35,28,4,166,379
24065,"Saint-Lambert/Saint-Lambert"," 38","Longueuil",70,20,4,23,32,4,153,378
24065,"Saint-Lambert/Saint-Lambert"," 39","Longueuil",74,20,3,23,24,1,145,346
24065,"Saint-Lambert/Saint-Lambert"," 40","Longueuil",92,23,10,36,23,2,186,437
24065,"Saint-Lambert/Saint-Lambert"," 41","Longueuil",75,17,9,49,37,5,192,479
24065,"Saint-Lambert/Saint-Lambert"," 42","Longueuil",64,24,3,21,19,3,134,349
24065,"Saint-Lambert/Saint-Lambert"," 43","Longueuil",75,21,10,28,23,3,160,338
24065,"Saint-Lambert/Saint-Lambert"," 44","Longueuil",88,21,6,27,16,2,160,393
24065,"Saint-Lambert/Saint-Lambert"," 45","Longueuil",62,13,4,26,17,1,123,322
24065,"Saint-Lambert/Saint-Lambert"," 46","Longueuil",57,17,5,20,29,3,131,359
24065,"Saint-Lambert/Saint-Lambert"," 47","Longueuil",83,13,8,18,21,10,153,405
24065,"Saint-Lambert/Saint-Lambert"," 48","Longueuil",85,22,2,29,21,5,164,350
24065,"Saint-Lambert/Saint-Lambert"," 49","Longueuil",94,18,14,34,28,9,197,428
24065,"Saint-Lambert/Saint-Lambert"," 50","Longueuil",85,25,5,28,34,0,177,400
24065,"Saint-Lambert/Saint-Lambert"," 51","Longueuil",109,18,15,44,34,3,223,455
24065,"Saint-Lambert/Saint-Lambert"," 52","Longueuil",78,12,5,22,18,3,138,416
24065,"Saint-Lambert/Saint-Lambert"," 53","Longueuil",44,14,1,12,15,0,86,284
24065,"Saint-Lambert/Saint-Lambert"," 54","Longueuil",77,10,5,29,20,0,141,403
24065,"Saint-Lambert/Saint-Lambert"," 55","Longueuil",72,15,3,26,29,1,146,392
24065,"Saint-Lambert/Saint-Lambert"," 56","Longueuil",83,18,5,22,29,5,162,377
24065,"Saint-Lambert/Saint-Lambert"," 57","Longueuil",54,4,8,24,20,3,113,372
24065,"Saint-Lambert/Saint-Lambert"," 58","Longueuil",93,10,5,35,21,4,168,402
24065,"Saint-Lambert/Saint-Lambert"," 59","Longueuil",91,26,1,24,20,1,163,401
24065,"Saint-Lambert/Saint-Lambert"," 60","Longueuil",79,20,5,31,50,4,189,440
24065,"Saint-Lambert/Saint-Lambert"," 61","Longueuil",89,11,6,24,30,0,160,360
24065,"Saint-Lambert/Saint-Lambert"," 62","Longueuil",67,25,6,17,23,2,140,288
24065,"Saint-Lambert/Saint-Lambert"," 63","Longueuil",63,20,4,27,26,0,140,331
24065,"Saint-Lambert/Saint-Lambert"," 64","Longueuil",84,11,4,26,35,0,160,350
24065,"Saint-Lambert/Saint-Lambert"," 65","Longueuil",73,22,5,25,27,3,155,356
24065,"Saint-Lambert/Saint-Lambert"," 66","Longueuil",108,29,4,33,33,4,211,447
24065,"Saint-Lambert/Saint-Lambert"," 66-1","Longueuil",39,11,4,8,11,1,74,142
24065,"Saint-Lambert/Saint-Lambert"," 67","Longueuil",50,15,5,14,24,3,111,308
24065,"Saint-Lambert/Saint-Lambert"," 68","Longueuil",65,31,3,31,49,1,180,339
24065,"Saint-Lambert/Saint-Lambert"," 69","Longueuil",70,28,4,31,39,3,175,363
24065,"Saint-Lambert/Saint-Lambert"," 70","Longueuil",49,14,1,9,10,1,84,268
24065,"Saint-Lambert/Saint-Lambert"," 71","Longueuil",87,20,6,17,33,4,167,477
24065,"Saint-Lambert/Saint-Lambert"," 72","Longueuil",65,21,7,35,31,4,163,413
24065,"Saint-Lambert/Saint-Lambert"," 73","Longueuil",86,20,2,19,37,4,168,345
24065,"Saint-Lambert/Saint-Lambert"," 74","Longueuil",91,25,4,31,21,3,175,383
24065,"Saint-Lambert/Saint-Lambert"," 75","Longueuil",97,27,5,25,47,1,202,410
24065,"Saint-Lambert/Saint-Lambert"," 76","Longueuil",107,25,8,31,49,4,224,368
