Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Dianne Musgrove,Lorraine Rekmans,Brent St. Denis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 29A","Hearst",60,9,1,70,1,141,293
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 29B","Hearst",62,12,5,67,0,146,299
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 30","Lac-Ste-Thérèse",60,2,0,54,0,116,270
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 31","Mattice",75,7,5,45,0,132,251
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 32","Jogues",72,10,4,53,0,139,310
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 32-1","Hearst",44,12,4,71,1,132,223
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 33","Mattice",95,6,5,65,1,172,303
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 34","Opasatika",63,6,3,38,2,112,210
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 35","Harty",17,11,1,17,0,46,109
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 36","Val Rita",119,22,2,53,2,198,376
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 37","Kapuskasing",52,14,9,16,0,91,229
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 38","Kapuskasing",59,33,2,44,2,140,269
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 39","Kapuskasing",87,13,5,37,0,142,277
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 40","Kapuskasing",66,25,5,64,0,160,343
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 41","Kapuskasing",76,17,3,54,2,152,268
