Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tunya Audain,Don Bell,Michael Charrois,Andrew Saxton,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59019,"North Vancouver/North Vancouver"," 1","North Vancouver",1,117,16,110,21,0,265,474
59019,"North Vancouver/North Vancouver"," 2","North Vancouver",0,99,5,106,15,0,225,432
59019,"North Vancouver/North Vancouver"," 3","North Vancouver",1,99,9,151,20,0,280,388
59019,"North Vancouver/North Vancouver"," 4","North Vancouver",0,78,5,135,15,0,233,379
59019,"North Vancouver/North Vancouver"," 5","North Vancouver",2,104,10,126,15,0,257,399
59019,"North Vancouver/North Vancouver"," 6","North Vancouver",2,86,12,131,27,0,258,461
59019,"North Vancouver/North Vancouver"," 7","North Vancouver",1,118,9,115,27,0,270,431
59019,"North Vancouver/North Vancouver"," 8","North Vancouver",0,62,1,102,16,0,181,370
59019,"North Vancouver/North Vancouver"," 9","North Vancouver",1,105,7,134,22,0,269,425
59019,"North Vancouver/North Vancouver"," 10","North Vancouver",0,89,15,137,14,0,255,371
59019,"North Vancouver/North Vancouver"," 11","North Vancouver",0,89,6,153,20,1,269,394
59019,"North Vancouver/North Vancouver"," 12","North Vancouver",0,81,13,119,21,0,234,366
59019,"North Vancouver/North Vancouver"," 13","North Vancouver",0,80,10,89,25,0,204,373
59019,"North Vancouver/North Vancouver"," 14","North Vancouver",0,73,10,86,22,0,191,372
59019,"North Vancouver/North Vancouver"," 15","North Vancouver",0,103,8,127,23,1,262,457
59019,"North Vancouver/North Vancouver"," 16","North Vancouver",0,93,8,135,11,0,247,387
59019,"North Vancouver/North Vancouver"," 17","North Vancouver",1,94,10,135,29,1,270,399
59019,"North Vancouver/North Vancouver"," 18","North Vancouver",0,86,10,120,20,0,236,368
59019,"North Vancouver/North Vancouver"," 19","North Vancouver",1,108,6,120,28,1,264,376
59019,"North Vancouver/North Vancouver"," 20","North Vancouver",1,105,8,124,23,0,261,397
59019,"North Vancouver/North Vancouver"," 21","North Vancouver",1,104,5,112,31,1,254,392
59019,"North Vancouver/North Vancouver"," 22","North Vancouver",1,104,14,150,24,0,293,443
59019,"North Vancouver/North Vancouver"," 23","North Vancouver",0,100,9,130,24,0,263,409
59019,"North Vancouver/North Vancouver"," 24","North Vancouver",0,93,16,128,15,1,253,398
59019,"North Vancouver/North Vancouver"," 25","North Vancouver",3,99,15,100,30,0,247,398
59019,"North Vancouver/North Vancouver"," 26","North Vancouver",0,99,8,125,30,0,262,451
59019,"North Vancouver/North Vancouver"," 27","North Vancouver",3,112,14,110,15,0,254,425
59019,"North Vancouver/North Vancouver"," 28","North Vancouver",0,120,11,127,36,0,294,482
59019,"North Vancouver/North Vancouver"," 29","North Vancouver",3,109,29,129,31,0,301,464
59019,"North Vancouver/North Vancouver"," 30","North Vancouver",0,133,13,126,28,0,300,464
59019,"North Vancouver/North Vancouver"," 31","North Vancouver",0,96,11,123,13,0,243,407
59019,"North Vancouver/North Vancouver"," 32","North Vancouver",1,68,9,78,14,0,170,314
59019,"North Vancouver/North Vancouver"," 33","North Vancouver",1,132,8,134,32,0,307,457
59019,"North Vancouver/North Vancouver"," 34","North Vancouver",0,102,13,123,23,0,261,443
59019,"North Vancouver/North Vancouver"," 35","North Vancouver",0,103,13,120,26,0,262,416
59019,"North Vancouver/North Vancouver"," 36","North Vancouver",0,154,18,113,18,1,304,492
59019,"North Vancouver/North Vancouver"," 37","North Vancouver",0,114,11,94,24,0,243,435
59019,"North Vancouver/North Vancouver"," 38","North Vancouver",2,104,19,85,16,1,227,448
59019,"North Vancouver/North Vancouver"," 39","North Vancouver",1,90,29,118,21,1,260,442
59019,"North Vancouver/North Vancouver"," 40","North Vancouver",1,88,29,90,28,1,237,366
59019,"North Vancouver/North Vancouver"," 41","North Vancouver",1,91,27,88,18,0,225,382
59019,"North Vancouver/North Vancouver"," 42","North Vancouver",0,80,19,132,31,0,262,400
59019,"North Vancouver/North Vancouver"," 43","North Vancouver",0,91,7,110,30,0,238,371
59019,"North Vancouver/North Vancouver"," 44","North Vancouver",0,98,26,84,29,0,237,357
59019,"North Vancouver/North Vancouver"," 45","North Vancouver",0,66,14,103,19,0,202,341
59019,"North Vancouver/North Vancouver"," 46","North Vancouver",0,124,13,102,32,0,271,435
59019,"North Vancouver/North Vancouver"," 47","North Vancouver",1,72,12,117,26,0,228,414
59019,"North Vancouver/North Vancouver"," 48","North Vancouver",3,111,34,130,27,0,305,483
59019,"North Vancouver/North Vancouver"," 49","North Vancouver",2,94,19,113,27,0,255,433
59019,"North Vancouver/North Vancouver"," 50","North Vancouver",0,91,14,130,17,1,253,362
59019,"North Vancouver/North Vancouver"," 51","North Vancouver",0,124,19,124,33,2,302,416
59019,"North Vancouver/North Vancouver"," 52","North Vancouver",0,79,23,128,23,1,254,379
59019,"North Vancouver/North Vancouver"," 53","North Vancouver",1,116,31,122,30,1,301,438
