Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Jamie McGarvey,David Rowland,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 40","Novar",16,116,21,57,4,1,215,362
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41A","Sand Lake",28,69,18,40,0,0,155,287
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41B","Sand Lake",27,80,14,30,0,0,151,286
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 42","Carling",19,123,35,70,4,0,251,445
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 43","Carling",11,126,24,76,4,1,242,469
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 44","McDougall",11,139,34,65,3,0,252,446
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 45","McDougall",35,107,25,65,6,1,239,432
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 46","McDougall",11,110,19,30,2,0,172,274
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 47","McDougall",13,112,30,52,3,1,211,438
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48A","McDougall",Merged with No. 49A/Fusionné avec le nº 49A,,,,,,,58
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48B","McDougall",Merged with No. 49B/Fusionné avec le nº 49B,,,,,,,51
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49A","McDougall",18,56,18,39,0,1,132,189
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49B","McDougall",13,65,15,30,1,0,124,176
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 50","McKellar",18,102,27,81,1,1,230,340
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 51","McKellar",26,151,29,54,3,1,264,489
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 52","Parry Sound",17,61,20,42,2,0,142,325
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 53","Parry Sound",21,82,30,63,1,0,197,425
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 54","Parry Sound",19,65,29,49,1,1,164,335
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 55","Parry Sound",12,84,18,49,0,0,163,393
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 56A","Parry Sound",16,55,14,30,0,0,115,261
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 56B","Parry Sound",21,54,14,30,1,1,121,270
35069,"Parry Sound--Muskoka/Parry Sound--Muskoka"," 57","Parry Sound",14,46,4,31,0,0,95,272
