Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Tony Hajj,Anoush Newman,Stephanie Sundberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 1","Calgary",140,15,25,21,0,201,461
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 2","Calgary",194,16,22,22,5,259,533
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 3","Calgary",165,30,48,15,0,258,480
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 4","Calgary",215,17,35,27,0,294,559
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 5","Calgary",136,17,27,13,0,193,434
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 6","Calgary",156,17,25,15,1,214,387
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 7","Calgary",192,19,15,17,0,243,464
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 8","Calgary",145,37,30,16,0,228,437
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 9","Calgary",128,14,23,13,2,180,374
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 10","Calgary",149,47,18,25,0,239,467
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 11","Calgary",175,19,39,26,0,259,493
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 12","Calgary",197,13,21,15,0,246,481
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 13","Calgary",176,28,28,23,1,256,545
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 14","Calgary",148,16,19,17,0,200,482
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 15","Calgary",151,18,21,18,2,210,549
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 16A","Calgary",79,7,23,16,1,126,250
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 16B","Calgary",79,5,9,8,0,101,284
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 17","Calgary",162,22,23,23,1,231,547
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 18","Calgary",158,24,22,15,0,219,463
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 19","Calgary",223,21,27,21,2,294,619
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 20","Calgary",225,20,29,14,0,288,615
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 21","Calgary",181,16,36,18,2,253,510
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 22","Calgary",115,7,15,10,0,147,350
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 23","Calgary",158,19,28,11,0,216,448
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 24","Calgary",164,20,46,16,0,246,537
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 25","Calgary",105,27,28,19,0,179,371
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 26","Calgary",205,20,35,22,0,282,498
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 27","Calgary",189,31,36,33,0,289,510
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 28","Calgary",157,24,31,18,0,230,446
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 29","Calgary",268,14,13,32,1,328,487
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 30","Calgary",196,21,41,10,3,271,518
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 31","Calgary",213,20,20,11,0,264,514
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 32","Calgary",181,20,30,16,0,247,497
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 33","Calgary",228,21,22,21,0,292,556
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 34","Calgary",240,22,38,17,0,317,577
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 35","Calgary",220,20,38,23,0,301,614
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 36","Calgary",204,23,34,13,0,274,532
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 37","Calgary",194,30,26,17,0,267,535
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 38","Calgary",152,20,25,23,2,222,438
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 39","Calgary",135,23,33,26,1,218,480
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 40","Calgary",110,18,31,19,0,178,397
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 41","Calgary",212,24,32,29,0,297,562
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 42","Calgary",183,23,32,13,1,252,503
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 43","Calgary",202,21,32,29,2,286,482
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 44","Calgary",178,19,32,16,0,245,469
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 45","Calgary",160,14,29,28,1,232,454
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 46","Calgary",138,24,44,23,0,229,469
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 47","Calgary",197,19,38,20,0,274,498
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 48","Calgary",141,16,17,16,1,191,383
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 49","Calgary",220,15,27,21,0,283,634
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 50","Calgary",108,11,6,9,0,134,257
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 51","Calgary",197,7,24,16,1,245,563
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 52","Calgary",121,6,34,8,0,169,458
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 53","Calgary",146,15,52,14,0,227,559
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 54","Calgary",81,13,18,5,1,118,336
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 55","Calgary",108,13,31,16,0,168,491
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 56A","Calgary",75,3,34,9,1,122,304
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 56B","Calgary",85,14,37,9,0,145,395
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 57","Calgary",65,3,18,7,0,93,236
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 58","Calgary",130,13,42,6,0,191,437
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 59","Calgary",98,10,36,14,0,158,449
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 60","Calgary",162,8,33,17,0,220,513
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 61","Calgary",151,7,34,9,1,202,535
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 62","Calgary",156,12,28,14,2,212,439
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 63","Calgary",181,23,36,23,1,264,500
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 64","Calgary",117,10,23,10,0,160,291
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 65","Calgary",149,36,45,22,1,253,538
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 66","Calgary",178,28,45,13,0,264,475
48005,"Calgary--Nose Hill/Calgary--Nose Hill"," 67","Calgary",125,24,23,12,1,185,340
