Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Melissa Brade,Mohamed El-Rafih,Ken Kuzminski,Rob Merrifield,Monika Schaefer,John M. Wierenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48028,"Yellowhead/Yellowhead"," 1","Grande Cache",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 2","Grande Cache",0,7,18,116,10,2,0,153,371
48028,"Yellowhead/Yellowhead"," 3","Grande Cache",1,6,17,63,13,1,0,101,246
48028,"Yellowhead/Yellowhead"," 4","Grande Cache",3,8,30,85,17,0,0,143,337
48028,"Yellowhead/Yellowhead"," 5","Grande Cache",1,4,23,66,12,2,1,109,266
48028,"Yellowhead/Yellowhead"," 6","Grande Cache",3,4,29,55,14,0,2,107,273
48028,"Yellowhead/Yellowhead"," 7A","Grande Cache",4,7,15,46,7,1,0,80,298
48028,"Yellowhead/Yellowhead"," 7B","Grande Cache",1,9,18,41,7,0,0,76,356
48028,"Yellowhead/Yellowhead"," 8","Grande Cache",1,7,25,83,13,0,0,129,317
48028,"Yellowhead/Yellowhead"," 9","Grande Cache",2,10,27,65,13,1,0,118,295
48028,"Yellowhead/Yellowhead"," 10","Fox Creek",1,5,11,53,9,0,0,79,236
48028,"Yellowhead/Yellowhead"," 11","Fox Creek",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 12","Fox Creek",0,5,13,91,4,0,1,114,281
48028,"Yellowhead/Yellowhead"," 13","Fox Creek",1,5,25,123,8,1,0,163,391
48028,"Yellowhead/Yellowhead"," 14A","Fox Creek",1,3,18,71,11,2,0,106,310
48028,"Yellowhead/Yellowhead"," 14B","Fox Creek",0,5,13,67,4,2,0,91,320
48028,"Yellowhead/Yellowhead"," 15","Swan Hills",1,2,13,102,16,1,0,135,274
48028,"Yellowhead/Yellowhead"," 16","Swan Hills",2,2,12,60,5,0,0,81,229
48028,"Yellowhead/Yellowhead"," 17","Swan Hills",1,12,20,101,11,2,2,149,421
48028,"Yellowhead/Yellowhead"," 18","Swan Hills",0,5,12,83,6,2,0,108,252
48028,"Yellowhead/Yellowhead"," 19","Windfall",2,2,10,159,14,1,1,189,428
48028,"Yellowhead/Yellowhead"," 20","Lone Pine",14,1,7,37,12,0,2,73,174
48028,"Yellowhead/Yellowhead"," 21","Freeman River",13,6,17,193,22,8,1,260,373
48028,"Yellowhead/Yellowhead"," 22","Blue Ridge",4,8,15,120,15,3,0,165,277
48028,"Yellowhead/Yellowhead"," 23","Connor Creek",2,0,20,163,14,5,1,205,340
48028,"Yellowhead/Yellowhead"," 24","Green Court",2,1,14,116,11,0,0,144,279
48028,"Yellowhead/Yellowhead"," 25A","Lonira",3,0,8,99,10,2,0,122,368
48028,"Yellowhead/Yellowhead"," 25B","Lonira",1,2,10,155,8,2,0,178,413
48028,"Yellowhead/Yellowhead"," 26","Whitecourt",6,1,12,199,10,0,0,228,475
48028,"Yellowhead/Yellowhead"," 27","Anselmo",8,5,15,186,24,2,0,240,452
48028,"Yellowhead/Yellowhead"," 28","Whitecourt",2,6,4,36,3,0,0,51,256
48028,"Yellowhead/Yellowhead"," 29","Whitecourt",5,7,15,74,17,0,0,118,319
48028,"Yellowhead/Yellowhead"," 30","Whitecourt",1,2,10,112,9,2,0,136,374
48028,"Yellowhead/Yellowhead"," 31","Whitecourt",0,5,9,78,11,2,0,105,282
48028,"Yellowhead/Yellowhead"," 32","Whitecourt",0,6,4,103,5,3,0,121,341
48028,"Yellowhead/Yellowhead"," 33","Whitecourt",2,5,11,79,17,2,0,116,407
48028,"Yellowhead/Yellowhead"," 34","Whitecourt",1,7,15,71,7,1,0,102,370
48028,"Yellowhead/Yellowhead"," 35","Whitecourt",4,2,14,71,8,0,0,99,322
48028,"Yellowhead/Yellowhead"," 36","Whitecourt",3,6,16,110,3,1,1,140,461
48028,"Yellowhead/Yellowhead"," 36-1A","Whitecourt",2,3,7,98,4,1,0,115,338
48028,"Yellowhead/Yellowhead"," 36-1B","Whitecourt",1,4,15,97,3,0,0,120,332
48028,"Yellowhead/Yellowhead"," 37","Whitecourt",1,2,11,51,10,0,0,75,326
48028,"Yellowhead/Yellowhead"," 38","Whitecourt",1,12,13,129,15,6,0,176,373
48028,"Yellowhead/Yellowhead"," 39","Whitecourt",0,4,10,99,10,8,0,131,402
48028,"Yellowhead/Yellowhead"," 40","Whitecourt",0,5,14,151,16,0,0,186,448
48028,"Yellowhead/Yellowhead"," 41","Whitecourt",0,6,10,81,11,1,0,109,262
48028,"Yellowhead/Yellowhead"," 42A","Whitecourt",2,4,8,116,8,1,0,139,274
48028,"Yellowhead/Yellowhead"," 42B","Whitecourt",3,9,9,104,7,0,0,132,260
48028,"Yellowhead/Yellowhead"," 43","Whitecourt",4,2,13,138,8,0,0,165,325
48028,"Yellowhead/Yellowhead"," 44","Fort Assiniboine",1,0,6,50,7,3,0,67,290
48028,"Yellowhead/Yellowhead"," 45","Vega",3,1,2,74,1,59,0,140,209
48028,"Yellowhead/Yellowhead"," 46","Neerlandia",1,0,6,193,3,87,3,293,422
48028,"Yellowhead/Yellowhead"," 47","Bloomsbury",5,2,14,165,15,21,1,223,424
48028,"Yellowhead/Yellowhead"," 48","Tiger Lily",2,3,8,121,12,1,0,147,339
48028,"Yellowhead/Yellowhead"," 49","Campsie",3,5,16,117,8,3,1,153,344
48028,"Yellowhead/Yellowhead"," 50","Barrhead",3,4,18,192,12,8,0,237,408
48028,"Yellowhead/Yellowhead"," 51","Barrhead",0,6,28,198,21,10,2,265,458
48028,"Yellowhead/Yellowhead"," 52A","Barrhead",4,5,16,163,12,9,1,210,412
48028,"Yellowhead/Yellowhead"," 52B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,39
48028,"Yellowhead/Yellowhead"," 53","Barrhead",5,10,38,187,17,9,1,267,490
48028,"Yellowhead/Yellowhead"," 54","Barrhead",1,5,11,118,2,9,0,146,322
48028,"Yellowhead/Yellowhead"," 55","Barrhead",7,4,19,91,6,6,1,134,324
48028,"Yellowhead/Yellowhead"," 56","Barrhead",3,6,22,89,5,6,0,131,308
48028,"Yellowhead/Yellowhead"," 57","Barrhead",8,10,24,162,8,6,1,219,423
48028,"Yellowhead/Yellowhead"," 58","Barrhead",3,4,20,180,17,15,0,239,477
48028,"Yellowhead/Yellowhead"," 59","Mellowdale",3,1,3,75,9,14,0,105,182
48028,"Yellowhead/Yellowhead"," 60","Highridge",1,0,2,27,4,0,0,34,85
48028,"Yellowhead/Yellowhead"," 61","George Lake",0,1,4,33,5,2,0,45,174
48028,"Yellowhead/Yellowhead"," 62A","Manola",5,4,22,119,10,3,0,163,344
48028,"Yellowhead/Yellowhead"," 62B","Manola",8,5,9,140,19,2,0,183,350
48028,"Yellowhead/Yellowhead"," 63","Belvedere",2,1,11,116,6,1,0,137,255
48028,"Yellowhead/Yellowhead"," 64","Lawton",8,0,5,119,9,4,0,145,245
48028,"Yellowhead/Yellowhead"," 65","Meadowview",1,0,8,88,10,0,1,108,201
48028,"Yellowhead/Yellowhead"," 66","Jasper",0,11,16,32,28,0,0,87,212
48028,"Yellowhead/Yellowhead"," 67","Jasper",1,9,50,61,50,3,0,174,364
48028,"Yellowhead/Yellowhead"," 68","Jasper",0,14,69,48,41,0,0,172,297
48028,"Yellowhead/Yellowhead"," 69A","Jasper",2,4,61,45,61,2,0,175,388
48028,"Yellowhead/Yellowhead"," 69B","Jasper",1,17,67,48,48,1,0,182,437
48028,"Yellowhead/Yellowhead"," 70","Jasper",1,17,93,75,60,0,0,246,435
48028,"Yellowhead/Yellowhead"," 71","Jasper",0,3,43,22,33,0,0,101,171
48028,"Yellowhead/Yellowhead"," 72","Jasper",1,22,70,62,50,0,1,206,431
48028,"Yellowhead/Yellowhead"," 73","Jasper",2,13,49,57,38,1,0,160,290
48028,"Yellowhead/Yellowhead"," 74","Old Entrance",1,6,18,75,15,0,0,115,253
48028,"Yellowhead/Yellowhead"," 75","Obed",0,4,5,35,4,0,0,48,98
48028,"Yellowhead/Yellowhead"," 76","Brûlé",1,1,14,47,14,0,0,77,130
48028,"Yellowhead/Yellowhead"," 77","Cadomin",2,0,5,16,4,1,0,28,68
48028,"Yellowhead/Yellowhead"," 78A","Hinton",0,5,19,78,20,0,0,122,316
48028,"Yellowhead/Yellowhead"," 78B","Hinton",0,9,18,79,20,1,0,127,308
48028,"Yellowhead/Yellowhead"," 79","Hinton",2,8,30,69,14,0,0,123,447
48028,"Yellowhead/Yellowhead"," 80","Hinton",1,2,25,116,20,1,0,165,445
48028,"Yellowhead/Yellowhead"," 81","Hinton",1,5,19,98,14,1,0,138,344
48028,"Yellowhead/Yellowhead"," 82","Hinton",3,11,45,98,24,1,0,182,425
48028,"Yellowhead/Yellowhead"," 83","Hinton",1,6,21,101,23,0,1,153,326
48028,"Yellowhead/Yellowhead"," 84","Hinton",0,5,22,95,23,0,0,145,284
48028,"Yellowhead/Yellowhead"," 85","Hinton",0,8,20,59,16,1,1,105,287
48028,"Yellowhead/Yellowhead"," 86","Hinton",1,16,37,96,30,3,0,183,468
48028,"Yellowhead/Yellowhead"," 87","Hinton",0,8,16,87,20,5,0,136,267
48028,"Yellowhead/Yellowhead"," 88","Hinton",0,4,11,54,9,1,1,80,202
48028,"Yellowhead/Yellowhead"," 89","Hinton",0,12,25,123,17,0,1,178,473
48028,"Yellowhead/Yellowhead"," 90","Hinton",1,10,20,109,10,3,0,153,315
48028,"Yellowhead/Yellowhead"," 91","Hinton",1,7,22,83,10,3,0,126,327
48028,"Yellowhead/Yellowhead"," 92","Hinton",2,8,28,84,22,1,1,146,293
48028,"Yellowhead/Yellowhead"," 93","Hinton",0,3,21,40,8,0,1,73,292
48028,"Yellowhead/Yellowhead"," 94","Hinton",1,8,30,65,16,2,0,122,315
48028,"Yellowhead/Yellowhead"," 95","Hinton",3,10,21,60,11,0,0,105,362
48028,"Yellowhead/Yellowhead"," 96","Hinton",0,12,21,113,6,0,0,152,388
48028,"Yellowhead/Yellowhead"," 97","Hinton",3,12,13,80,10,0,0,118,305
48028,"Yellowhead/Yellowhead"," 98","Bickerdike",0,2,21,166,15,1,0,205,425
48028,"Yellowhead/Yellowhead"," 99","Yates",1,7,23,196,19,3,2,251,431
48028,"Yellowhead/Yellowhead"," 100","Bickerdike",1,1,18,145,15,1,0,181,314
48028,"Yellowhead/Yellowhead"," 101","Marlboro",1,9,20,79,10,2,1,122,203
48028,"Yellowhead/Yellowhead"," 102","Bickerdike",1,3,16,126,6,1,0,153,324
48028,"Yellowhead/Yellowhead"," 103","Wolf Creek",3,4,19,148,12,3,0,189,368
48028,"Yellowhead/Yellowhead"," 104","Robb",0,4,11,59,11,0,1,86,170
48028,"Yellowhead/Yellowhead"," 105","Wolf Lake",Void/Supprimé,,,,,,,,
48028,"Yellowhead/Yellowhead"," 106","Nordegg (Brazeau)",Void/Supprimé,,,,,,,,
