Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Norris Barens,David Caplan,Dan Grice,Deborah Meredith,Joyce Murray,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59033,Vancouver Quadra/Vancouver Quadra,198,Vancouver,3,4,9,108,94,0,218,445
59033,Vancouver Quadra/Vancouver Quadra,199,Vancouver,1,11,7,138,98,2,257,495
59033,Vancouver Quadra/Vancouver Quadra,200,Vancouver,3,11,16,122,78,0,230,455
59033,Vancouver Quadra/Vancouver Quadra,201,Vancouver,4,22,16,103,103,1,249,516
59033,Vancouver Quadra/Vancouver Quadra,202,Vancouver,5,35,27,85,103,1,256,522
59033,Vancouver Quadra/Vancouver Quadra,203,Vancouver,2,51,15,75,69,0,212,493
59033,Vancouver Quadra/Vancouver Quadra,500,Mobile poll/Bureau itinérant,3,20,3,32,19,1,78,161
59033,Vancouver Quadra/Vancouver Quadra,501,Mobile poll/Bureau itinérant,2,13,10,98,46,4,173,228
59033,Vancouver Quadra/Vancouver Quadra,502,Mobile poll/Bureau itinérant,2,2,1,49,15,4,73,114
59033,Vancouver Quadra/Vancouver Quadra,503,Mobile poll/Bureau itinérant,0,19,5,61,45,8,138,219
59033,Vancouver Quadra/Vancouver Quadra,504,Mobile poll/Bureau itinérant,Electors voted at advance polls/Les électeurs ont voté aux bureaux de vote par anticipation,,,,,,,194
59033,Vancouver Quadra/Vancouver Quadra,600,University Hill,4,16,15,168,197,1,401,
59033,Vancouver Quadra/Vancouver Quadra,601,Vancouver--University Hill,1,29,29,277,292,1,629,
59033,Vancouver Quadra/Vancouver Quadra,602,Vancouver,1,73,67,189,238,1,569,
59033,Vancouver Quadra/Vancouver Quadra,603,Vancouver,0,37,42,103,219,2,403,
59033,Vancouver Quadra/Vancouver Quadra,604,Vancouver,2,39,47,138,220,1,447,
59033,Vancouver Quadra/Vancouver Quadra,605,Vancouver,1,52,47,137,200,1,438,
59033,Vancouver Quadra/Vancouver Quadra,606,Vancouver,0,53,38,276,268,1,636,
59033,Vancouver Quadra/Vancouver Quadra,607,Vancouver,0,28,28,348,249,3,656,
59033,Vancouver Quadra/Vancouver Quadra,608,Vancouver,3,9,25,342,160,1,540,
59033,Vancouver Quadra/Vancouver Quadra,609,Vancouver,1,18,23,291,219,0,552,
59033,Vancouver Quadra/Vancouver Quadra,610,Vancouver,1,48,43,383,273,2,750,
59033,Vancouver Quadra/Vancouver Quadra,611,Vancouver,5,10,18,374,190,3,600,
59033,Vancouver Quadra/Vancouver Quadra,,Group 1/Groupe 1,2,15,22,44,88,2,173,249
59033,Vancouver Quadra/Vancouver Quadra,,Group 2/Groupe 2,2,66,96,530,581,20,1295,
