Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Carroll,Margaret Chandler,Jason Kenney,Chris Willott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48007,"Calgary Southeast/Calgary-Sud-Est"," 24","Calgary",19,13,76,22,0,130,384
48007,"Calgary Southeast/Calgary-Sud-Est"," 25","Calgary",12,30,83,19,0,144,188
48007,"Calgary Southeast/Calgary-Sud-Est"," 26","Calgary",30,18,119,19,0,186,547
48007,"Calgary Southeast/Calgary-Sud-Est"," 27","Calgary",17,20,48,19,0,104,397
48007,"Calgary Southeast/Calgary-Sud-Est"," 28","Calgary",7,13,158,12,0,190,368
48007,"Calgary Southeast/Calgary-Sud-Est"," 29","Calgary",11,24,139,8,0,182,331
48007,"Calgary Southeast/Calgary-Sud-Est"," 30","Calgary",13,31,176,22,1,243,409
48007,"Calgary Southeast/Calgary-Sud-Est"," 31","Calgary",5,15,116,13,1,150,272
48007,"Calgary Southeast/Calgary-Sud-Est"," 32","Calgary",27,42,200,19,0,288,557
48007,"Calgary Southeast/Calgary-Sud-Est"," 33","Calgary",20,24,177,5,0,226,334
48007,"Calgary Southeast/Calgary-Sud-Est"," 34","Calgary",19,38,150,14,1,222,369
48007,"Calgary Southeast/Calgary-Sud-Est"," 35","Calgary",13,26,120,4,0,163,288
48007,"Calgary Southeast/Calgary-Sud-Est"," 36","Calgary",12,11,79,14,0,116,287
48007,"Calgary Southeast/Calgary-Sud-Est"," 37","Calgary",9,17,80,15,1,122,288
48007,"Calgary Southeast/Calgary-Sud-Est"," 38","Calgary",25,14,96,16,0,151,326
48007,"Calgary Southeast/Calgary-Sud-Est"," 39","Calgary",13,18,130,16,0,177,288
48007,"Calgary Southeast/Calgary-Sud-Est"," 40","Calgary",17,21,128,16,3,185,304
48007,"Calgary Southeast/Calgary-Sud-Est"," 41","Calgary",21,23,114,10,1,169,288
48007,"Calgary Southeast/Calgary-Sud-Est"," 42","Calgary",14,15,177,3,1,210,379
48007,"Calgary Southeast/Calgary-Sud-Est"," 43","Calgary",14,26,145,13,1,199,299
48007,"Calgary Southeast/Calgary-Sud-Est"," 44","Calgary",14,27,156,12,3,212,306
48007,"Calgary Southeast/Calgary-Sud-Est"," 45","Calgary",21,29,156,9,1,216,407
48007,"Calgary Southeast/Calgary-Sud-Est"," 46","Calgary",17,19,85,11,0,132,294
48007,"Calgary Southeast/Calgary-Sud-Est"," 47","Calgary",23,14,147,3,1,188,323
48007,"Calgary Southeast/Calgary-Sud-Est"," 48","Calgary",23,27,153,14,0,217,341
48007,"Calgary Southeast/Calgary-Sud-Est"," 49","Calgary",23,26,153,8,0,210,353
48007,"Calgary Southeast/Calgary-Sud-Est"," 50","Calgary",9,24,150,13,0,196,332
48007,"Calgary Southeast/Calgary-Sud-Est"," 51","Calgary",Void/Supprimé,,,,,,
48007,"Calgary Southeast/Calgary-Sud-Est"," 52A","Calgary",14,16,119,9,1,159,315
48007,"Calgary Southeast/Calgary-Sud-Est"," 52B","Calgary",21,19,183,12,0,235,439
48007,"Calgary Southeast/Calgary-Sud-Est"," 53","Calgary",20,37,171,15,0,243,389
48007,"Calgary Southeast/Calgary-Sud-Est"," 54","Calgary",29,23,124,9,0,185,331
48007,"Calgary Southeast/Calgary-Sud-Est"," 55","Calgary",15,30,148,12,0,205,317
