Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Beaudet,Marie Martine Bédard,Claude Carignan,Luc Desnoyers,Denis Joannette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 1","Boisbriand",39,10,20,86,33,5,193,409
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 2","Boisbriand",25,10,27,123,39,2,226,402
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3A","Boisbriand",13,4,10,45,18,6,96,221
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 3B","Boisbriand",16,1,16,52,19,0,104,247
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4A","Boisbriand",19,8,20,86,18,3,154,263
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 4B","Boisbriand",16,4,27,81,31,2,161,295
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 5","Boisbriand",28,9,21,60,30,3,151,393
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 6","Boisbriand",31,11,44,108,37,3,234,382
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 7","Boisbriand",25,9,25,76,42,1,178,309
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 8","Boisbriand",33,12,23,97,22,7,194,395
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 9","Boisbriand",33,11,15,104,17,7,187,429
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 10","Boisbriand",32,14,20,118,57,4,245,396
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 11","Boisbriand",27,9,36,130,56,5,263,422
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 12","Boisbriand",53,12,45,57,134,4,305,447
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13A","Boisbriand",22,10,19,86,37,3,177,258
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 13B","Boisbriand",31,4,32,87,42,2,198,285
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14A","Boisbriand",13,6,27,76,25,4,151,244
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14B","Boisbriand",19,4,26,77,43,1,170,263
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Boisbriand",42,11,26,135,38,1,253,365
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Boisbriand",39,14,22,121,47,4,247,398
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 17","Boisbriand",18,13,43,89,61,3,227,432
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 18","Boisbriand",35,11,26,113,35,4,224,365
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19","Boisbriand",30,8,28,124,47,3,240,402
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19-1","Boisbriand",2,6,10,30,8,0,56,375
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20A","Boisbriand",29,5,14,81,24,2,155,256
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20B","Boisbriand",25,12,19,72,30,0,158,271
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 21","Boisbriand",41,6,19,116,45,8,235,407
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 22","Boisbriand",35,5,15,114,28,5,202,361
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 23","Boisbriand",31,4,30,128,52,4,249,433
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 24","Boisbriand",55,16,38,105,50,6,270,425
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25","Boisbriand",33,8,33,96,41,4,215,360
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26A","Boisbriand",27,7,22,88,44,0,188,232
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26B","Boisbriand",28,4,37,77,39,2,187,267
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 27","Boisbriand",43,15,39,125,50,4,276,375
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28A","Boisbriand",3,1,6,17,5,1,33,283
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28B","Boisbriand",6,2,3,8,2,1,22,250
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 29","Boisbriand",35,15,30,116,43,3,242,449
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 30","Boisbriand",33,17,30,126,53,7,266,406
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31A","Boisbriand",32,8,27,69,48,4,188,278
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31B","Boisbriand",27,6,36,77,34,2,182,309
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 32","Boisbriand",35,11,34,114,47,0,241,324
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 33","Boisbriand",43,15,36,122,49,8,273,421
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34A","Boisbriand",25,4,23,70,30,6,158,259
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34B","Boisbriand",20,3,13,69,34,3,142,253
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 35","Boisbriand",53,10,35,125,65,0,288,428
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 36","Boisbriand",53,12,42,102,39,5,253,422
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 37","Boisbriand",36,16,30,116,49,3,250,385
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 38","Boisbriand",27,6,25,72,35,3,168,308
24057,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 39A","Boisbriand",32,7,33,77,42,2,193,285
