Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mike Allen,Alice Finnamore,Mark Glass,Sally McGrath,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1","Saint-André",55,23,4,30,4,116,209
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 1-1","Saint-André",81,28,5,53,6,173,345
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 2","Saint-André",106,38,9,77,8,238,437
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 3","Saint-André",93,37,14,73,6,223,464
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 4","Saint-André",77,29,9,58,1,174,294
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 5","Drummond",Void/Supprimé,,,,,,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6","Drummond",113,39,13,70,7,242,414
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 6-1","Drummond",60,37,9,42,4,152,294
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 7","Drummond",77,54,9,67,6,213,397
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 8","Drummond",88,43,6,57,1,195,370
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 9","Drummond",63,22,10,43,1,139,264
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 10","Drummond",132,32,16,64,8,252,503
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 11","New Denmark",66,44,6,38,1,155,280
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 12","Salmonhurst Corner",102,35,8,41,0,186,368
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 13","Grand Falls--Grand-Sault",98,22,7,45,0,172,371
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 14","Grand Falls--Grand-Sault",131,35,8,68,2,244,498
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 15","Grand Falls--Grand-Sault",94,37,8,57,3,199,430
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 16","Grand Falls--Grand-Sault",102,31,7,36,2,178,411
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 17","Grand Falls--Grand-Sault",54,35,3,44,5,141,296
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 18","Grand Falls--Grand-Sault",49,19,1,25,0,94,328
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 19","Grand Falls--Grand-Sault",55,24,7,34,0,120,286
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 20","Grand Falls--Grand-Sault",56,29,13,51,3,152,377
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 21","Grand Falls--Grand-Sault",97,51,9,52,6,215,492
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 22","Grand Falls--Grand-Sault",69,19,6,50,2,146,352
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 23","Grand Falls--Grand-Sault",80,31,5,35,4,155,356
