Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Borkowski,Lorne Gershuny,Gerard Kennedy,Peggy Nash,Terry Parker,Robert Rishchynski,Jilian Saweczko,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Parkdale--High Park/Parkdale--High Park"," 1","York",1,0,120,117,3,4,15,2,262,621
35068,"Parkdale--High Park/Parkdale--High Park"," 2","York",2,1,63,77,0,13,36,1,193,372
35068,"Parkdale--High Park/Parkdale--High Park"," 3","York",3,2,109,99,0,12,53,1,279,460
35068,"Parkdale--High Park/Parkdale--High Park"," 4","York",1,0,100,101,2,18,30,1,253,365
35068,"Parkdale--High Park/Parkdale--High Park"," 5","York",2,0,59,55,1,17,16,0,150,269
35068,"Parkdale--High Park/Parkdale--High Park"," 6","York",2,1,122,70,0,10,41,0,246,365
35068,"Parkdale--High Park/Parkdale--High Park"," 7","York",2,0,93,88,0,20,36,1,240,350
35068,"Parkdale--High Park/Parkdale--High Park"," 8","York",2,2,97,74,0,18,23,2,218,335
35068,"Parkdale--High Park/Parkdale--High Park"," 9","York",1,0,107,98,4,26,39,1,276,436
35068,"Parkdale--High Park/Parkdale--High Park"," 10","York",2,0,134,94,2,20,48,2,302,498
35068,"Parkdale--High Park/Parkdale--High Park"," 11","York",1,0,116,69,0,18,31,0,235,335
35068,"Parkdale--High Park/Parkdale--High Park"," 12","York",5,1,89,71,1,22,23,0,212,331
35068,"Parkdale--High Park/Parkdale--High Park"," 13","York",0,0,109,30,3,16,74,1,233,345
35068,"Parkdale--High Park/Parkdale--High Park"," 14","York",0,0,119,40,0,14,33,0,206,312
35068,"Parkdale--High Park/Parkdale--High Park"," 15","York",1,0,174,72,2,17,72,0,338,500
35068,"Parkdale--High Park/Parkdale--High Park"," 16","Toronto",2,1,78,39,1,3,21,0,145,220
35068,"Parkdale--High Park/Parkdale--High Park"," 17","Toronto",2,0,143,73,1,21,30,0,270,424
35068,"Parkdale--High Park/Parkdale--High Park"," 18","York",0,0,130,79,0,29,33,0,271,469
35068,"Parkdale--High Park/Parkdale--High Park"," 19","York",1,1,142,57,2,16,43,1,263,475
35068,"Parkdale--High Park/Parkdale--High Park"," 20","York",2,0,214,104,1,19,46,0,386,600
35068,"Parkdale--High Park/Parkdale--High Park"," 21","Toronto",1,0,177,82,1,25,49,1,336,521
35068,"Parkdale--High Park/Parkdale--High Park"," 22","Toronto",Void/Supprimé,,,,,,,,,
35068,"Parkdale--High Park/Parkdale--High Park"," 23","Toronto",2,1,151,47,1,16,76,0,294,472
35068,"Parkdale--High Park/Parkdale--High Park"," 24","Toronto",0,1,129,42,1,16,73,0,262,435
35068,"Parkdale--High Park/Parkdale--High Park"," 25","Toronto",0,1,132,78,2,19,47,0,279,409
