Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Chris Durrant,Dominic LeBlanc,Omer Leger,Michael Milligan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13002,"Beauséjour/Beauséjour"," 1","Saint-Louis",70,120,56,20,12,278,401
13002,"Beauséjour/Beauséjour"," 2","Saint-Louis",37,107,73,15,4,236,371
13002,"Beauséjour/Beauséjour"," 3","Saint-Louis",40,122,77,12,5,256,432
13002,"Beauséjour/Beauséjour"," 4A","Saint-Louis",36,73,40,13,5,167,231
13002,"Beauséjour/Beauséjour"," 4B","Saint-Louis",32,69,36,16,5,158,249
13002,"Beauséjour/Beauséjour"," 5","Saint-Ignace",34,58,35,11,9,147,209
13002,"Beauséjour/Beauséjour"," 6","Saint-Ignace",55,96,67,22,11,251,345
13002,"Beauséjour/Beauséjour"," 7","Petite-Aldouane",49,102,53,3,6,213,317
13002,"Beauséjour/Beauséjour"," 8","Aldouane",50,148,76,17,6,297,399
13002,"Beauséjour/Beauséjour"," 8-1","Aldouane",21,86,48,12,3,170,252
13002,"Beauséjour/Beauséjour"," 9","Saint-Charles",36,119,48,15,8,226,336
13002,"Beauséjour/Beauséjour"," 10","Saint-Charles",30,108,60,11,9,218,316
13002,"Beauséjour/Beauséjour"," 11","Richibucto-Village",47,114,56,5,8,230,327
13002,"Beauséjour/Beauséjour"," 12","Richibucto-Village",52,109,41,12,6,220,308
13002,"Beauséjour/Beauséjour"," 12-1","Richibucto-Village",36,104,38,21,13,212,269
13002,"Beauséjour/Beauséjour"," 13A","Richibucto",5,40,3,0,0,48,59
13002,"Beauséjour/Beauséjour"," 13B","Richibucto",34,123,51,21,3,232,423
13002,"Beauséjour/Beauséjour"," 14","Richibucto",31,102,51,4,2,190,315
13002,"Beauséjour/Beauséjour"," 15","Richibucto",57,147,57,14,5,280,415
13002,"Beauséjour/Beauséjour"," 16","Richibucto",36,127,57,16,3,239,379
13002,"Beauséjour/Beauséjour"," 17","Rexton",19,76,41,17,6,159,321
13002,"Beauséjour/Beauséjour"," 18","Rexton",40,131,59,14,3,247,449
13002,"Beauséjour/Beauséjour"," 19A","Elsipogtog",9,52,3,5,0,69,343
13002,"Beauséjour/Beauséjour"," 19B","Elsipogtog",12,88,11,7,0,118,393
13002,"Beauséjour/Beauséjour"," 19C","Elsipogtog",7,112,5,4,0,128,407
13002,"Beauséjour/Beauséjour"," 20","South Branch--West Branch",26,110,89,27,4,256,436
13002,"Beauséjour/Beauséjour"," 21","Elsipogtog",Void/Supprimé,,,,,,
13002,"Beauséjour/Beauséjour"," 22","Bass River",23,71,40,6,0,140,245
13002,"Beauséjour/Beauséjour"," 23","Beersville",50,85,95,15,2,247,410
13002,"Beauséjour/Beauséjour"," 24","Harcourt",23,74,69,11,4,181,281
13002,"Beauséjour/Beauséjour"," 25","St. Edouard",36,152,68,17,10,283,411
13002,"Beauséjour/Beauséjour"," 26","Ste. Anne",25,136,53,19,7,240,320
13002,"Beauséjour/Beauséjour"," 27","Saint-Pierre",17,111,74,7,1,210,329
13002,"Beauséjour/Beauséjour"," 28","Bouctouche",22,65,86,7,3,183,331
13002,"Beauséjour/Beauséjour"," 28-1","Bouctouche",15,72,27,3,1,118,248
13002,"Beauséjour/Beauséjour"," 29","Bouctouche",17,53,46,6,3,125,261
13002,"Beauséjour/Beauséjour"," 30","Bouctouche",9,52,46,4,3,114,246
13002,"Beauséjour/Beauséjour"," 31","Bouctouche",15,66,54,1,5,141,278
13002,"Beauséjour/Beauséjour"," 32","Bouctouche",14,91,98,6,5,214,371
13002,"Beauséjour/Beauséjour"," 33","Bouctouche",12,53,56,4,6,131,264
13002,"Beauséjour/Beauséjour"," 34A","Bouctouche",20,21,2,5,0,48,61
13002,"Beauséjour/Beauséjour"," 34B","Bouctouche",11,60,50,5,2,128,181
13002,"Beauséjour/Beauséjour"," 35","Bouctouche",35,106,68,7,5,221,398
