Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Olivier Adam,Gabriel Arsenault,Suzanne Chartrand,Serge Gélinas,Yves Lessard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24012,"Chambly--Borduas/Chambly--Borduas"," 1","Saint-Mathieu-de-Beloeil",18,50,37,27,127,4,263,405
24012,"Chambly--Borduas/Chambly--Borduas"," 2","Saint-Mathieu-de-Beloeil",12,40,41,32,150,2,277,450
24012,"Chambly--Borduas/Chambly--Borduas"," 3","Saint-Mathieu-de-Beloeil",6,48,62,28,137,2,283,436
24012,"Chambly--Borduas/Chambly--Borduas"," 4","Saint-Mathieu-de-Beloeil",12,63,61,80,235,8,459,738
24012,"Chambly--Borduas/Chambly--Borduas"," 5","McMasterville",14,33,47,43,121,4,262,395
24012,"Chambly--Borduas/Chambly--Borduas"," 6","McMasterville",3,31,33,35,119,4,225,343
24012,"Chambly--Borduas/Chambly--Borduas"," 7","McMasterville",14,52,33,71,167,1,338,489
24012,"Chambly--Borduas/Chambly--Borduas"," 8A","McMasterville",6,39,31,58,190,6,330,533
24012,"Chambly--Borduas/Chambly--Borduas"," 8B","McMasterville",6,19,15,44,95,0,179,304
24012,"Chambly--Borduas/Chambly--Borduas"," 8-1","McMasterville",8,62,35,54,181,6,346,612
24012,"Chambly--Borduas/Chambly--Borduas"," 9","McMasterville",5,45,33,43,161,7,294,470
24012,"Chambly--Borduas/Chambly--Borduas"," 10","McMasterville",8,35,18,24,98,3,186,406
24012,"Chambly--Borduas/Chambly--Borduas"," 11","McMasterville",Merged with No. 11-1A/Fusionné avec le nº 11-1A,,,,,,,14
24012,"Chambly--Borduas/Chambly--Borduas"," 11-1A","McMasterville",2,17,8,15,78,3,123,354
24012,"Chambly--Borduas/Chambly--Borduas"," 11-1B","McMasterville",10,20,15,25,69,1,140,373
24012,"Chambly--Borduas/Chambly--Borduas"," 12","Beloeil",15,37,28,48,145,6,279,454
24012,"Chambly--Borduas/Chambly--Borduas"," 13","Beloeil",12,35,36,41,171,2,297,427
24012,"Chambly--Borduas/Chambly--Borduas"," 14","Beloeil",7,42,38,45,140,7,279,424
24012,"Chambly--Borduas/Chambly--Borduas"," 15","Beloeil",4,48,29,38,141,4,264,426
24012,"Chambly--Borduas/Chambly--Borduas"," 16","Beloeil",11,73,53,26,102,5,270,405
24012,"Chambly--Borduas/Chambly--Borduas"," 17","Beloeil",12,54,29,42,100,3,240,378
