Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gordon Harris,Gerry Labelle,Diane Marleau,Will Morin,J. David Popescu,Glenn Thibeault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35088,"Sudbury/Sudbury"," 1","Walden",7,37,14,0,0,39,0,97,235
35088,"Sudbury/Sudbury"," 2","Walden",12,72,29,1,1,122,1,238,460
35088,"Sudbury/Sudbury"," 3","Walden",13,75,56,2,2,96,0,244,435
35088,"Sudbury/Sudbury"," 4","Walden",15,68,18,0,0,80,3,184,353
35088,"Sudbury/Sudbury"," 5","Walden",19,36,35,3,0,73,0,166,327
35088,"Sudbury/Sudbury"," 6","Walden",13,40,25,1,0,59,0,138,251
35088,"Sudbury/Sudbury"," 7","Walden",20,68,52,2,0,81,0,223,470
35088,"Sudbury/Sudbury"," 8","Walden",19,81,43,1,0,119,1,264,518
35088,"Sudbury/Sudbury"," 9","Walden",19,71,57,0,1,98,1,247,517
35088,"Sudbury/Sudbury"," 10","Walden",12,44,16,3,0,69,0,144,276
35088,"Sudbury/Sudbury"," 11","Walden",14,54,24,1,0,65,0,158,288
35088,"Sudbury/Sudbury"," 12","Walden",21,45,32,0,0,58,0,156,287
35088,"Sudbury/Sudbury"," 13","Walden",16,101,59,4,0,75,2,257,421
35088,"Sudbury/Sudbury"," 14","Walden",24,56,51,2,1,97,2,233,447
35088,"Sudbury/Sudbury"," 15","Walden",7,36,23,0,1,36,0,103,195
35088,"Sudbury/Sudbury"," 16","Walden",12,67,48,3,0,79,1,210,397
35088,"Sudbury/Sudbury"," 16-1","Walden",7,37,30,1,0,31,0,106,210
35088,"Sudbury/Sudbury"," 17","Walden",9,52,20,1,0,65,0,147,281
35088,"Sudbury/Sudbury"," 18","Walden",39,110,80,0,1,96,0,326,584
35088,"Sudbury/Sudbury"," 19","Walden",19,81,49,1,0,53,0,203,358
