Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Larry Bagnell,Ken Bolton,Darrell Pasloski,John Streicker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
60001,"Yukon/Yukon"," 1","Old Crow",47,1,13,6,0,67,182
60001,"Yukon/Yukon"," 2","Dawson",Merged with No. 4/Fusionné avec le nº 4,,,,,,19
60001,"Yukon/Yukon"," 3A","Dawson",79,19,40,33,0,171,339
60001,"Yukon/Yukon"," 3B","Dawson",71,19,47,14,1,152,338
60001,"Yukon/Yukon"," 3C","Dawson",76,19,42,36,0,173,366
60001,"Yukon/Yukon"," 4","Klondike",75,11,40,23,0,149,239
60001,"Yukon/Yukon"," 5","Stewart Crossing",Merged with No. 7/Fusionné avec le nº 7,,,,,,25
60001,"Yukon/Yukon"," 6","Keno",Merged with No. 7/Fusionné avec le nº 7,,,,,,2
60001,"Yukon/Yukon"," 7","Mayo",90,24,65,10,3,192,372
60001,"Yukon/Yukon"," 8","Beaver Creek",20,13,10,3,0,46,87
60001,"Yukon/Yukon"," 9","Pelly Crossing",50,10,14,4,0,78,221
60001,"Yukon/Yukon"," 10","Carmacks",81,11,43,12,0,147,305
60001,"Yukon/Yukon"," 11","Faro",37,13,62,13,0,125,293
60001,"Yukon/Yukon"," 12","Ross River",27,16,25,4,0,72,233
60001,"Yukon/Yukon"," 13","Burwash Landing",27,5,9,3,0,44,69
60001,"Yukon/Yukon"," 14","Destruction Bay",5,3,12,3,0,23,38
60001,"Yukon/Yukon"," 15A","Haines Junction",Merged with No. 16A/Fusionné avec le nº 16A,,,,,,51
60001,"Yukon/Yukon"," 15B","Haines Junction",Merged with No. 16B/Fusionné avec le nº 16B,,,,,,48
60001,"Yukon/Yukon"," 16A","Haines Junction",75,21,64,18,1,179,279
60001,"Yukon/Yukon"," 16B","Haines Junction",42,17,61,6,0,126,186
60001,"Yukon/Yukon"," 17","Upper Laberge",37,8,40,25,1,111,203
60001,"Yukon/Yukon"," 18","Champagne",10,0,5,1,1,17,39
60001,"Yukon/Yukon"," 19","Takhini",47,11,31,15,0,104,154
60001,"Yukon/Yukon"," 20","Takhini Hotspring",96,27,115,49,0,287,479
60001,"Yukon/Yukon"," 21","Mount Lorne",80,18,60,65,3,226,387
60001,"Yukon/Yukon"," 22","Whitehorse",93,11,78,33,1,216,377
60001,"Yukon/Yukon"," 23","Whitehorse",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 24","Whitehorse",70,12,68,28,0,178,322
60001,"Yukon/Yukon"," 25","Whitehorse",82,17,62,23,1,185,362
60001,"Yukon/Yukon"," 26","Whitehorse",49,16,66,14,0,145,316
60001,"Yukon/Yukon"," 27","Whitehorse",50,9,52,11,1,123,259
60001,"Yukon/Yukon"," 28","Whitehorse",71,16,44,14,0,145,267
60001,"Yukon/Yukon"," 29","Whitehorse",46,16,45,9,0,116,203
60001,"Yukon/Yukon"," 30","Whitehorse",90,14,89,31,0,224,395
60001,"Yukon/Yukon"," 31","Whitehorse",83,10,44,12,1,150,275
60001,"Yukon/Yukon"," 32","Whitehorse",86,14,50,8,1,159,282
60001,"Yukon/Yukon"," 33","Whitehorse",81,19,81,15,1,197,354
60001,"Yukon/Yukon"," 34","Whitehorse",45,12,47,5,2,111,326
60001,"Yukon/Yukon"," 35","Whitehorse",111,13,68,27,0,219,359
60001,"Yukon/Yukon"," 36","Whitehorse",117,27,58,58,1,261,455
60001,"Yukon/Yukon"," 37","Whitehorse",57,16,40,15,0,128,339
60001,"Yukon/Yukon"," 38","Whitehorse",67,18,44,17,2,148,339
60001,"Yukon/Yukon"," 39","Whitehorse",89,12,42,39,0,182,344
60001,"Yukon/Yukon"," 40","Whitehorse",38,19,14,5,0,76,326
60001,"Yukon/Yukon"," 41","Whitehorse",93,12,77,26,0,208,414
60001,"Yukon/Yukon"," 42A","Whitehorse",74,9,61,13,1,158,275
60001,"Yukon/Yukon"," 42B","Whitehorse",68,12,56,14,1,151,249
60001,"Yukon/Yukon"," 43","Whitehorse",97,16,93,22,1,229,363
60001,"Yukon/Yukon"," 43-1","Whitehorse",97,14,82,18,0,211,360
60001,"Yukon/Yukon"," 43-2A","Whitehorse",143,11,80,20,0,254,407
60001,"Yukon/Yukon"," 43-2B","Whitehorse",111,8,97,20,1,237,357
60001,"Yukon/Yukon"," 44","Whitehorse",109,19,96,24,0,248,436
60001,"Yukon/Yukon"," 45","Whitehorse",78,5,45,19,0,147,276
60001,"Yukon/Yukon"," 46","Whitehorse",57,9,19,29,0,114,240
60001,"Yukon/Yukon"," 47","Whitehorse",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 48","Whitehorse",77,16,38,30,0,161,395
60001,"Yukon/Yukon"," 49","Whitehorse",107,36,36,50,1,230,466
60001,"Yukon/Yukon"," 50","Whitehorse",59,11,42,28,2,142,394
60001,"Yukon/Yukon"," 51","Whitehorse",51,11,20,29,0,111,276
60001,"Yukon/Yukon"," 52","Whitehorse",118,18,45,48,0,229,423
60001,"Yukon/Yukon"," 53","Whitehorse",39,15,30,17,0,101,279
60001,"Yukon/Yukon"," 54","Whitehorse",53,14,37,22,0,126,310
60001,"Yukon/Yukon"," 55","Whitehorse",123,14,67,19,0,223,416
60001,"Yukon/Yukon"," 56","Whitehorse",117,18,63,24,0,222,395
60001,"Yukon/Yukon"," 57","Whitehorse",95,28,53,29,3,208,461
60001,"Yukon/Yukon"," 58","Whitehorse",96,17,60,32,0,205,364
60001,"Yukon/Yukon"," 59","Whitehorse",146,14,83,33,1,277,477
60001,"Yukon/Yukon"," 60","Whitehorse",107,13,59,33,0,212,430
60001,"Yukon/Yukon"," 61","MacRae",63,10,42,19,0,134,350
60001,"Yukon/Yukon"," 62","MacRae",120,15,97,38,0,270,485
60001,"Yukon/Yukon"," 63","MacRae",106,16,47,19,0,188,307
60001,"Yukon/Yukon"," 64","MacRae",74,15,43,37,3,172,325
60001,"Yukon/Yukon"," 65","Marsh Lake",73,16,91,49,1,230,443
60001,"Yukon/Yukon"," 66","Carcross",68,13,31,25,0,137,294
60001,"Yukon/Yukon"," 67","Tagish",33,15,35,18,1,102,194
60001,"Yukon/Yukon"," 68","Johnsons Crossing",Void/Supprimé,,,,,,
60001,"Yukon/Yukon"," 69","Teslin",65,20,49,17,1,152,358
60001,"Yukon/Yukon"," 70","Upper Liard",Merged with No. 71/Fusionné avec le nº 71,,,,,,55
60001,"Yukon/Yukon"," 71","Tuchitua",30,8,28,1,1,68,157
60001,"Yukon/Yukon"," 72","Watson Lake",41,21,56,14,1,133,293
60001,"Yukon/Yukon"," 73A","Watson Lake",47,12,47,12,0,118,300
60001,"Yukon/Yukon"," 73B","Watson Lake",45,11,49,8,0,113,279
60001,"Yukon/Yukon"," 500","Mobile poll/Bureau itinérant",20,9,10,3,2,44,62
60001,"Yukon/Yukon"," 600","Old Crow",2,0,2,0,0,4,
60001,"Yukon/Yukon"," 601","Dawson",50,12,40,11,1,114,
60001,"Yukon/Yukon"," 602","Mayo",8,1,14,0,0,23,
