Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Christianson,Paul Macklin,Rick Norlock,Ralph Torrie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 1","Port Hope",45,72,144,40,2,303,499
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 2","Port Hope",14,44,71,20,0,149,271
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 3","Port Hope",45,112,131,43,2,333,522
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 4","Port Hope",41,62,162,34,2,301,525
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 5","Port Hope",29,55,121,26,1,232,412
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 6","Port Hope",43,70,107,26,1,247,474
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 7","Port Hope",20,54,58,14,0,146,265
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 8","Port Hope",15,57,82,11,2,167,278
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 8-1","Port Hope",34,59,90,13,0,196,377
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 9","Port Hope",27,63,72,6,1,169,289
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 9-1","Port Hope",16,41,86,12,0,155,266
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 10","Port Hope",25,62,104,3,0,194,346
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 11","Port Hope",18,73,73,15,0,179,335
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 12","Port Hope",39,61,85,15,1,201,366
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 13","Port Hope",40,48,95,12,0,195,403
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 14","Port Hope",39,46,61,11,1,158,400
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 15","Port Hope",52,31,69,12,0,164,318
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 16","Port Hope",34,39,70,11,1,155,324
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 17","Port Hope",54,66,91,24,2,237,467
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 18","Port Hope",52,62,61,29,0,204,458
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 19","Port Hope",25,62,76,13,0,176,359
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 20","Port Hope",28,95,60,13,1,197,429
35058,"Northumberland--Quinte West/Northumberland--Quinte West"," 21","Port Hope",36,75,41,28,1,181,368
