Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Alina Abbott,Ron Cadotte,Matt Daudlin,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 57","Tilbury",18,42,88,78,0,226,474
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 58","Tilbury",11,27,57,61,0,156,320
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 59","Tilbury",6,19,42,56,0,123,294
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 60","Tilbury",4,21,48,71,0,144,297
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 61","Merlin",10,26,41,46,0,123,227
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 62","Tilbury",15,33,44,103,0,195,406
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 63","Tilbury",Void/Supprimé,,,,,,
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 64","Merlin",13,40,32,56,0,141,272
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 65","Wheatley",11,36,62,75,0,184,395
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 66A","Wheatley",8,24,32,46,0,110,291
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 66B","Wheatley",16,17,38,60,0,131,269
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 67","Wheatley",16,29,50,102,2,199,426
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 68","Wheatley",6,29,18,82,2,137,295
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 69","Wheatley",7,40,47,83,1,178,430
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 70","Wheatley",9,26,21,56,0,112,326
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 70-1","Romney",10,22,26,74,0,132,292
35013,"Chatham-Kent--Essex/Chatham-Kent--Essex"," 71","Chatham",23,30,89,112,0,254,452
