Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,André Bachand,Serge Cardin,Sébastien Côrriveau,Nathalie Goguen,Yves Mondoux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24070,"Sherbrooke/Sherbrooke"," 59","Fleurimont",25,102,0,28,28,1,184,402
24070,"Sherbrooke/Sherbrooke"," 60","Fleurimont",22,80,3,36,23,3,167,261
24070,"Sherbrooke/Sherbrooke"," 61","Fleurimont",31,129,3,27,37,2,229,438
24070,"Sherbrooke/Sherbrooke"," 62","Fleurimont",23,99,1,22,26,3,174,295
24070,"Sherbrooke/Sherbrooke"," 62-1","Fleurimont",23,115,1,25,32,3,199,383
24070,"Sherbrooke/Sherbrooke"," 63","Fleurimont",25,139,3,36,55,0,258,453
24070,"Sherbrooke/Sherbrooke"," 64","Fleurimont",36,110,0,30,24,1,201,400
24070,"Sherbrooke/Sherbrooke"," 65","Fleurimont",29,84,2,21,22,3,161,402
24070,"Sherbrooke/Sherbrooke"," 66","Fleurimont",47,141,3,36,36,3,266,533
24070,"Sherbrooke/Sherbrooke"," 67","Fleurimont",59,208,1,61,55,9,393,681
24070,"Sherbrooke/Sherbrooke"," 67-1","Fleurimont",18,74,0,22,27,4,145,308
24070,"Sherbrooke/Sherbrooke"," 68","Fleurimont",Void/Supprimé,,,,,,,
24070,"Sherbrooke/Sherbrooke"," 69","Fleurimont",34,61,0,21,21,1,138,236
24070,"Sherbrooke/Sherbrooke"," 69-1","Fleurimont",69,163,0,52,48,1,333,563
24070,"Sherbrooke/Sherbrooke"," 70","Fleurimont",32,171,0,39,37,4,283,521
24070,"Sherbrooke/Sherbrooke"," 71","Fleurimont",42,120,0,40,23,4,229,398
24070,"Sherbrooke/Sherbrooke"," 72","Fleurimont",43,143,0,48,28,1,263,441
24070,"Sherbrooke/Sherbrooke"," 73","Fleurimont",34,100,2,36,31,0,203,354
24070,"Sherbrooke/Sherbrooke"," 74","Fleurimont",43,110,2,25,24,4,208,428
24070,"Sherbrooke/Sherbrooke"," 75","Fleurimont",35,132,0,38,36,2,243,409
24070,"Sherbrooke/Sherbrooke"," 76","Fleurimont",49,152,3,71,56,3,334,578
24070,"Sherbrooke/Sherbrooke"," 77","Fleurimont",31,122,2,30,25,4,214,373
24070,"Sherbrooke/Sherbrooke"," 78","Fleurimont",29,143,2,53,39,3,269,379
24070,"Sherbrooke/Sherbrooke"," 78-1","Fleurimont",41,154,4,34,33,4,270,389
24070,"Sherbrooke/Sherbrooke"," 79","Fleurimont",48,183,4,51,49,3,338,559
24070,"Sherbrooke/Sherbrooke"," 80","Fleurimont",26,112,2,38,30,4,212,308
24070,"Sherbrooke/Sherbrooke"," 80-1","Fleurimont",30,186,3,41,39,2,301,425
24070,"Sherbrooke/Sherbrooke"," 81","Fleurimont",49,197,2,77,62,3,390,587
24070,"Sherbrooke/Sherbrooke"," 82","Fleurimont",Void/Supprimé,,,,,,,
24070,"Sherbrooke/Sherbrooke"," 83","Fleurimont",79,184,2,68,53,9,395,571
24070,"Sherbrooke/Sherbrooke"," 84","Sherbrooke",45,80,1,41,25,1,193,346
24070,"Sherbrooke/Sherbrooke"," 85","Sherbrooke",29,146,0,38,37,0,250,404
24070,"Sherbrooke/Sherbrooke"," 86","Sherbrooke",20,119,4,25,27,2,197,401
24070,"Sherbrooke/Sherbrooke"," 87A","Sherbrooke",5,29,0,6,4,0,44,169
24070,"Sherbrooke/Sherbrooke"," 87B","Mobile poll/Bureau itinérant",Merged with No. 505/Fusionné avec le nº 505,,,,,,,93
24070,"Sherbrooke/Sherbrooke"," 88","Sherbrooke",10,80,2,13,24,3,132,276
24070,"Sherbrooke/Sherbrooke"," 89","Sherbrooke",20,71,0,23,30,4,148,363
24070,"Sherbrooke/Sherbrooke"," 90","Sherbrooke",33,98,2,40,28,2,203,323
24070,"Sherbrooke/Sherbrooke"," 91","Sherbrooke",35,71,4,26,26,0,162,342
24070,"Sherbrooke/Sherbrooke"," 92","Sherbrooke",24,88,0,20,33,4,169,442
24070,"Sherbrooke/Sherbrooke"," 93","Sherbrooke",16,62,2,19,14,2,115,306
24070,"Sherbrooke/Sherbrooke"," 94","Sherbrooke",18,76,1,10,26,0,131,304
24070,"Sherbrooke/Sherbrooke"," 95","Sherbrooke",14,79,0,22,10,1,126,337
24070,"Sherbrooke/Sherbrooke"," 96","Sherbrooke",16,111,7,21,17,3,175,383
24070,"Sherbrooke/Sherbrooke"," 97","Sherbrooke",27,86,2,22,21,1,159,372
24070,"Sherbrooke/Sherbrooke"," 98","Sherbrooke",14,61,1,18,14,1,109,300
24070,"Sherbrooke/Sherbrooke"," 99","Sherbrooke",25,107,3,30,21,2,188,417
24070,"Sherbrooke/Sherbrooke"," 100","Sherbrooke",50,145,0,49,28,1,273,396
24070,"Sherbrooke/Sherbrooke"," 101","Sherbrooke",31,83,0,23,22,4,163,430
24070,"Sherbrooke/Sherbrooke"," 102","Sherbrooke",31,118,0,39,29,6,223,481
24070,"Sherbrooke/Sherbrooke"," 103","Sherbrooke",Void/Supprimé,,,,,,,
24070,"Sherbrooke/Sherbrooke"," 104","Sherbrooke",26,144,2,34,32,6,244,557
24070,"Sherbrooke/Sherbrooke"," 105","Sherbrooke",26,108,3,38,30,2,207,340
24070,"Sherbrooke/Sherbrooke"," 106","Sherbrooke",22,101,0,35,23,2,183,350
24070,"Sherbrooke/Sherbrooke"," 107","Sherbrooke",27,116,3,56,30,0,232,431
24070,"Sherbrooke/Sherbrooke"," 108","Sherbrooke",21,123,1,57,28,3,233,426
24070,"Sherbrooke/Sherbrooke"," 109","Sherbrooke",11,83,3,17,18,0,132,341
24070,"Sherbrooke/Sherbrooke"," 110","Sherbrooke",6,101,1,31,31,2,172,306
24070,"Sherbrooke/Sherbrooke"," 111","Sherbrooke",15,105,1,48,35,6,210,354
24070,"Sherbrooke/Sherbrooke"," 112","Sherbrooke",10,128,1,44,34,3,220,409
24070,"Sherbrooke/Sherbrooke"," 113","Sherbrooke",20,77,2,35,23,2,159,386
24070,"Sherbrooke/Sherbrooke"," 114","Sherbrooke",13,86,4,25,25,0,153,281
24070,"Sherbrooke/Sherbrooke"," 115","Sherbrooke",14,109,2,20,33,2,180,335
24070,"Sherbrooke/Sherbrooke"," 116","Sherbrooke",9,77,1,24,34,2,147,302
24070,"Sherbrooke/Sherbrooke"," 117","Sherbrooke",9,89,1,27,31,1,158,282
24070,"Sherbrooke/Sherbrooke"," 118","Sherbrooke",18,67,3,24,14,1,127,316
24070,"Sherbrooke/Sherbrooke"," 119","Sherbrooke",15,89,2,23,28,3,160,402
24070,"Sherbrooke/Sherbrooke"," 120","Sherbrooke",10,102,3,20,25,3,163,340
24070,"Sherbrooke/Sherbrooke"," 121","Sherbrooke",15,76,5,22,23,2,143,366
24070,"Sherbrooke/Sherbrooke"," 122","Sherbrooke",15,101,5,24,43,2,190,459
24070,"Sherbrooke/Sherbrooke"," 123","Sherbrooke",13,85,9,12,24,4,147,400
24070,"Sherbrooke/Sherbrooke"," 124","Sherbrooke",17,87,1,18,20,1,144,324
24070,"Sherbrooke/Sherbrooke"," 125","Sherbrooke",32,95,2,52,30,3,214,440
24070,"Sherbrooke/Sherbrooke"," 126","Sherbrooke",11,93,1,25,22,6,158,329
24070,"Sherbrooke/Sherbrooke"," 127","Sherbrooke",10,90,3,11,23,1,138,378
24070,"Sherbrooke/Sherbrooke"," 128","Sherbrooke",31,91,1,40,37,4,204,355
24070,"Sherbrooke/Sherbrooke"," 129","Sherbrooke",22,87,2,24,33,1,169,327
24070,"Sherbrooke/Sherbrooke"," 130","Sherbrooke",22,94,2,34,24,4,180,359
24070,"Sherbrooke/Sherbrooke"," 131","Sherbrooke",35,96,1,25,25,0,182,353
24070,"Sherbrooke/Sherbrooke"," 132","Sherbrooke",20,84,0,23,18,1,146,306
24070,"Sherbrooke/Sherbrooke"," 133","Sherbrooke",24,82,1,30,13,2,152,309
24070,"Sherbrooke/Sherbrooke"," 134","Sherbrooke",27,46,1,27,14,4,119,329
24070,"Sherbrooke/Sherbrooke"," 135","Sherbrooke",22,69,0,17,18,0,126,305
24070,"Sherbrooke/Sherbrooke"," 136","Sherbrooke",19,56,1,31,13,0,120,219
24070,"Sherbrooke/Sherbrooke"," 137","Sherbrooke",21,90,5,50,19,2,187,429
24070,"Sherbrooke/Sherbrooke"," 138","Sherbrooke",21,57,2,16,11,0,107,301
24070,"Sherbrooke/Sherbrooke"," 139","Sherbrooke",27,106,3,30,26,1,193,335
24070,"Sherbrooke/Sherbrooke"," 140","Sherbrooke",33,118,0,38,47,2,238,546
24070,"Sherbrooke/Sherbrooke"," 141","Sherbrooke",21,79,2,26,24,5,157,384
24070,"Sherbrooke/Sherbrooke"," 142","Sherbrooke",24,117,1,31,36,1,210,410
24070,"Sherbrooke/Sherbrooke"," 143","Sherbrooke",39,113,2,43,31,1,229,360
24070,"Sherbrooke/Sherbrooke"," 144A","Sherbrooke",17,37,4,19,9,1,87,286
24070,"Sherbrooke/Sherbrooke"," 144B","Mobile poll/Bureau itinérant",Merged with No. 509B/Fusionné avec le nº 509B,,,,,,,25
24070,"Sherbrooke/Sherbrooke"," 145","Sherbrooke",15,81,0,26,16,0,138,293
24070,"Sherbrooke/Sherbrooke"," 146","Sherbrooke",34,88,4,39,27,2,194,350
24070,"Sherbrooke/Sherbrooke"," 147","Sherbrooke",27,106,0,45,27,3,208,385
24070,"Sherbrooke/Sherbrooke"," 148","Sherbrooke",35,101,1,29,22,4,192,407
24070,"Sherbrooke/Sherbrooke"," 149","Sherbrooke",32,75,0,67,25,1,200,314
24070,"Sherbrooke/Sherbrooke"," 150","Sherbrooke",46,132,3,34,45,1,261,441
24070,"Sherbrooke/Sherbrooke"," 151","Sherbrooke",24,88,0,49,27,5,193,315
24070,"Sherbrooke/Sherbrooke"," 152","Sherbrooke",60,128,1,54,36,0,279,440
24070,"Sherbrooke/Sherbrooke"," 153","Sherbrooke",53,118,1,35,36,6,249,392
24070,"Sherbrooke/Sherbrooke"," 154","Sherbrooke",19,94,2,28,33,4,180,310
24070,"Sherbrooke/Sherbrooke"," 155","Sherbrooke",13,131,1,22,22,5,194,338
24070,"Sherbrooke/Sherbrooke"," 156","Sherbrooke",12,87,2,18,20,4,143,316
24070,"Sherbrooke/Sherbrooke"," 157","Sherbrooke",20,110,3,28,31,4,196,327
24070,"Sherbrooke/Sherbrooke"," 158","Sherbrooke",13,99,5,19,22,3,161,303
24070,"Sherbrooke/Sherbrooke"," 159","Sherbrooke",26,65,2,39,22,4,158,288
24070,"Sherbrooke/Sherbrooke"," 160","Sherbrooke",10,56,1,20,15,3,105,312
24070,"Sherbrooke/Sherbrooke"," 161","Sherbrooke",15,136,4,11,32,2,200,401
24070,"Sherbrooke/Sherbrooke"," 162","Sherbrooke",15,92,2,31,33,2,175,386
24070,"Sherbrooke/Sherbrooke"," 163","Sherbrooke",24,97,3,28,28,0,180,407
24070,"Sherbrooke/Sherbrooke"," 164","Sherbrooke",31,127,3,30,21,2,214,345
24070,"Sherbrooke/Sherbrooke"," 165","Sherbrooke",24,100,1,27,30,4,186,310
24070,"Sherbrooke/Sherbrooke"," 166","Sherbrooke",26,96,3,30,26,1,182,377
24070,"Sherbrooke/Sherbrooke"," 167","Sherbrooke",20,80,1,23,16,3,143,430
24070,"Sherbrooke/Sherbrooke"," 168","Sherbrooke",13,80,1,18,9,2,123,304
24070,"Sherbrooke/Sherbrooke"," 169","Sherbrooke",18,95,3,12,23,0,151,331
24070,"Sherbrooke/Sherbrooke"," 170","Sherbrooke",14,117,1,24,29,3,188,308
24070,"Sherbrooke/Sherbrooke"," 171","Sherbrooke",16,95,1,22,24,5,163,339
24070,"Sherbrooke/Sherbrooke"," 172","Sherbrooke",19,89,4,33,28,5,178,358
24070,"Sherbrooke/Sherbrooke"," 173","Sherbrooke",12,106,4,27,19,3,171,354
24070,"Sherbrooke/Sherbrooke"," 174","Sherbrooke",41,131,1,45,48,7,273,576
24070,"Sherbrooke/Sherbrooke"," 175","Sherbrooke",23,61,2,21,11,0,118,231
24070,"Sherbrooke/Sherbrooke"," 176","Sherbrooke",4,49,0,13,31,3,100,241
24070,"Sherbrooke/Sherbrooke"," 177","Sherbrooke",46,133,5,45,37,2,268,464
24070,"Sherbrooke/Sherbrooke"," 178","Sherbrooke",58,122,3,43,40,3,269,380
24070,"Sherbrooke/Sherbrooke"," 179","Sherbrooke",32,113,2,54,28,3,232,325
24070,"Sherbrooke/Sherbrooke"," 180","Sherbrooke",16,116,2,39,29,4,206,324
24070,"Sherbrooke/Sherbrooke"," 181","Sherbrooke",12,130,2,40,38,1,223,373
24070,"Sherbrooke/Sherbrooke"," 182","Sherbrooke",9,98,0,24,24,3,158,265
24070,"Sherbrooke/Sherbrooke"," 183","Sherbrooke",28,100,2,43,30,2,205,319
24070,"Sherbrooke/Sherbrooke"," 184","Sherbrooke",18,122,1,52,9,2,204,356
24070,"Sherbrooke/Sherbrooke"," 185","Sherbrooke",26,129,1,39,27,3,225,331
24070,"Sherbrooke/Sherbrooke"," 186","Sherbrooke",16,92,3,48,46,7,212,391
24070,"Sherbrooke/Sherbrooke"," 187","Sherbrooke",23,110,3,36,28,1,201,293
24070,"Sherbrooke/Sherbrooke"," 188","Sherbrooke",12,77,1,37,30,1,158,303
24070,"Sherbrooke/Sherbrooke"," 189","Sherbrooke",24,114,2,21,43,6,210,353
24070,"Sherbrooke/Sherbrooke"," 190","Sherbrooke",6,32,1,13,21,3,76,397
24070,"Sherbrooke/Sherbrooke"," 191","Sherbrooke",14,92,4,27,26,2,165,305
24070,"Sherbrooke/Sherbrooke"," 192","Sherbrooke",19,121,3,26,23,6,198,356
24070,"Sherbrooke/Sherbrooke"," 193","Sherbrooke",31,99,0,47,27,2,206,428
24070,"Sherbrooke/Sherbrooke"," 194","Sherbrooke",15,88,3,26,20,3,155,304
24070,"Sherbrooke/Sherbrooke"," 195","Sherbrooke",18,87,1,25,35,1,167,346
24070,"Sherbrooke/Sherbrooke"," 196","Sherbrooke",21,68,1,20,23,4,137,293
24070,"Sherbrooke/Sherbrooke"," 197","Sherbrooke",20,77,1,33,50,1,182,333
24070,"Sherbrooke/Sherbrooke"," 400","Sherbrooke",7,10,3,8,1,2,31,148
24070,"Sherbrooke/Sherbrooke"," 401","Sherbrooke",6,11,1,8,3,1,30,208
24070,"Sherbrooke/Sherbrooke"," 402","Sherbrooke",9,14,2,21,2,3,51,296
24070,"Sherbrooke/Sherbrooke"," 403","Sherbrooke",39,43,1,50,4,2,139,200
24070,"Sherbrooke/Sherbrooke"," 404","Sherbrooke",95,79,2,77,9,4,266,420
24070,"Sherbrooke/Sherbrooke"," 405","Sherbrooke",33,46,0,43,8,2,132,146
24070,"Sherbrooke/Sherbrooke"," 500","Mobile poll/Bureau itinérant",64,48,2,80,9,7,210,262
24070,"Sherbrooke/Sherbrooke"," 501","Mobile poll/Bureau itinérant",23,24,1,48,4,4,104,219
24070,"Sherbrooke/Sherbrooke"," 502","Mobile poll/Bureau itinérant",36,18,4,18,3,1,80,119
24070,"Sherbrooke/Sherbrooke"," 503","Mobile poll/Bureau itinérant",22,30,4,20,8,1,85,164
24070,"Sherbrooke/Sherbrooke"," 504","Mobile poll/Bureau itinérant",18,29,0,8,2,1,58,119
24070,"Sherbrooke/Sherbrooke"," 505","Mobile poll/Bureau itinérant",38,65,3,59,7,3,175,152
24070,"Sherbrooke/Sherbrooke"," 506","Mobile poll/Bureau itinérant",36,57,3,34,5,4,139,202
24070,"Sherbrooke/Sherbrooke"," 507","Mobile poll/Bureau itinérant",20,43,0,45,3,0,111,153
24070,"Sherbrooke/Sherbrooke"," 508","Mobile poll/Bureau itinérant",13,20,0,13,3,2,51,62
24070,"Sherbrooke/Sherbrooke"," 509A","Mobile poll/Bureau itinérant",14,15,0,20,2,5,56,99
24070,"Sherbrooke/Sherbrooke"," 509B","Mobile poll/Bureau itinérant",7,13,1,4,3,2,30,17
24070,"Sherbrooke/Sherbrooke"," 600","Brompton--Bromptonville",92,218,1,57,31,1,400,
24070,"Sherbrooke/Sherbrooke"," 601","Sherbrooke",171,257,5,160,69,7,669,
24070,"Sherbrooke/Sherbrooke"," 602","Sherbrooke",207,204,4,129,35,4,583,
24070,"Sherbrooke/Sherbrooke"," 603","Sherbrooke",237,413,2,217,70,3,942,
24070,"Sherbrooke/Sherbrooke"," 604","Fleurimont",102,270,3,86,47,3,511,
24070,"Sherbrooke/Sherbrooke"," 605","Fleurimont",100,245,1,91,31,4,472,
24070,"Sherbrooke/Sherbrooke"," 606","Sherbrooke",182,304,3,97,33,7,626,
24070,"Sherbrooke/Sherbrooke"," 607","Sherbrooke",119,227,6,103,38,3,496,
24070,"Sherbrooke/Sherbrooke"," 608","Sherbrooke",107,222,1,91,25,6,452,
24070,"Sherbrooke/Sherbrooke"," 609","Sherbrooke",97,185,2,92,35,2,413,
24070,"Sherbrooke/Sherbrooke"," 610","Sherbrooke",51,161,1,56,22,5,296,
24070,"Sherbrooke/Sherbrooke"," 611","Sherbrooke",124,298,5,137,44,9,617,
24070,"Sherbrooke/Sherbrooke",,Group 1/Groupe 1,67,64,2,32,5,4,174,322
24070,"Sherbrooke/Sherbrooke",,Group 2/Groupe 2,320,475,12,320,109,17,1253,

