Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Mark Corbiere,Jason Cousineau,Kyle James Huntingdon,Cindy Jacobsen,Cathy MacLellan,Ramon Portillo,Andrew Telegdi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1","Waterloo",66,0,2,0,32,19,1,87,0,207,371
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-1","Waterloo",52,0,4,0,37,35,1,89,0,218,432
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-2","Waterloo",114,1,1,0,21,22,0,103,2,264,469
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-3","Waterloo",49,1,2,0,42,22,0,98,0,214,425
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-4","Waterloo",84,0,4,0,46,29,2,109,0,274,531
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 1-5","Waterloo",126,0,5,1,36,28,1,96,2,295,591
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 2","Waterloo",92,0,1,0,25,30,2,100,0,250,424
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 3","Waterloo",144,0,1,0,29,22,3,135,0,334,545
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 3-1","Waterloo",98,0,0,0,28,27,0,86,0,239,392
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 4","Waterloo",98,0,4,0,35,24,0,96,2,259,423
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 5","Waterloo",169,0,3,1,23,29,0,177,0,402,637
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 6","Waterloo",92,0,0,0,19,17,0,94,4,226,380
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7","Waterloo",63,0,2,1,42,37,1,72,2,220,439
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7-1","Waterloo",95,0,0,0,26,32,0,91,0,244,470
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7-2","Waterloo",115,0,1,0,18,15,0,107,1,257,477
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 7-3","Waterloo",87,0,0,0,20,19,0,78,1,205,429
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 8","Waterloo",60,0,1,0,27,15,1,56,0,160,397
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 8-1","Waterloo",85,0,5,0,47,27,2,71,0,237,510
35039,"Kitchener--Waterloo/Kitchener--Waterloo"," 9","Waterloo",45,2,3,0,30,11,0,43,1,135,399
