Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Beaudin,Daniel Breton,Christian P. Feuillette,Darryl Gray,Véronik Sansoucy,Thierry St-Cyr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 1A","Montréal",20,29,85,2,12,33,0,181,424
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 1B","Montréal",53,35,127,2,13,30,1,261,621
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 1-1","Montréal",19,29,88,0,7,53,1,197,278
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 2","Montréal",16,60,57,5,13,80,1,232,506
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 3","Montréal",35,21,89,2,10,54,0,211,412
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 4A","Montréal",18,26,82,1,17,53,0,197,366
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 4B","Montréal",22,21,89,5,5,23,2,167,356
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 5","Montréal",38,57,123,13,23,55,0,309,665
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 6","Montréal",25,33,104,29,4,18,3,216,505
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 7","Montréal",12,25,118,32,9,23,1,220,555
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 8","Montréal",35,35,103,10,20,40,1,244,465
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 9","Montréal",32,22,97,16,2,29,3,201,508
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 10","Montréal",61,36,120,2,12,61,0,292,507
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 11","Montréal",24,36,121,9,7,39,1,237,561
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 12","Montréal",15,30,113,21,14,39,2,234,521
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 13","Montréal",19,27,93,9,14,28,0,190,476
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 14","Montréal",20,58,79,13,11,47,2,230,472
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 15","Montréal",31,28,126,10,10,58,2,265,516
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 16","Montréal",29,34,150,3,11,76,0,303,558
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 17","Montréal",27,42,120,6,15,60,0,270,570
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 18","Montréal",22,30,93,1,8,66,1,221,489
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 19","Montréal",16,35,66,7,13,62,5,204,354
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 20","Montréal",18,30,67,11,12,54,0,192,327
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 21","Montréal",21,46,80,8,22,84,4,265,468
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 22","Montréal",19,39,78,5,13,62,2,218,419
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 23","Montréal",16,36,42,3,11,87,6,201,355
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 24","Montréal",21,26,64,3,5,77,3,199,424
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 25","Montréal",21,27,44,1,10,112,4,219,465
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 26","Montréal",10,30,45,3,6,60,6,160,306
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 27","Montréal",12,21,41,3,8,31,1,117,290
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 28","Montréal",10,34,38,1,9,76,2,170,378
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 29","Montréal",14,55,52,3,12,64,2,202,394
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 30","Montréal",13,35,34,3,12,53,0,150,328
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 31","Montréal",16,54,62,5,13,98,2,250,496
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 32","Montréal",6,45,40,1,10,40,4,146,324
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 33","Montréal",14,37,71,5,11,47,5,190,474
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 34","Montréal",19,23,64,6,15,55,8,190,331
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 35","Montréal",13,20,46,4,10,54,2,149,299
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 36","Montréal",15,32,47,5,11,54,2,166,331
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 37","Montréal",13,30,57,7,11,58,3,179,362
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 38","Montréal",11,44,59,2,15,65,2,198,364
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 39","Montréal",18,33,40,1,10,100,6,208,384
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 40","Montréal",18,43,43,2,12,85,2,205,376
24024,"Jeanne-Le Ber/Jeanne-Le Ber"," 41","Montréal",13,32,59,2,19,100,6,231,493
