Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Dewar,Sylvia Gerl,Vicki Gunn,Judith Moses,Paul Pisani,Peter Van Loan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"York--Simcoe/York--Simcoe"," 1A","Innisfil",11,11,2,28,2,56,0,110,268
35104,"York--Simcoe/York--Simcoe"," 1B","Innisfil",13,17,1,34,1,61,0,127,255
35104,"York--Simcoe/York--Simcoe"," 2","Innisfil",28,27,1,50,7,133,1,247,518
35104,"York--Simcoe/York--Simcoe"," 3","Innisfil",39,30,4,28,2,118,1,222,440
35104,"York--Simcoe/York--Simcoe"," 4","Innisfil",27,34,0,37,4,137,1,240,451
35104,"York--Simcoe/York--Simcoe"," 5","Innisfil",26,31,0,46,4,103,0,210,470
35104,"York--Simcoe/York--Simcoe"," 6","Innisfil",Merged with No. 12/Fusionné avec le nº 12,,,,,,,,106
35104,"York--Simcoe/York--Simcoe"," 7","Innisfil",15,23,0,41,5,142,1,227,318
35104,"York--Simcoe/York--Simcoe"," 8","Innisfil",11,8,0,32,0,144,0,195,277
35104,"York--Simcoe/York--Simcoe"," 9","Innisfil",16,31,2,44,2,112,2,209,315
35104,"York--Simcoe/York--Simcoe"," 10","Innisfil",10,33,1,37,3,163,0,247,395
35104,"York--Simcoe/York--Simcoe"," 11","Innisfil",17,23,0,51,0,170,0,261,402
35104,"York--Simcoe/York--Simcoe"," 12","Innisfil",17,19,2,24,1,82,0,145,223
35104,"York--Simcoe/York--Simcoe"," 13","Innisfil",29,27,1,69,5,146,0,277,531
35104,"York--Simcoe/York--Simcoe"," 14","Innisfil",21,38,2,38,2,131,0,232,451
35104,"York--Simcoe/York--Simcoe"," 15","Innisfil",23,33,0,33,7,165,2,263,500
35104,"York--Simcoe/York--Simcoe"," 16","Innisfil",25,23,0,46,4,122,0,220,416
35104,"York--Simcoe/York--Simcoe"," 17","Innisfil",39,26,4,30,9,138,2,248,497
35104,"York--Simcoe/York--Simcoe"," 18A","Innisfil",13,13,1,22,1,70,0,120,286
35104,"York--Simcoe/York--Simcoe"," 18B","Innisfil",6,12,2,34,2,65,1,122,278
35104,"York--Simcoe/York--Simcoe"," 19","Innisfil",14,15,2,19,3,90,0,143,323
35104,"York--Simcoe/York--Simcoe"," 20A","Innisfil",10,9,2,27,0,83,0,131,279
35104,"York--Simcoe/York--Simcoe"," 20B","Innisfil",10,14,1,24,0,95,1,145,258
35104,"York--Simcoe/York--Simcoe"," 21","Innisfil",32,22,5,43,0,113,0,215,368
35104,"York--Simcoe/York--Simcoe"," 22","Innisfil",19,29,3,45,6,154,0,256,507
35104,"York--Simcoe/York--Simcoe"," 23A","Innisfil",18,14,2,28,3,96,0,161,310
35104,"York--Simcoe/York--Simcoe"," 23B","Innisfil",18,21,2,21,4,85,1,152,274
35104,"York--Simcoe/York--Simcoe"," 24","Innisfil",26,16,3,38,4,116,1,204,330
35104,"York--Simcoe/York--Simcoe"," 25","Innisfil",28,31,1,38,1,115,3,217,479
35104,"York--Simcoe/York--Simcoe"," 26","Innisfil",17,20,1,24,3,98,0,163,360
35104,"York--Simcoe/York--Simcoe"," 27","Innisfil",17,20,0,15,3,70,0,125,271
35104,"York--Simcoe/York--Simcoe"," 28","Innisfil",23,30,0,20,1,98,1,173,378
35104,"York--Simcoe/York--Simcoe"," 29","Innisfil",17,25,2,29,2,100,0,175,336
35104,"York--Simcoe/York--Simcoe"," 30","Innisfil",23,8,0,18,2,74,0,125,329
35104,"York--Simcoe/York--Simcoe"," 31","Innisfil",16,35,2,24,0,60,0,137,353
35104,"York--Simcoe/York--Simcoe"," 32","Innisfil",18,28,0,30,1,96,0,173,435
35104,"York--Simcoe/York--Simcoe"," 33","Innisfil",10,29,1,21,2,84,2,149,339
35104,"York--Simcoe/York--Simcoe"," 34","Innisfil",12,34,2,18,2,101,0,169,354
35104,"York--Simcoe/York--Simcoe"," 35","Innisfil",14,31,0,24,0,112,0,181,353
35104,"York--Simcoe/York--Simcoe"," 36","Innisfil",8,31,1,22,2,54,0,118,288
35104,"York--Simcoe/York--Simcoe"," 37","Innisfil",28,34,0,25,3,88,2,180,454
35104,"York--Simcoe/York--Simcoe"," 38","Innisfil",19,32,2,31,3,89,1,177,431
35104,"York--Simcoe/York--Simcoe"," 39","Innisfil",26,47,0,40,4,146,0,263,505
35104,"York--Simcoe/York--Simcoe"," 40","Innisfil",29,33,0,27,3,119,0,211,397
35104,"York--Simcoe/York--Simcoe"," 41","Innisfil",19,33,5,30,2,121,1,211,473
35104,"York--Simcoe/York--Simcoe"," 41-1","Innisfil",18,24,0,23,0,106,0,171,400
35104,"York--Simcoe/York--Simcoe"," 41-2","Innisfil",26,41,4,36,5,121,0,233,551
35104,"York--Simcoe/York--Simcoe"," 42","Innisfil",18,18,0,32,1,122,1,192,394
35104,"York--Simcoe/York--Simcoe"," 43","Innisfil",23,33,2,30,1,88,0,177,325
35104,"York--Simcoe/York--Simcoe"," 44","Innisfil",11,11,2,29,1,80,3,137,269
35104,"York--Simcoe/York--Simcoe"," 44-1","Innisfil",13,26,0,27,2,104,1,173,365
35104,"York--Simcoe/York--Simcoe"," 44-2","Innisfil",31,31,7,39,4,152,2,266,527
35104,"York--Simcoe/York--Simcoe"," 45","Innisfil",42,45,4,35,2,108,1,237,492
35104,"York--Simcoe/York--Simcoe"," 46","Innisfil",31,46,1,29,0,108,0,215,451
35104,"York--Simcoe/York--Simcoe"," 47","Innisfil",29,29,2,39,1,131,3,234,477
35104,"York--Simcoe/York--Simcoe"," 48","Innisfil",16,17,1,46,4,155,0,239,507
35104,"York--Simcoe/York--Simcoe"," 49","Innisfil",13,29,5,47,2,138,0,234,474
35104,"York--Simcoe/York--Simcoe"," 50","Innisfil",25,27,2,49,1,135,0,239,475
35104,"York--Simcoe/York--Simcoe"," 51","Innisfil",19,12,1,27,1,90,0,150,336
35104,"York--Simcoe/York--Simcoe"," 52","Bradford West Gwillimbury",20,18,1,49,3,120,0,211,377
35104,"York--Simcoe/York--Simcoe"," 53","Bradford West Gwillimbury",20,26,3,51,6,133,2,241,516
35104,"York--Simcoe/York--Simcoe"," 53-1","Bradford West Gwillimbury",26,24,1,58,6,137,1,253,508
35104,"York--Simcoe/York--Simcoe"," 54","Bradford West Gwillimbury",16,26,0,48,12,138,1,241,526
35104,"York--Simcoe/York--Simcoe"," 54-1","Bradford West Gwillimbury",10,6,1,29,3,85,2,136,285
35104,"York--Simcoe/York--Simcoe"," 55","Bradford West Gwillimbury",11,31,2,46,2,95,2,189,429
35104,"York--Simcoe/York--Simcoe"," 56","Bradford West Gwillimbury",12,25,0,68,5,131,4,245,473
35104,"York--Simcoe/York--Simcoe"," 57","Bradford West Gwillimbury",25,20,3,41,4,135,0,228,425
35104,"York--Simcoe/York--Simcoe"," 58","Bradford West Gwillimbury",21,34,4,65,3,136,2,265,522
35104,"York--Simcoe/York--Simcoe"," 59A","Bradford West Gwillimbury",9,8,1,34,1,88,0,141,297
35104,"York--Simcoe/York--Simcoe"," 59B","Bradford West Gwillimbury",9,13,2,21,3,70,0,118,259
35104,"York--Simcoe/York--Simcoe"," 60","Bradford West Gwillimbury",20,32,5,36,1,102,0,196,454
35104,"York--Simcoe/York--Simcoe"," 61","Bradford West Gwillimbury",11,24,1,36,0,61,0,133,394
35104,"York--Simcoe/York--Simcoe"," 62","Bradford West Gwillimbury",21,20,0,64,5,104,0,214,401
35104,"York--Simcoe/York--Simcoe"," 63","Bradford West Gwillimbury",10,19,2,62,2,112,0,207,428
35104,"York--Simcoe/York--Simcoe"," 64","Bradford West Gwillimbury",30,25,3,59,7,134,2,260,507
35104,"York--Simcoe/York--Simcoe"," 65","Bradford West Gwillimbury",26,43,4,53,1,126,2,255,521
35104,"York--Simcoe/York--Simcoe"," 66","Bradford West Gwillimbury",16,38,1,31,3,84,1,174,374
35104,"York--Simcoe/York--Simcoe"," 67","Bradford West Gwillimbury",30,24,1,57,2,112,0,226,438
35104,"York--Simcoe/York--Simcoe"," 68","Bradford West Gwillimbury",11,18,5,74,1,124,1,234,445
35104,"York--Simcoe/York--Simcoe"," 68-1A","Bradford West Gwillimbury",13,21,0,51,4,99,0,188,416
35104,"York--Simcoe/York--Simcoe"," 68-1B","Bradford West Gwillimbury",23,39,3,43,1,122,0,231,438
35104,"York--Simcoe/York--Simcoe"," 68-2","Bradford West Gwillimbury",7,6,1,32,4,69,1,120,270
35104,"York--Simcoe/York--Simcoe"," 68-3","Bradford West Gwillimbury",9,12,1,38,1,79,0,140,382
35104,"York--Simcoe/York--Simcoe"," 69","Bradford West Gwillimbury",14,11,21,37,1,120,1,205,409
35104,"York--Simcoe/York--Simcoe"," 70","Bradford West Gwillimbury",11,14,4,23,1,57,0,110,261
35104,"York--Simcoe/York--Simcoe"," 71","Bradford West Gwillimbury",23,11,7,52,5,139,3,240,463
35104,"York--Simcoe/York--Simcoe"," 72","Bradford West Gwillimbury",21,38,0,64,3,137,0,263,498
35104,"York--Simcoe/York--Simcoe"," 73A","Bradford West Gwillimbury",16,13,0,33,2,82,0,146,284
35104,"York--Simcoe/York--Simcoe"," 73B","Bradford West Gwillimbury",14,15,0,27,3,95,1,155,283
35104,"York--Simcoe/York--Simcoe"," 74","Bradford West Gwillimbury",17,32,3,69,9,136,5,271,511
35104,"York--Simcoe/York--Simcoe"," 75","Bradford West Gwillimbury",12,32,2,33,1,64,2,146,314
35104,"York--Simcoe/York--Simcoe"," 75-1","Bradford West Gwillimbury",7,18,0,44,2,64,1,136,270
35104,"York--Simcoe/York--Simcoe"," 76","Bradford West Gwillimbury",18,30,1,48,2,115,0,214,406
35104,"York--Simcoe/York--Simcoe"," 77","Bradford West Gwillimbury",21,18,0,52,3,117,0,211,416
35104,"York--Simcoe/York--Simcoe"," 78","Bradford West Gwillimbury",17,33,0,37,2,106,0,195,536
35104,"York--Simcoe/York--Simcoe"," 79","Bradford West Gwillimbury",14,19,0,29,1,66,1,130,301
35104,"York--Simcoe/York--Simcoe"," 80","Bradford West Gwillimbury",26,29,2,28,3,75,0,163,407
35104,"York--Simcoe/York--Simcoe"," 81","Bradford West Gwillimbury",14,33,2,66,2,103,2,222,484
35104,"York--Simcoe/York--Simcoe"," 82","Bradford West Gwillimbury",21,26,5,30,5,73,0,160,517
35104,"York--Simcoe/York--Simcoe"," 83","Bradford West Gwillimbury",12,19,2,61,2,108,3,207,426
35104,"York--Simcoe/York--Simcoe"," 84","King",12,22,10,26,3,87,1,161,296
35104,"York--Simcoe/York--Simcoe"," 85","King",14,18,14,25,1,119,0,191,328
35104,"York--Simcoe/York--Simcoe"," 86","King",22,23,5,42,7,132,1,232,387
35104,"York--Simcoe/York--Simcoe"," 87","East Gwillimbury",36,17,0,25,4,88,2,172,366
35104,"York--Simcoe/York--Simcoe"," 88","East Gwillimbury",30,17,2,46,5,114,1,215,477
35104,"York--Simcoe/York--Simcoe"," 89","East Gwillimbury",6,7,3,25,5,77,1,124,280
35104,"York--Simcoe/York--Simcoe"," 90","East Gwillimbury",31,22,2,48,2,101,0,206,430
35104,"York--Simcoe/York--Simcoe"," 91","East Gwillimbury",19,28,3,32,3,112,1,198,370
35104,"York--Simcoe/York--Simcoe"," 92","East Gwillimbury",29,21,2,43,4,138,1,238,435
35104,"York--Simcoe/York--Simcoe"," 93","East Gwillimbury",32,23,6,44,4,163,1,273,494
35104,"York--Simcoe/York--Simcoe"," 94","East Gwillimbury",27,31,4,24,3,131,0,220,426
35104,"York--Simcoe/York--Simcoe"," 95","East Gwillimbury",14,11,2,34,3,128,3,195,403
35104,"York--Simcoe/York--Simcoe"," 96","East Gwillimbury",28,21,1,50,0,87,0,187,345
35104,"York--Simcoe/York--Simcoe"," 97","East Gwillimbury",20,27,3,61,7,160,1,279,463
35104,"York--Simcoe/York--Simcoe"," 98A","East Gwillimbury",10,13,3,27,2,92,3,150,275
35104,"York--Simcoe/York--Simcoe"," 98B","East Gwillimbury",13,20,1,42,2,76,1,155,269
35104,"York--Simcoe/York--Simcoe"," 99","East Gwillimbury",48,25,1,45,8,163,2,292,543
35104,"York--Simcoe/York--Simcoe"," 100","East Gwillimbury",39,31,4,58,2,122,3,259,454
35104,"York--Simcoe/York--Simcoe"," 101","East Gwillimbury",24,26,5,54,2,138,0,249,406
35104,"York--Simcoe/York--Simcoe"," 102","East Gwillimbury",34,11,2,38,1,109,0,195,372
35104,"York--Simcoe/York--Simcoe"," 103","East Gwillimbury",17,12,1,27,3,63,1,124,243
35104,"York--Simcoe/York--Simcoe"," 104","East Gwillimbury",21,11,3,27,6,75,0,143,309
35104,"York--Simcoe/York--Simcoe"," 105","East Gwillimbury",12,16,10,33,1,86,1,159,296
35104,"York--Simcoe/York--Simcoe"," 106","East Gwillimbury",15,13,1,27,0,74,1,131,315
35104,"York--Simcoe/York--Simcoe"," 107","East Gwillimbury",27,19,3,51,5,121,0,226,498
35104,"York--Simcoe/York--Simcoe"," 108","East Gwillimbury",26,22,1,53,5,137,0,244,419
35104,"York--Simcoe/York--Simcoe"," 109","East Gwillimbury",17,4,4,37,0,83,0,145,245
35104,"York--Simcoe/York--Simcoe"," 109-1","East Gwillimbury",22,19,4,40,1,101,0,187,321
