Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Bourgeois,M. Zamboni Cadieux,Martin Drapeau,Daniel Lebel,Michel Le Clair,Eva Nassif,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 1","Sainte-Anne-des-Plaines",110,3,3,31,32,32,3,214,457
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 2","Sainte-Anne-des-Plaines",137,1,8,57,33,31,3,270,470
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 3","Sainte-Anne-des-Plaines",97,2,4,26,29,27,3,188,338
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 4","Sainte-Anne-des-Plaines",155,0,2,33,28,24,1,243,444
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 5A","Sainte-Anne-des-Plaines",115,1,4,22,21,19,2,184,308
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 5B","Sainte-Anne-des-Plaines",121,0,3,17,19,16,2,178,309
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 6","Sainte-Anne-des-Plaines",149,0,7,26,29,23,8,242,545
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 7A","Sainte-Anne-des-Plaines",123,0,5,19,31,31,0,209,366
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 7B","Sainte-Anne-des-Plaines",113,1,7,25,30,19,4,199,319
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 8","Sainte-Anne-des-Plaines",175,0,12,32,40,36,5,300,462
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 9","Sainte-Anne-des-Plaines",147,4,13,39,33,34,5,275,509
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 10","Sainte-Anne-des-Plaines",156,1,5,26,31,33,4,256,395
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 11","Sainte-Anne-des-Plaines",99,1,8,21,26,31,3,189,385
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 12A","Sainte-Anne-des-Plaines",131,0,6,26,21,21,4,209,420
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 12B","Mobile poll/Bureau itinérant",33,2,1,17,1,28,7,89,80
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 13","Sainte-Anne-des-Plaines",131,2,7,21,35,21,7,224,359
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 14","Sainte-Anne-des-Plaines",125,1,6,23,35,23,2,215,395
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 15","Sainte-Anne-des-Plaines",175,0,4,23,39,27,7,275,430
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 16","Sainte-Anne-des-Plaines",186,2,4,33,43,22,6,296,534
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 17A","Sainte-Anne-des-Plaines",120,0,5,30,29,26,3,213,375
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 17B","Mobile poll/Bureau itinérant",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,,,10
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 18A","Sainte-Anne-des-Plaines",86,0,12,21,15,28,3,165,339
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 18B","Mobile poll/Bureau itinérant",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,,,44
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 19","Sainte-Anne-des-Plaines",189,0,10,16,41,38,7,301,594
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 20","Sainte-Anne-des-Plaines",119,0,5,19,18,28,6,195,357
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 21","Sainte-Anne-des-Plaines",174,1,24,35,32,46,5,317,548
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 22","Terrebonne",143,1,10,43,23,44,7,271,555
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 23A","Terrebonne",127,0,7,28,41,26,2,231,392
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 23B","Terrebonne",112,0,10,24,24,27,1,198,348
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 24","Terrebonne",161,0,3,35,34,27,5,265,464
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 25","Terrebonne",125,4,10,41,26,42,3,251,440
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 26","Terrebonne",90,2,4,34,28,38,4,200,329
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 27","Terrebonne",150,4,8,34,61,28,4,289,409
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 28","Terrebonne",170,1,18,20,43,38,10,300,478
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 29","Terrebonne",148,0,7,35,42,42,6,280,501
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 30A","Terrebonne",122,0,9,35,43,36,7,252,455
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 30B","Terrebonne",131,1,4,47,32,39,6,260,407
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 31A","Terrebonne",159,3,9,42,36,49,5,303,493
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 31B","Terrebonne",127,1,7,42,45,54,4,280,452
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 32A","Terrebonne",123,0,2,27,22,32,5,211,313
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 32B","Terrebonne",107,1,11,28,31,27,3,208,322
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 33","Terrebonne",181,0,5,48,53,48,8,343,540
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 34","Terrebonne",135,1,8,25,28,22,2,221,411
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 35","Terrebonne",171,0,9,23,47,34,4,288,420
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 36","Terrebonne",114,2,4,22,29,25,2,198,331
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 37","Terrebonne",143,4,9,39,39,34,10,278,398
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 38","Terrebonne",161,1,5,38,38,39,11,293,422
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 39","Terrebonne",152,1,9,21,42,36,8,269,398
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 40","Terrebonne",110,1,13,29,31,29,3,216,387
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 41A","Terrebonne",96,3,7,23,12,21,1,163,308
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 41B","Terrebonne",90,2,4,21,21,34,2,174,343
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 42","Terrebonne",140,0,7,20,33,26,7,233,348
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 43","Terrebonne",181,1,6,30,49,56,4,327,444
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 44","Terrebonne",164,1,10,24,34,48,5,286,437
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 45","Terrebonne",105,0,5,16,25,28,5,184,264
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 46","Terrebonne",142,2,8,20,43,47,8,270,423
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 47","Terrebonne",202,1,16,31,61,63,7,381,571
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 48A","Terrebonne",121,0,5,16,29,23,8,202,294
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 48B","Terrebonne",127,1,7,24,29,39,3,230,346
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 49","Terrebonne",75,0,6,20,23,21,2,147,222
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 50","Terrebonne",109,2,8,41,55,44,4,263,395
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 51","Terrebonne",139,1,9,51,42,45,3,290,398
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 52","Terrebonne",144,1,7,34,42,48,0,276,386
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 53","Terrebonne",135,1,9,33,33,34,4,249,374
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 54","Terrebonne",124,3,7,15,23,21,3,196,401
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 55","Terrebonne",93,1,10,27,25,37,3,196,345
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 56","Terrebonne",160,0,5,45,39,39,2,290,404
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 57","Terrebonne",101,0,5,26,26,35,0,193,339
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 58","Terrebonne",119,4,7,29,32,20,1,212,351
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 59","Terrebonne",112,2,4,11,20,31,5,185,398
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 60","Terrebonne",76,0,8,14,24,30,2,154,265
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 61","Terrebonne",91,1,8,27,24,32,2,185,299
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 62","Terrebonne",71,0,2,27,23,23,2,148,252
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 63","Terrebonne",130,1,2,22,29,23,2,209,421
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 64","Terrebonne",115,1,7,31,32,37,5,228,377
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 65","Terrebonne",95,0,6,6,11,28,7,153,255
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 66A","Terrebonne",127,0,5,27,20,30,9,218,398
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 66B","Mobile poll/Bureau itinérant",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,,,7
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 67","Terrebonne",98,1,3,31,30,30,4,197,312
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 68","Terrebonne",137,0,6,35,27,21,5,231,410
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 69","Terrebonne",140,3,6,33,23,40,6,251,369
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 70","Terrebonne",69,0,3,14,15,25,3,129,242
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 71","Terrebonne",89,4,3,19,16,26,10,167,364
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 72","Terrebonne",118,0,6,18,18,25,7,192,373
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 73","Terrebonne",162,1,5,21,29,37,4,259,383
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 74A","Terrebonne",135,2,5,19,21,26,6,214,445
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 74B","Mobile poll/Bureau itinérant",25,1,1,14,1,17,2,61,90
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 75","Terrebonne",157,3,12,43,44,36,7,302,514
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 76","Terrebonne",98,1,12,17,10,21,1,160,359
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 77","Terrebonne",107,1,15,15,14,23,4,179,303
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 78","Terrebonne",117,0,7,23,31,35,0,213,392
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 79","Terrebonne",159,0,4,60,53,61,3,340,509
24071,"Terrebonne--Blainville/Terrebonne--Blainville"," 80","Terrebonne",179,0,14,35,48,35,5,316,553
