Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rona Ambrose,Chris Austin,Barb Phillips,Wendy Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 1","Beach Corner",186,9,16,22,2,235,386
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 2","Beach Corner",273,27,30,34,0,364,595
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 3","Beach Corner",67,5,10,9,0,91,140
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 4","Beach Corner",198,22,29,32,0,281,468
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 5","Beach Corner",137,15,17,20,0,189,260
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 6","Beach Corner",111,5,13,15,0,144,211
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7A","Stony Plain",145,13,26,14,0,198,371
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7B","Stony Plain",134,6,21,18,0,179,239
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 7-1","Parkland County",Merged with No. 7B/Fusionné avec le nº 7B,,,,,,95
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 8","Stony Plain",157,15,17,9,0,198,342
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 9","Spruce Grove",88,5,16,14,0,123,215
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 10","Stony Plain",177,11,33,17,0,238,433
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 10-1","Stony Plain",34,4,3,2,0,43,146
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 11","Stony Plain",127,26,42,9,0,204,460
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 12A","Stony Plain",126,11,16,9,0,162,404
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 12B","Stony Plain",126,13,20,14,0,173,398
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 12-1","Stony Plain",162,6,19,13,0,200,434
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 13","Stony Plain",96,9,23,17,0,145,334
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 14","Stony Plain",94,8,22,7,0,131,458
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 15","Stony Plain",144,10,17,14,0,185,402
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 16","Stony Plain",169,14,22,20,0,225,377
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 17","Stony Plain",145,11,13,18,0,187,332
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 18","Stony Plain",132,17,21,9,1,180,320
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 19","Stony Plain",182,13,31,13,1,240,547
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 20A","Stony Plain",83,9,16,5,1,114,312
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 20B","Stony Plain",79,6,12,11,1,109,275
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 21","Stony Plain",146,17,21,15,0,199,345
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 22","Stony Plain",184,15,31,22,0,252,514
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 23","Stony Plain",146,13,37,21,0,217,416
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 24A","Stony Plain",128,10,17,4,0,159,342
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 24B","Stony Plain",141,13,11,9,1,175,348
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 24-1","Stony Plain",72,3,17,9,1,102,226
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 25A","Stony Plain",205,10,26,25,0,266,453
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 25B","Stony Plain",222,4,18,8,0,252,474
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 25-1","Stony Plain",238,11,23,18,0,290,589
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 26","Stony Plain",136,13,28,14,0,191,387
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 27","Stony Plain",157,14,22,17,1,211,455
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 28","Spruce Grove",117,5,15,5,0,142,303
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 28-1","Spruce Grove",250,22,28,16,0,316,600
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 29A","Spruce Grove",130,8,17,7,0,162,345
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 29B","Spruce Grove",142,4,16,13,0,175,353
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 30A","Spruce Grove",178,20,16,13,0,227,356
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 30B","Spruce Grove",154,13,15,11,0,193,337
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 30-1","Spruce Grove",174,22,14,16,0,226,372
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 31","Spruce Grove",50,10,21,5,0,86,341
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 31-1","Spruce Grove",201,19,39,20,0,279,560
48017,"Edmonton--Spruce Grove/Edmonton--Spruce Grove"," 32A","Spruce Grove",160,17,33,23,1,234,452
