Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Hill,Micheal Janssens,Jim Johnston,Bev Shipley,Jeff Wesley,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 1","Grand Bend",37,0,14,108,58,1,218,352
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 2","Grand Bend",29,0,11,107,54,0,201,407
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 3","Bosanquet",15,0,12,109,55,0,191,302
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 4","Bosanquet",12,0,8,138,72,0,230,367
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 5","Bosanquet",19,1,19,133,75,1,248,495
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 6","Bosanquet",56,5,14,149,82,1,307,591
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 7","Bosanquet",34,2,14,99,46,1,196,548
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 8","Bosanquet",52,1,23,151,42,2,271,480
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 9","Bosanquet",37,0,21,87,57,2,204,360
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 10","Bosanquet",36,1,15,119,50,0,221,433
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 11","Kettle Point 44",25,2,10,48,40,0,125,217
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 12","Kettle Point 44",31,4,2,13,60,0,110,285
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 13","Bosanquet",26,0,8,114,60,2,210,457
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 14","Forest",56,2,17,104,28,2,209,376
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 15","Forest",40,1,19,103,23,0,186,370
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 16","Forest",48,8,24,241,94,1,416,835
35046,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex"," 17","Forest",36,2,21,85,45,0,189,356
