Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Benoît Dussault,Raphaël Fortin,François Fournier,Luc Malo,Annie Morel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 1","Contrecoeur",51,39,57,190,9,5,351,550
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 2","Contrecoeur",19,20,38,100,3,1,181,297
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 3","Contrecoeur",26,41,37,229,2,3,338,559
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 4","Contrecoeur",29,35,23,167,10,2,266,487
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 5","Contrecoeur",31,32,25,164,8,4,264,427
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 6","Contrecoeur",19,24,17,135,8,4,207,389
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 7","Contrecoeur",13,13,13,114,3,6,162,329
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 8","Contrecoeur",27,25,15,116,3,1,187,379
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 9","Contrecoeur",31,27,12,176,5,0,251,444
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 10","Contrecoeur",17,28,13,142,10,5,215,426
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 11","Contrecoeur",26,33,19,153,5,7,243,373
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 12","Verchères",34,24,33,89,11,6,197,323
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 13","Verchères",45,53,33,183,14,6,334,510
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 14","Verchères",22,42,25,167,18,4,278,436
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 15","Verchères",33,36,31,138,10,4,252,407
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 16","Verchères",40,52,46,190,8,2,338,562
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 17","Verchères",33,43,29,199,15,7,326,460
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 18","Verchères",26,44,29,173,10,5,287,425
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 18-1","Verchères",18,38,24,143,8,2,233,417
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 19","Verchères",33,37,31,159,18,6,284,455
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 20","Verchères",32,16,27,100,4,1,180,272
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 21","Calixa-Lavallée",32,46,34,160,11,2,285,404
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 22","Saint-Antoine-sur-Richelieu",26,25,26,150,16,0,243,354
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 23","Saint-Antoine-sur-Richelieu",9,3,16,34,0,2,64,107
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 24","Saint-Denis-sur-Richelieu",43,35,37,174,18,3,310,479
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 25","Saint-Denis-sur-Richelieu",27,34,28,149,5,7,250,393
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 26","Saint-Denis-sur-Richelieu",23,21,28,113,11,3,199,272
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 27","Saint-Antoine-sur-Richelieu",38,39,38,170,10,4,299,435
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 28","Saint-Antoine-sur-Richelieu",22,36,58,130,4,3,253,375
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 29","Saint-Denis-sur-Richelieu",53,39,50,196,11,11,360,605
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 30","Saint-Marc-sur-Richelieu",25,32,25,128,12,6,228,395
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 31","Saint-Marc-sur-Richelieu",40,24,49,99,8,3,223,340
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 32","Saint-Marc-sur-Richelieu",32,37,33,141,16,1,260,432
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 33","Saint-Marc-sur-Richelieu",30,28,39,136,14,1,248,380
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 34","Saint-Charles-sur-Richelieu",52,39,58,150,3,1,303,510
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 35","Saint-Charles-sur-Richelieu",20,36,33,115,9,2,215,343
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 36","Saint-Charles-sur-Richelieu",40,25,37,133,14,3,252,426
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 37","Saint-Charles-sur-Richelieu",22,21,9,40,4,2,98,171
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 38","Varennes",46,60,38,145,8,3,300,509
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 39","Varennes",26,9,34,48,4,0,121,209
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 40","Varennes",33,53,35,119,21,6,267,452
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 41","Varennes",37,38,35,114,8,3,235,370
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 42","Varennes",29,38,32,98,14,0,211,350
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 43","Varennes",30,25,23,128,9,8,223,401
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 44","Varennes",17,27,24,95,5,1,169,281
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 45","Varennes",19,37,25,113,14,4,212,370
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 46","Varennes",35,41,49,96,10,4,235,369
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 46-1","Varennes",20,13,15,70,2,3,123,264
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 47","Varennes",26,33,23,106,4,3,195,380
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 48","Varennes",31,41,22,122,4,3,223,380
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 49","Varennes",26,23,28,79,8,1,165,269
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 50","Varennes",51,41,27,135,7,5,266,405
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 51","Varennes",29,45,31,133,10,2,250,393
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 52","Varennes",24,52,34,174,11,4,299,482
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 53","Varennes",19,65,26,133,7,2,252,359
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 54","Varennes",31,60,26,159,8,6,290,476
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 55","Varennes",14,36,20,100,5,1,176,285
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 56","Varennes",27,54,53,112,9,1,256,381
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 57","Varennes",24,70,48,152,3,3,300,449
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 58","Varennes",36,70,40,207,11,10,374,569
24074,"Verchères--Les Patriotes/Verchères--Les Patriotes"," 59","Varennes",35,55,38,137,3,4,272,419
