Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Bichler,Luke Macmichael,Tony Martin,Cory McLeod,Cameron Ross,Mike Taffarel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Sault Ste. Marie/Sault Ste. Marie"," 1","Montreal River Harbour",24,10,55,0,29,1,0,119,241
35079,"Sault Ste. Marie/Sault Ste. Marie"," 2","Searchmont",27,8,75,4,47,0,2,163,281
35079,"Sault Ste. Marie/Sault Ste. Marie"," 3","Jones Landing--Havilland",35,6,63,1,61,0,0,166,358
35079,"Sault Ste. Marie/Sault Ste. Marie"," 4","Goulais Bay 15A",27,4,57,0,46,0,0,134,260
35079,"Sault Ste. Marie/Sault Ste. Marie"," 5","Goulais River",11,5,59,2,52,0,0,129,325
35079,"Sault Ste. Marie/Sault Ste. Marie"," 6","Karalash Corners",11,5,55,0,46,0,0,117,213
35079,"Sault Ste. Marie/Sault Ste. Marie"," 7","Kirby's Corner",21,5,97,1,87,0,0,211,490
35079,"Sault Ste. Marie/Sault Ste. Marie"," 8","Heyden--Island Lake",15,8,79,2,91,0,0,195,351
35079,"Sault Ste. Marie/Sault Ste. Marie"," 9","Heyden",18,8,60,0,54,0,0,140,301
35079,"Sault Ste. Marie/Sault Ste. Marie"," 10","Heyden",21,6,102,0,33,0,0,162,328
35079,"Sault Ste. Marie/Sault Ste. Marie"," 11","Heyden",Void/Supprimé,,,,,,,,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 12","Goulais River",15,6,51,2,74,1,0,149,340
35079,"Sault Ste. Marie/Sault Ste. Marie"," 13","Prince",20,4,87,0,67,0,2,180,290
35079,"Sault Ste. Marie/Sault Ste. Marie"," 14","Prince",41,23,82,0,121,0,0,267,480
35079,"Sault Ste. Marie/Sault Ste. Marie"," 15","Sault Ste. Marie",47,19,100,1,135,0,0,302,542
35079,"Sault Ste. Marie/Sault Ste. Marie"," 16","Sault Ste. Marie",35,15,87,1,124,0,0,262,498
35079,"Sault Ste. Marie/Sault Ste. Marie"," 17","Sault Ste. Marie",32,7,71,0,62,0,0,172,351
35079,"Sault Ste. Marie/Sault Ste. Marie"," 18","Sault Ste. Marie",40,9,106,1,88,0,3,247,484
35079,"Sault Ste. Marie/Sault Ste. Marie"," 19","Sault Ste. Marie",65,3,83,0,133,2,0,286,529
35079,"Sault Ste. Marie/Sault Ste. Marie"," 20","Sault Ste. Marie",28,3,102,1,54,0,1,189,373
35079,"Sault Ste. Marie/Sault Ste. Marie"," 21","Sault Ste. Marie",26,2,104,0,55,0,2,189,393
35079,"Sault Ste. Marie/Sault Ste. Marie"," 22","Sault Ste. Marie",20,3,56,0,50,0,0,129,278
35079,"Sault Ste. Marie/Sault Ste. Marie"," 23","Sault Ste. Marie",30,4,74,0,70,0,3,181,281
35079,"Sault Ste. Marie/Sault Ste. Marie"," 24","Sault Ste. Marie",21,14,93,1,56,0,0,185,461
35079,"Sault Ste. Marie/Sault Ste. Marie"," 25","Sault Ste. Marie",44,3,92,0,76,0,0,215,377
35079,"Sault Ste. Marie/Sault Ste. Marie"," 26","Sault Ste. Marie",55,9,72,0,78,1,1,216,354
35079,"Sault Ste. Marie/Sault Ste. Marie"," 27","Sault Ste. Marie",22,4,60,0,41,0,0,127,259
35079,"Sault Ste. Marie/Sault Ste. Marie"," 28","Sault Ste. Marie",18,5,57,1,16,0,1,98,299
35079,"Sault Ste. Marie/Sault Ste. Marie"," 29","Sault Ste. Marie",19,6,78,0,28,0,0,131,312
35079,"Sault Ste. Marie/Sault Ste. Marie"," 30","Sault Ste. Marie",26,7,76,0,45,1,2,157,328
35079,"Sault Ste. Marie/Sault Ste. Marie"," 31","Sault Ste. Marie",28,7,64,2,40,2,1,144,353
35079,"Sault Ste. Marie/Sault Ste. Marie"," 32","Sault Ste. Marie",19,1,64,0,50,0,2,136,274
35079,"Sault Ste. Marie/Sault Ste. Marie"," 33","Sault Ste. Marie",30,3,85,2,40,1,2,163,326
35079,"Sault Ste. Marie/Sault Ste. Marie"," 34","Sault Ste. Marie",23,11,77,0,65,1,1,178,297
35079,"Sault Ste. Marie/Sault Ste. Marie"," 35","Sault Ste. Marie",31,6,132,1,82,1,0,253,466
35079,"Sault Ste. Marie/Sault Ste. Marie"," 36","Sault Ste. Marie",41,11,120,3,84,0,3,262,444
35079,"Sault Ste. Marie/Sault Ste. Marie"," 37","Sault Ste. Marie",14,6,109,2,32,0,0,163,381
35079,"Sault Ste. Marie/Sault Ste. Marie"," 38","Sault Ste. Marie",18,6,88,0,26,0,1,139,345
35079,"Sault Ste. Marie/Sault Ste. Marie"," 39","Sault Ste. Marie",20,6,91,1,37,0,1,156,379
35079,"Sault Ste. Marie/Sault Ste. Marie"," 40","Sault Ste. Marie",25,8,84,1,109,1,2,230,431
35079,"Sault Ste. Marie/Sault Ste. Marie"," 41","Sault Ste. Marie",13,4,55,1,61,1,0,135,242
35079,"Sault Ste. Marie/Sault Ste. Marie"," 42","Sault Ste. Marie",27,10,87,2,63,0,0,189,356
35079,"Sault Ste. Marie/Sault Ste. Marie"," 43","Sault Ste. Marie",42,10,110,0,115,0,1,278,471
35079,"Sault Ste. Marie/Sault Ste. Marie"," 44","Sault Ste. Marie",28,2,88,1,49,0,2,170,338
35079,"Sault Ste. Marie/Sault Ste. Marie"," 45","Sault Ste. Marie",23,3,75,2,49,0,0,152,287
35079,"Sault Ste. Marie/Sault Ste. Marie"," 46","Sault Ste. Marie",70,5,91,2,66,1,3,238,413
35079,"Sault Ste. Marie/Sault Ste. Marie"," 47","Sault Ste. Marie",30,7,66,1,51,0,3,158,286
35079,"Sault Ste. Marie/Sault Ste. Marie"," 48","Sault Ste. Marie",28,3,79,0,47,1,0,158,349
35079,"Sault Ste. Marie/Sault Ste. Marie"," 49","Sault Ste. Marie",70,18,65,0,108,0,1,262,428
35079,"Sault Ste. Marie/Sault Ste. Marie"," 50","Sault Ste. Marie",35,5,71,1,86,1,0,199,311
35079,"Sault Ste. Marie/Sault Ste. Marie"," 51","Sault Ste. Marie",21,8,66,1,42,1,0,139,312
35079,"Sault Ste. Marie/Sault Ste. Marie"," 52","Sault Ste. Marie",40,6,111,3,46,1,2,209,383
35079,"Sault Ste. Marie/Sault Ste. Marie"," 53","Sault Ste. Marie",44,9,76,1,46,1,3,180,317
35079,"Sault Ste. Marie/Sault Ste. Marie"," 54","Sault Ste. Marie",41,3,82,3,42,0,3,174,355
35079,"Sault Ste. Marie/Sault Ste. Marie"," 55","Sault Ste. Marie",30,5,73,0,38,3,1,150,293
35079,"Sault Ste. Marie/Sault Ste. Marie"," 56","Sault Ste. Marie",23,1,83,3,22,0,0,132,321
35079,"Sault Ste. Marie/Sault Ste. Marie"," 57","Sault Ste. Marie",42,9,69,3,46,0,1,170,337
35079,"Sault Ste. Marie/Sault Ste. Marie"," 58","Sault Ste. Marie",45,2,58,1,42,0,2,150,229
35079,"Sault Ste. Marie/Sault Ste. Marie"," 59","Sault Ste. Marie",29,3,59,0,46,0,3,140,310
35079,"Sault Ste. Marie/Sault Ste. Marie"," 60","Sault Ste. Marie",22,3,65,0,32,0,1,123,293
35079,"Sault Ste. Marie/Sault Ste. Marie"," 61","Sault Ste. Marie",30,9,62,2,59,0,0,162,353
35079,"Sault Ste. Marie/Sault Ste. Marie"," 62","Sault Ste. Marie",31,11,115,0,107,0,1,265,484
35079,"Sault Ste. Marie/Sault Ste. Marie"," 63","Sault Ste. Marie",50,6,102,0,60,1,0,219,369
35079,"Sault Ste. Marie/Sault Ste. Marie"," 64","Sault Ste. Marie",69,8,68,1,107,2,0,255,394
35079,"Sault Ste. Marie/Sault Ste. Marie"," 65","Sault Ste. Marie",22,6,69,0,88,0,0,185,322
35079,"Sault Ste. Marie/Sault Ste. Marie"," 66","Sault Ste. Marie",39,6,75,0,52,1,1,174,305
35079,"Sault Ste. Marie/Sault Ste. Marie"," 67","Sault Ste. Marie",14,4,80,2,25,0,0,125,260
35079,"Sault Ste. Marie/Sault Ste. Marie"," 68","Sault Ste. Marie",30,15,85,2,31,0,0,163,356
35079,"Sault Ste. Marie/Sault Ste. Marie"," 69","Sault Ste. Marie",71,14,82,0,93,2,4,266,447
35079,"Sault Ste. Marie/Sault Ste. Marie"," 70","Sault Ste. Marie",63,9,62,2,109,1,5,251,370
35079,"Sault Ste. Marie/Sault Ste. Marie"," 71","Sault Ste. Marie",27,9,78,3,57,2,3,179,369
35079,"Sault Ste. Marie/Sault Ste. Marie"," 72","Sault Ste. Marie",22,7,76,0,51,1,0,157,285
35079,"Sault Ste. Marie/Sault Ste. Marie"," 73","Sault Ste. Marie",28,11,77,1,46,0,3,166,324
35079,"Sault Ste. Marie/Sault Ste. Marie"," 74","Sault Ste. Marie",22,6,101,0,28,1,0,158,349
35079,"Sault Ste. Marie/Sault Ste. Marie"," 75","Sault Ste. Marie",48,4,71,0,68,0,0,191,395
35079,"Sault Ste. Marie/Sault Ste. Marie"," 76","Sault Ste. Marie",25,6,94,1,40,1,1,168,320
35079,"Sault Ste. Marie/Sault Ste. Marie"," 77","Sault Ste. Marie",21,10,70,4,52,0,2,159,329
35079,"Sault Ste. Marie/Sault Ste. Marie"," 78","Sault Ste. Marie",32,11,121,4,60,0,2,230,468
35079,"Sault Ste. Marie/Sault Ste. Marie"," 79","Sault Ste. Marie",Void/Supprimé,,,,,,,,
35079,"Sault Ste. Marie/Sault Ste. Marie"," 80","Sault Ste. Marie",30,12,95,1,38,0,0,176,390
35079,"Sault Ste. Marie/Sault Ste. Marie"," 81","Sault Ste. Marie",21,8,83,2,40,1,1,156,347
35079,"Sault Ste. Marie/Sault Ste. Marie"," 82","Sault Ste. Marie",15,9,72,5,18,0,0,119,312
35079,"Sault Ste. Marie/Sault Ste. Marie"," 83","Sault Ste. Marie",18,5,50,2,19,0,1,95,265
35079,"Sault Ste. Marie/Sault Ste. Marie"," 84","Sault Ste. Marie",17,3,79,4,21,0,2,126,273
35079,"Sault Ste. Marie/Sault Ste. Marie"," 85","Sault Ste. Marie",35,12,97,1,44,0,0,189,508
35079,"Sault Ste. Marie/Sault Ste. Marie"," 86","Sault Ste. Marie",50,16,115,0,113,0,0,294,502
35079,"Sault Ste. Marie/Sault Ste. Marie"," 87","Sault Ste. Marie",30,17,67,2,149,1,0,266,474
35079,"Sault Ste. Marie/Sault Ste. Marie"," 88","Sault Ste. Marie",57,8,72,0,163,1,0,301,519
35079,"Sault Ste. Marie/Sault Ste. Marie"," 89","Sault Ste. Marie",34,19,66,0,89,0,2,210,398
35079,"Sault Ste. Marie/Sault Ste. Marie"," 90A","Sault Ste. Marie",33,9,56,0,62,0,2,162,294
35079,"Sault Ste. Marie/Sault Ste. Marie"," 90B","Sault Ste. Marie",20,8,106,0,38,0,0,172,261
35079,"Sault Ste. Marie/Sault Ste. Marie"," 91","Sault Ste. Marie",Merged with No. 90B/Fusionné avec le nº 90B,,,,,,,,60
35079,"Sault Ste. Marie/Sault Ste. Marie"," 92","Sault Ste. Marie",28,8,58,1,60,0,0,155,300
35079,"Sault Ste. Marie/Sault Ste. Marie"," 93","Sault Ste. Marie",20,4,45,2,42,0,0,113,208
35079,"Sault Ste. Marie/Sault Ste. Marie"," 94","Sault Ste. Marie",23,7,56,0,90,1,1,178,338
35079,"Sault Ste. Marie/Sault Ste. Marie"," 95","Sault Ste. Marie",27,8,92,2,79,0,0,208,434
35079,"Sault Ste. Marie/Sault Ste. Marie"," 96A","Sault Ste. Marie",25,4,49,2,108,0,1,189,334
35079,"Sault Ste. Marie/Sault Ste. Marie"," 96B","Sault Ste. Marie",46,3,52,0,95,1,0,197,349
35079,"Sault Ste. Marie/Sault Ste. Marie"," 97","Sault Ste. Marie",70,14,96,0,130,1,0,311,473
35079,"Sault Ste. Marie/Sault Ste. Marie"," 98","Sault Ste. Marie",38,3,79,0,74,0,0,194,315
35079,"Sault Ste. Marie/Sault Ste. Marie"," 99","Sault Ste. Marie",36,6,59,1,89,1,1,193,336
35079,"Sault Ste. Marie/Sault Ste. Marie"," 100","Sault Ste. Marie",22,4,83,2,64,0,0,175,391
35079,"Sault Ste. Marie/Sault Ste. Marie"," 101","Sault Ste. Marie",20,9,68,0,71,1,1,170,326
35079,"Sault Ste. Marie/Sault Ste. Marie"," 102","Sault Ste. Marie",22,8,78,0,41,0,0,149,357
35079,"Sault Ste. Marie/Sault Ste. Marie"," 103","Sault Ste. Marie",36,11,121,3,56,0,2,229,444
35079,"Sault Ste. Marie/Sault Ste. Marie"," 104","Sault Ste. Marie",26,16,111,1,67,0,0,221,483
35079,"Sault Ste. Marie/Sault Ste. Marie"," 105","Sault Ste. Marie",39,4,71,0,83,1,0,198,360
35079,"Sault Ste. Marie/Sault Ste. Marie"," 106","Sault Ste. Marie",36,6,64,1,71,0,1,179,368
35079,"Sault Ste. Marie/Sault Ste. Marie"," 107","Sault Ste. Marie",18,16,97,5,44,1,0,181,343
35079,"Sault Ste. Marie/Sault Ste. Marie"," 108","Sault Ste. Marie",18,6,100,2,61,0,0,187,333
